RecordID,CaseID,PersonID,Role
142,53,505117,Co-Accused
143,54,507377,Main Accused
144,54,517198,Main Accused
145,55,523856,Co-Accused
146,55,503513,Co-Accused
147,56,503432,Main Accused
148,56,500203,Main Accused
149,57,523850,Co-Accused
150,58,524300,Co-Accused
151,58,517477,Co-Accused
152,58,512585,Main Accused
153,58,509867,Co-Accused
154,59,512430,Co-Accused
155,59,508257,Co-Accused
156,60,508924,Main Accused
157,60,518243,Main Accused
158,61,500327,Co-Accused
159,62,523546,Co-Accused
160,62,513858,Co-Accused
161,62,517834,Co-Accused
162,62,503282,Main Accused
163,63,513342,Main Accused
164,64,513379,Main Accused
165,64,500781,Main Accused
166,64,507776,Main Accused
167,65,519499,Co-Accused
168,66,508132,Co-Accused
169,66,502799,Main Accused
170,66,502437,Main Accused
171,66,505110,Co-Accused
172,67,518115,Main Accused
173,67,517690,Main Accused
174,67,500853,Main Accused
175,67,513119,Main Accused
176,68,502393,Co-Accused
177,69,521314,Co-Accused
178,69,500005,Main Accused
179,70,517152,Co-Accused
180,70,501717,Co-Accused
181,71,523682,Main Accused
182,72,511318,Main Accused
183,72,505252,Co-Accused
184,73,524120,Co-Accused
185,74,524834,Co-Accused
186,75,520318,Main Accused
187,75,504246,Main Accused
188,75,507544,Main Accused
189,76,501887,Co-Accused
190,76,523015,Co-Accused
191,76,508759,Co-Accused
192,77,524025,Main Accused
193,77,503216,Main Accused
194,77,501664,Main Accused
195,78,514036,Co-Accused
196,78,504641,Main Accused
197,78,504799,Main Accused
198,78,524902,Co-Accused
199,79,504660,Co-Accused
200,79,521537,Co-Accused
201,80,509291,Main Accused
202,80,504113,Main Accused
203,80,503167,Co-Accused
204,80,517149,Main Accused
205,81,502811,Co-Accused
206,81,502672,Co-Accused
207,81,522028,Co-Accused
208,82,516824,Main Accused
209,82,510129,Co-Accused
210,82,516880,Main Accused
211,82,510960,Co-Accused
212,83,522023,Co-Accused
213,84,503498,Co-Accused
214,84,511436,Co-Accused
215,85,520805,Co-Accused
216,85,516101,Co-Accused
217,85,504749,Main Accused
218,86,511980,Main Accused
219,86,514223,Co-Accused
220,86,514832,Main Accused
221,87,513880,Co-Accused
222,87,505011,Co-Accused
223,87,504124,Co-Accused
224,88,509302,Main Accused
225,88,502941,Co-Accused
226,88,518867,Co-Accused
227,89,513117,Co-Accused
228,90,511677,Main Accused
229,90,501498,Main Accused
230,90,515493,Co-Accused
231,90,515586,Co-Accused
232,91,517601,Co-Accused
233,91,502092,Co-Accused
234,92,505747,Co-Accused
235,92,520827,Co-Accused
236,92,523078,Main Accused
237,92,503276,Main Accused
238,93,500018,Main Accused
239,93,508506,Co-Accused
240,93,520802,Co-Accused
241,94,505845,Co-Accused
242,94,510127,Main Accused
243,94,516590,Main Accused
244,95,500553,Main Accused
245,96,520832,Main Accused
246,96,517542,Main Accused
247,97,503228,Co-Accused
248,97,502652,Main Accused
249,97,502017,Co-Accused
250,97,517123,Co-Accused
251,98,504812,Main Accused
252,98,505740,Co-Accused
253,99,514477,Co-Accused
254,99,520362,Main Accused
255,99,516948,Main Accused
256,100,524649,Main Accused
257,100,501327,Main Accused
258,100,515137,Main Accused
259,101,510436,Main Accused
260,102,509684,Main Accused
261,103,514482,Co-Accused
262,103,522496,Main Accused
263,104,505786,Main Accused
264,105,518275,Main Accused
265,106,522689,Main Accused
266,106,524063,Main Accused
267,106,516858,Co-Accused
268,107,502418,Main Accused
269,107,505341,Co-Accused
270,107,516522,Main Accused
271,108,501522,Main Accused
272,108,515081,Co-Accused
273,108,508658,Co-Accused
274,109,502777,Main Accused
275,110,514818,Co-Accused
276,110,524039,Co-Accused
277,111,504866,Co-Accused
278,111,517799,Main Accused
279,111,509765,Main Accused
280,111,508628,Main Accused
281,112,513525,Main Accused
282,112,508537,Co-Accused
283,112,509448,Co-Accused
284,112,503659,Co-Accused
285,113,511746,Co-Accused
286,113,521268,Co-Accused
287,114,508879,Main Accused
288,114,506146,Co-Accused
289,115,518838,Co-Accused
290,115,504675,Main Accused
291,115,523298,Main Accused
292,115,508356,Co-Accused
293,116,521498,Co-Accused
294,117,518593,Main Accused
295,117,515402,Main Accused
296,118,509508,Co-Accused
297,118,522251,Co-Accused
298,118,503294,Main Accused
299,119,504335,Co-Accused
300,119,508925,Main Accused
301,119,516553,Co-Accused
302,119,521364,Co-Accused
303,120,511255,Main Accused
304,120,517448,Co-Accused
305,121,502034,Co-Accused
306,122,502483,Main Accused
307,122,506809,Main Accused
308,122,522296,Main Accused
309,122,516528,Co-Accused
310,123,511044,Main Accused
311,124,507582,Co-Accused
312,124,502261,Main Accused
313,124,514461,Main Accused
314,125,511283,Main Accused
315,125,513630,Main Accused
316,125,504802,Co-Accused
317,126,522154,Co-Accused
318,126,523055,Co-Accused
319,126,524684,Main Accused
320,127,515266,Main Accused
321,128,502204,Main Accused
322,128,510269,Co-Accused
323,128,508163,Co-Accused
324,128,508104,Co-Accused
325,129,505152,Co-Accused
326,130,508414,Main Accused
327,131,514736,Co-Accused
328,131,510206,Co-Accused
329,131,518754,Main Accused
330,132,523405,Main Accused
331,132,509967,Main Accused
332,132,522151,Co-Accused
333,132,517619,Co-Accused
334,133,521792,Main Accused
335,133,506528,Main Accused
336,133,522872,Main Accused
337,134,516126,Main Accused
338,134,515862,Main Accused
339,134,521259,Main Accused
340,134,501897,Main Accused
341,135,512765,Co-Accused
342,135,512990,Main Accused
343,135,515588,Co-Accused
344,135,522067,Co-Accused
345,136,507873,Main Accused
346,137,523480,Main Accused
347,137,507595,Main Accused
348,138,504091,Main Accused
349,139,500247,Co-Accused
350,139,507417,Main Accused
351,139,515508,Main Accused
352,140,522313,Main Accused
353,140,512162,Main Accused
354,140,515793,Co-Accused
355,140,512765,Co-Accused
356,141,513207,Main Accused
357,141,515528,Main Accused
358,141,524946,Co-Accused
359,141,512402,Co-Accused
360,142,504542,Main Accused
361,142,524607,Main Accused
362,142,521430,Main Accused
363,143,505560,Main Accused
364,143,500501,Main Accused
365,143,518105,Co-Accused
366,143,524800,Main Accused
367,144,518533,Co-Accused
368,144,507475,Co-Accused
369,144,504709,Main Accused
370,144,504663,Main Accused
371,145,515768,Main Accused
372,145,518772,Main Accused
373,145,520430,Main Accused
374,146,522357,Main Accused
375,146,511055,Co-Accused
376,147,511010,Main Accused
377,148,506967,Main Accused
378,148,511401,Co-Accused
379,148,512104,Main Accused
380,148,505413,Co-Accused
381,149,513740,Co-Accused
382,150,521799,Main Accused
383,150,522852,Co-Accused
384,151,519482,Co-Accused
385,151,522259,Main Accused
386,151,513906,Main Accused
387,152,505052,Main Accused
388,152,510777,Co-Accused
389,153,501093,Co-Accused
390,153,510049,Main Accused
391,154,514779,Main Accused
392,155,510247,Main Accused
393,155,508303,Co-Accused
394,155,516832,Main Accused
395,155,504996,Main Accused
396,156,503931,Main Accused
397,157,517067,Main Accused
398,157,500744,Co-Accused
399,157,520981,Main Accused
400,158,514527,Main Accused
401,159,512874,Main Accused
402,159,520968,Co-Accused
403,160,524027,Main Accused
404,160,515427,Main Accused
405,160,518680,Co-Accused
406,160,500431,Co-Accused
407,161,507914,Co-Accused
408,161,509035,Main Accused
409,162,500080,Main Accused
410,162,516072,Main Accused
411,163,505390,Co-Accused
412,163,515523,Co-Accused
413,164,513700,Co-Accused
414,164,521386,Main Accused
415,165,519068,Main Accused
416,165,506834,Main Accused
417,165,523812,Co-Accused
418,166,501802,Main Accused
419,167,518734,Main Accused
420,167,521475,Main Accused
421,167,508334,Main Accused
422,167,506452,Main Accused
423,168,504233,Co-Accused
424,168,516246,Main Accused
425,168,511626,Main Accused
426,169,520871,Co-Accused
427,169,509029,Main Accused
428,170,505343,Main Accused
429,170,503586,Main Accused
430,171,505140,Main Accused
431,171,515774,Co-Accused
432,171,513749,Main Accused
433,171,509562,Co-Accused
434,172,511698,Main Accused
435,172,514804,Main Accused
436,173,508502,Co-Accused
437,173,502314,Co-Accused
438,174,515922,Main Accused
439,174,524500,Main Accused
440,174,524101,Main Accused
441,174,513551,Co-Accused
442,175,502573,Main Accused
443,176,519647,Main Accused
444,176,507501,Co-Accused
445,177,520296,Co-Accused
446,177,519901,Main Accused
447,177,504852,Main Accused
448,177,508345,Main Accused
449,178,513728,Main Accused
450,179,521362,Co-Accused
451,180,516298,Co-Accused
452,180,514803,Main Accused
453,180,509350,Main Accused
454,180,524520,Main Accused
455,181,523922,Main Accused
456,181,523808,Co-Accused
457,181,503017,Co-Accused
458,182,503296,Co-Accused
459,183,516526,Co-Accused
460,183,507373,Co-Accused
461,183,522889,Main Accused
462,184,506554,Main Accused
463,184,510949,Main Accused
464,185,501886,Co-Accused
465,185,522833,Co-Accused
466,185,517041,Main Accused
467,186,503949,Co-Accused
468,186,502834,Co-Accused
469,186,521578,Main Accused
470,187,515372,Main Accused
471,188,509470,Co-Accused
472,188,504601,Main Accused
473,188,521895,Co-Accused
474,189,511940,Co-Accused
475,190,518413,Main Accused
476,191,524012,Main Accused
477,191,508727,Main Accused
478,192,503916,Co-Accused
479,192,501742,Co-Accused
480,193,516183,Co-Accused
481,194,510967,Co-Accused
482,194,512561,Co-Accused
483,194,509840,Main Accused
484,194,521766,Main Accused
485,195,506812,Co-Accused
486,195,520184,Co-Accused
487,196,520212,Main Accused
488,196,515912,Main Accused
489,196,510249,Main Accused
490,197,522154,Main Accused
491,197,513817,Main Accused
492,197,509177,Co-Accused
493,198,522435,Main Accused
494,198,524168,Main Accused
495,198,516970,Co-Accused
496,199,517276,Co-Accused
497,199,514659,Co-Accused
498,199,502569,Main Accused
499,199,519050,Co-Accused
500,200,505910,Co-Accused
501,201,524390,Main Accused
502,201,523777,Main Accused
503,201,521272,Main Accused
504,202,512738,Main Accused
505,202,513961,Main Accused
506,202,517286,Co-Accused
507,203,515831,Main Accused
508,203,505062,Main Accused
509,203,500419,Co-Accused
510,203,507007,Main Accused
511,204,506727,Main Accused
512,204,505912,Main Accused
513,204,524870,Main Accused
514,205,517304,Co-Accused
515,205,520417,Co-Accused
516,205,500101,Co-Accused
517,206,508077,Co-Accused
518,206,515599,Main Accused
519,206,510097,Main Accused
520,206,506347,Co-Accused
521,207,524839,Main Accused
522,208,504811,Main Accused
523,209,513640,Main Accused
524,210,522730,Co-Accused
525,210,519041,Co-Accused
526,211,524461,Main Accused
527,211,510221,Co-Accused
528,211,515252,Main Accused
529,211,503756,Main Accused
530,212,521053,Main Accused
531,212,516794,Main Accused
532,212,524121,Co-Accused
533,213,508277,Co-Accused
534,213,522454,Main Accused
535,214,521163,Main Accused
536,214,502495,Co-Accused
537,215,504613,Main Accused
538,215,523238,Co-Accused
539,215,513696,Co-Accused
540,215,518636,Main Accused
541,216,520331,Main Accused
542,216,505353,Main Accused
543,217,504896,Co-Accused
544,217,523430,Co-Accused
545,218,507864,Main Accused
546,218,514591,Main Accused
547,218,515504,Co-Accused
548,218,513223,Co-Accused
549,219,506605,Main Accused
550,219,521022,Co-Accused
551,219,502239,Main Accused
552,220,522532,Co-Accused
553,220,516654,Co-Accused
554,221,500293,Co-Accused
555,222,512199,Main Accused
556,222,516490,Co-Accused
557,223,512791,Co-Accused
558,223,522705,Main Accused
559,223,520133,Main Accused
560,224,513675,Co-Accused
561,225,517689,Co-Accused
562,226,515711,Co-Accused
563,226,509039,Main Accused
564,227,514871,Main Accused
565,227,522730,Co-Accused
566,227,517564,Co-Accused
567,228,521447,Main Accused
568,228,509576,Main Accused
569,228,522885,Main Accused
570,229,524692,Main Accused
571,229,519653,Main Accused
572,229,519631,Co-Accused
573,229,523992,Co-Accused
574,230,506168,Co-Accused
575,230,500700,Main Accused
576,230,500214,Co-Accused
577,230,510753,Co-Accused
578,231,522164,Co-Accused
579,232,512474,Main Accused
580,232,504644,Co-Accused
581,232,522458,Co-Accused
582,232,506286,Co-Accused
583,233,506942,Co-Accused
584,233,507194,Co-Accused
585,233,500594,Main Accused
586,234,510815,Main Accused
587,234,510679,Co-Accused
588,235,523567,Co-Accused
589,236,505971,Co-Accused
590,237,522517,Main Accused
591,237,507018,Co-Accused
592,237,515856,Main Accused
593,238,517045,Co-Accused
594,238,521604,Main Accused
595,238,511110,Main Accused
596,239,513519,Main Accused
597,239,507547,Co-Accused
598,240,516501,Co-Accused
599,240,505723,Co-Accused
600,240,523725,Main Accused
601,240,515159,Co-Accused
602,241,503025,Main Accused
603,242,504702,Main Accused
604,242,504367,Co-Accused
605,242,501765,Co-Accused
606,243,521279,Main Accused
607,244,508993,Co-Accused
608,245,516281,Co-Accused
609,245,514526,Co-Accused
610,245,512485,Main Accused
611,245,516034,Main Accused
612,246,519479,Co-Accused
613,246,501819,Main Accused
614,246,523913,Main Accused
615,246,517767,Co-Accused
616,247,514824,Co-Accused
617,247,516800,Main Accused
618,247,508799,Main Accused
619,247,516976,Main Accused
620,248,511608,Co-Accused
621,248,524146,Main Accused
622,248,509884,Main Accused
623,249,520848,Co-Accused
624,249,506099,Main Accused
625,250,516623,Main Accused
626,250,524876,Co-Accused
627,250,519972,Co-Accused
628,251,515790,Co-Accused
629,252,508831,Main Accused
630,252,511317,Co-Accused
631,253,516357,Co-Accused
632,253,511601,Co-Accused
633,253,522451,Main Accused
634,254,516052,Co-Accused
635,255,522897,Main Accused
636,255,513158,Co-Accused
637,256,518200,Co-Accused
638,256,515727,Co-Accused
639,256,506451,Co-Accused
640,257,513532,Main Accused
641,257,513463,Co-Accused
642,257,523134,Main Accused
643,258,510558,Main Accused
644,258,507143,Co-Accused
645,258,506880,Co-Accused
646,258,523701,Co-Accused
647,259,524351,Co-Accused
648,260,514213,Main Accused
649,260,502500,Main Accused
650,260,507733,Main Accused
651,261,501172,Co-Accused
652,262,502948,Main Accused
653,262,501457,Co-Accused
654,262,514153,Co-Accused
655,262,518231,Co-Accused
656,263,518297,Main Accused
657,263,512463,Co-Accused
658,263,509893,Main Accused
659,264,513433,Co-Accused
660,265,508557,Co-Accused
661,266,501722,Main Accused
662,266,522304,Co-Accused
663,266,519313,Main Accused
664,267,514681,Main Accused
665,267,518840,Main Accused
666,267,516378,Co-Accused
667,267,502590,Co-Accused
668,268,519893,Main Accused
669,268,517337,Main Accused
670,269,522121,Main Accused
671,269,517112,Main Accused
672,269,508593,Main Accused
673,270,524382,Main Accused
674,270,512205,Main Accused
675,271,500451,Co-Accused
676,271,504431,Co-Accused
677,271,512221,Main Accused
678,272,506498,Main Accused
679,273,507277,Main Accused
680,273,515110,Co-Accused
681,273,514114,Main Accused
682,274,505018,Co-Accused
683,275,510099,Co-Accused
684,275,516822,Co-Accused
685,276,515693,Co-Accused
686,277,501444,Main Accused
687,277,500121,Main Accused
688,277,502752,Main Accused
689,278,513592,Main Accused
690,278,521004,Main Accused
691,278,523211,Co-Accused
692,278,504502,Co-Accused
693,279,519216,Co-Accused
694,279,510937,Co-Accused
695,279,520357,Main Accused
696,279,508542,Main Accused
697,280,522071,Main Accused
698,280,519218,Main Accused
699,280,517332,Main Accused
700,281,510374,Co-Accused
701,281,522995,Main Accused
702,281,510586,Co-Accused
703,282,519819,Main Accused
704,283,517067,Main Accused
705,283,516977,Co-Accused
706,284,500439,Main Accused
707,285,503398,Co-Accused
708,286,514639,Main Accused
709,287,514030,Co-Accused
710,288,507645,Main Accused
711,288,502664,Main Accused
712,288,509023,Co-Accused
713,289,509068,Co-Accused
714,289,500444,Main Accused
715,290,520961,Main Accused
716,290,504030,Co-Accused
717,291,523363,Co-Accused
718,291,509163,Co-Accused
719,292,511147,Main Accused
720,292,505070,Co-Accused
721,292,509748,Main Accused
722,292,510673,Main Accused
723,293,514017,Co-Accused
724,293,505909,Main Accused
725,294,523266,Co-Accused
726,295,502290,Co-Accused
727,295,522389,Main Accused
728,295,519616,Co-Accused
729,295,515279,Co-Accused
730,296,511707,Main Accused
731,297,518869,Main Accused
732,297,502513,Co-Accused
733,298,523535,Main Accused
734,298,507404,Main Accused
735,298,515420,Main Accused
736,299,504434,Co-Accused
737,299,522652,Main Accused
738,299,500804,Co-Accused
739,299,501703,Co-Accused
740,300,514617,Main Accused
741,300,519332,Main Accused
742,300,518708,Co-Accused
743,300,508917,Main Accused
744,301,501176,Co-Accused
745,301,521576,Co-Accused
746,301,513662,Main Accused
747,302,502967,Main Accused
748,302,505149,Co-Accused
749,302,502515,Main Accused
750,303,521268,Co-Accused
751,303,511058,Main Accused
752,304,523480,Co-Accused
753,304,513128,Main Accused
754,304,524101,Main Accused
755,305,519694,Main Accused
756,305,516753,Co-Accused
757,305,507808,Co-Accused
758,306,504185,Main Accused
759,306,509074,Main Accused
760,307,514624,Main Accused
761,307,500624,Co-Accused
762,307,524169,Co-Accused
763,308,509756,Main Accused
764,308,513040,Co-Accused
765,309,500823,Main Accused
766,310,507048,Main Accused
767,310,513585,Main Accused
768,311,517691,Co-Accused
769,311,524369,Main Accused
770,311,520439,Co-Accused
771,312,507756,Main Accused
772,313,512866,Main Accused
773,314,504446,Main Accused
774,314,521942,Co-Accused
775,314,522320,Co-Accused
776,315,501215,Co-Accused
777,315,508487,Main Accused
778,315,504277,Main Accused
779,316,505058,Co-Accused
780,317,512036,Co-Accused
781,317,520249,Co-Accused
782,317,509385,Co-Accused
783,317,502486,Co-Accused
784,318,524208,Co-Accused
785,318,502399,Main Accused
786,318,513447,Co-Accused
787,318,517089,Main Accused
788,319,519588,Main Accused
789,320,517960,Co-Accused
790,320,515543,Co-Accused
791,321,517430,Main Accused
792,321,514573,Main Accused
793,321,505208,Main Accused
794,322,523639,Co-Accused
795,323,500665,Main Accused
796,323,515004,Co-Accused
797,323,520954,Main Accused
798,324,512471,Main Accused
799,324,517359,Co-Accused
800,324,507308,Main Accused
801,325,501092,Main Accused
802,325,516636,Main Accused
803,325,508712,Co-Accused
804,325,502681,Main Accused
805,326,511585,Main Accused
806,326,507932,Co-Accused
807,327,503510,Main Accused
808,327,507486,Main Accused
809,328,507687,Co-Accused
810,328,507905,Co-Accused
811,328,512704,Main Accused
812,328,513227,Main Accused
813,329,510883,Main Accused
814,329,520903,Main Accused
815,329,503930,Co-Accused
816,330,517555,Main Accused
817,330,512380,Co-Accused
818,330,522327,Main Accused
819,331,524136,Main Accused
820,331,521443,Main Accused
821,332,514904,Co-Accused
822,332,524486,Main Accused
823,332,507671,Main Accused
824,333,506038,Co-Accused
825,334,506701,Co-Accused
826,334,505618,Main Accused
827,334,522740,Main Accused
828,334,507417,Co-Accused
829,335,512690,Main Accused
830,335,504479,Main Accused
831,335,515535,Main Accused
832,335,502553,Co-Accused
833,336,509724,Co-Accused
834,336,501615,Main Accused
835,336,520411,Co-Accused
836,337,509683,Co-Accused
837,337,506300,Co-Accused
838,337,506215,Main Accused
839,337,518481,Co-Accused
840,338,512144,Main Accused
841,338,501690,Co-Accused
842,338,510711,Co-Accused
843,339,500314,Main Accused
844,339,517369,Main Accused
845,340,521193,Main Accused
846,340,501843,Main Accused
847,341,516801,Main Accused
848,341,501896,Main Accused
849,341,510409,Main Accused
850,341,506635,Co-Accused
851,342,517390,Main Accused
852,342,515770,Main Accused
853,342,520075,Main Accused
854,342,514472,Co-Accused
855,343,517763,Main Accused
856,343,517874,Co-Accused
857,343,502122,Co-Accused
858,343,519792,Main Accused
859,344,516050,Main Accused
860,344,523700,Main Accused
861,344,515509,Main Accused
862,345,503011,Main Accused
863,345,524627,Co-Accused
864,345,524867,Co-Accused
865,346,506020,Co-Accused
866,346,508194,Co-Accused
867,346,516682,Main Accused
868,347,524045,Co-Accused
869,347,502158,Main Accused
870,348,523413,Co-Accused
871,349,520211,Main Accused
872,349,502960,Main Accused
873,349,513744,Co-Accused
874,349,524021,Main Accused
875,350,510027,Main Accused
876,351,505719,Main Accused
877,351,501090,Main Accused
878,351,519740,Main Accused
879,351,517842,Main Accused
880,352,513615,Co-Accused
881,352,513354,Main Accused
882,353,515329,Main Accused
883,353,520125,Co-Accused
884,353,523763,Co-Accused
885,353,517715,Main Accused
886,354,502724,Main Accused
887,354,506901,Co-Accused
888,354,504753,Co-Accused
889,354,517728,Co-Accused
890,355,523222,Main Accused
891,355,511135,Main Accused
892,355,506512,Co-Accused
893,355,520563,Co-Accused
894,356,511231,Co-Accused
895,357,511149,Main Accused
896,357,518415,Co-Accused
897,357,524181,Co-Accused
898,358,514237,Main Accused
899,358,503181,Co-Accused
900,359,520648,Main Accused
901,359,500149,Co-Accused
902,359,501525,Main Accused
903,359,504418,Co-Accused
904,360,519218,Main Accused
905,360,524369,Main Accused
906,361,517962,Co-Accused
907,361,518896,Main Accused
908,362,523764,Co-Accused
909,362,511362,Main Accused
910,362,506162,Main Accused
911,362,514107,Main Accused
912,363,508999,Co-Accused
913,363,520870,Co-Accused
914,363,502740,Co-Accused
915,363,517990,Main Accused
916,364,508628,Co-Accused
917,365,506648,Main Accused
918,365,520574,Co-Accused
919,365,512136,Co-Accused
920,366,522722,Co-Accused
921,367,500890,Main Accused
922,367,515957,Co-Accused
923,367,503392,Main Accused
924,367,503597,Main Accused
925,368,519788,Co-Accused
926,368,520478,Main Accused
927,369,501562,Main Accused
928,369,514562,Co-Accused
929,370,501220,Main Accused
930,370,508054,Co-Accused
931,370,517332,Main Accused
932,371,500534,Main Accused
933,371,501311,Co-Accused
934,372,505816,Main Accused
935,372,507869,Co-Accused
936,372,501034,Main Accused
937,373,505607,Co-Accused
938,373,524334,Co-Accused
939,374,510508,Co-Accused
940,374,522440,Main Accused
941,375,501809,Co-Accused
942,376,511327,Co-Accused
943,376,510077,Co-Accused
944,377,519458,Co-Accused
945,377,513122,Co-Accused
946,378,522675,Co-Accused
947,378,520177,Main Accused
948,378,503337,Main Accused
949,379,519253,Co-Accused
950,379,514204,Co-Accused
951,380,515702,Main Accused
952,380,506496,Co-Accused
953,380,514714,Co-Accused
954,381,507130,Co-Accused
955,381,501521,Main Accused
956,382,514796,Main Accused
957,382,515765,Main Accused
958,382,513568,Co-Accused
959,382,511970,Main Accused
960,383,502716,Co-Accused
961,384,501506,Co-Accused
962,384,505158,Co-Accused
963,384,519646,Main Accused
964,385,518591,Main Accused
965,385,502120,Co-Accused
966,386,516859,Main Accused
967,387,524590,Main Accused
968,387,519215,Main Accused
969,387,510566,Main Accused
970,388,501123,Co-Accused
971,388,512684,Main Accused
972,389,508912,Main Accused
973,389,510986,Co-Accused
974,389,507922,Main Accused
975,389,505231,Main Accused
976,390,519371,Co-Accused
977,390,512150,Main Accused
978,391,504569,Main Accused
979,391,505264,Main Accused
980,391,518904,Main Accused
981,392,521315,Main Accused
982,393,508380,Main Accused
983,393,512735,Co-Accused
984,393,501277,Main Accused
985,394,501095,Co-Accused
986,394,511398,Main Accused
987,394,500533,Co-Accused
988,394,509867,Co-Accused
989,395,520059,Co-Accused
990,395,507559,Main Accused
991,395,523201,Main Accused
992,395,500230,Co-Accused
993,396,517481,Main Accused
994,396,502213,Main Accused
995,397,516740,Co-Accused
996,397,511889,Main Accused
997,397,514895,Co-Accused
998,397,504584,Co-Accused
999,398,523056,Co-Accused
1000,398,505153,Main Accused
1001,398,505398,Co-Accused
1002,399,508034,Main Accused
1003,399,508145,Co-Accused
1004,399,508298,Main Accused
1005,399,503088,Co-Accused
1006,400,524669,Co-Accused
1007,400,507742,Co-Accused
1008,401,524030,Co-Accused
1009,401,501071,Co-Accused
1010,401,523536,Main Accused
1011,401,505527,Co-Accused
1012,402,507163,Co-Accused
1013,402,523911,Co-Accused
1014,402,521242,Co-Accused
1015,403,516693,Main Accused
1016,403,501264,Co-Accused
1017,403,500607,Main Accused
1018,403,508134,Co-Accused
1019,404,521170,Main Accused
1020,405,513082,Co-Accused
1021,405,519697,Main Accused
1022,405,521213,Main Accused
1023,406,503950,Main Accused
1024,406,503934,Main Accused
1025,406,516102,Co-Accused
1026,407,520575,Co-Accused
1027,407,515819,Main Accused
1028,408,501923,Co-Accused
1029,408,511183,Main Accused
1030,408,508320,Co-Accused
1031,408,506274,Co-Accused
1032,409,516299,Main Accused
1033,409,506825,Main Accused
