MembershipID,GangID,PersonID,Role,JoinYear
258,20,520586,Member,2022
259,20,524594,Leader,2017
260,21,524160,Member,2021
261,21,517465,Member,2019
262,21,521265,Member,2025
263,21,520223,Member,2024
264,21,515583,Member,2020
265,21,508643,Member,2020
266,21,502052,Member,2024
267,21,521514,Member,2021
268,21,523920,Member,2016
269,21,502021,Member,2018
270,21,507331,Member,2023
271,21,500168,Leader,2025
272,21,501475,Member,2017
273,22,517649,Member,2018
274,22,501319,Member,2024
275,22,519218,Member,2025
276,22,518479,Member,2025
277,22,520466,Member,2018
278,22,507429,Member,2020
279,22,514273,Member,2022
280,22,522654,Member,2016
281,22,519429,Member,2022
282,22,507787,Member,2022
283,22,516316,Leader,2018
284,22,523019,Member,2018
285,22,505438,Member,2025
286,22,502609,Member,2022
287,22,524621,Member,2025
288,23,524690,Member,2023
289,23,500092,Member,2023
290,23,505307,Member,2024
291,23,511305,Member,2025
292,23,500384,Leader,2016
293,24,522480,Member,2017
294,24,504276,Member,2021
295,24,507885,Member,2020
296,24,503538,Member,2025
297,24,501555,Member,2018
298,24,501892,Leader,2019
299,24,513470,Member,2025
300,24,519809,Member,2016
301,24,516471,Member,2024
302,24,519324,Member,2019
303,24,503046,Member,2025
304,24,507299,Member,2016
305,25,524391,Member,2025
306,25,507925,Member,2025
307,25,517684,Member,2024
308,25,509889,Member,2020
309,25,520488,Member,2020
310,25,512768,Leader,2024
311,25,509243,Member,2016
312,25,524694,Member,2024
313,25,518037,Member,2017
314,25,502798,Member,2019
315,25,518121,Member,2021
316,25,508333,Member,2022
317,25,502169,Member,2023
318,26,503618,Member,2015
319,26,501504,Member,2015
320,26,512274,Member,2016
321,26,523592,Leader,2020
322,26,503954,Member,2016
323,26,517581,Member,2023
324,26,519307,Member,2017
325,26,501643,Member,2023
326,27,522014,Member,2020
327,27,514616,Member,2024
328,27,509148,Member,2025
329,27,509576,Leader,2020
330,27,508576,Member,2016
331,27,522838,Member,2024
332,27,514205,Member,2018
333,27,506053,Member,2020
334,27,508198,Member,2022
335,28,514547,Member,2023
336,28,504564,Member,2023
337,28,507406,Member,2025
338,28,510278,Leader,2015
339,28,502146,Member,2017
340,28,501892,Member,2024
341,28,521409,Member,2015
342,28,517760,Member,2015
343,29,509962,Member,2020
344,29,508743,Member,2020
345,29,521170,Member,2016
346,29,519016,Leader,2025
347,29,502215,Member,2016
348,29,522647,Member,2015
349,29,500853,Member,2021
350,29,514416,Member,2019
351,29,517191,Member,2015
352,29,500937,Member,2021
353,30,522991,Member,2018
354,30,501636,Member,2025
355,30,502267,Member,2024
356,30,506663,Member,2021
357,30,512537,Member,2024
358,30,507570,Member,2023
359,30,510521,Member,2017
360,30,504283,Member,2015
361,30,505888,Member,2017
362,30,501916,Member,2022
363,30,520729,Leader,2015
364,30,502572,Member,2020
365,30,503499,Member,2020
366,30,507722,Member,2020
367,30,500656,Member,2023
368,31,514152,Member,2019
369,31,500120,Member,2020
370,31,510688,Member,2019
371,31,506914,Member,2018
372,31,524624,Member,2023
373,31,517993,Member,2022
374,31,515880,Member,2023
375,31,511694,Member,2016
376,31,515357,Member,2022
377,31,521259,Member,2015
378,31,514546,Leader,2025
379,32,514453,Member,2020
380,32,515963,Member,2018
381,32,515110,Member,2021
382,32,518630,Member,2016
383,32,511795,Member,2019
384,32,508640,Member,2020
385,32,501191,Member,2016
386,32,515319,Member,2025
387,32,514385,Member,2022
388,32,505514,Member,2017
389,32,510494,Member,2016
390,32,502708,Member,2025
391,32,517081,Leader,2017
392,33,506843,Member,2017
393,33,503495,Member,2018
394,33,518925,Member,2018
395,33,502813,Member,2023
396,33,508589,Member,2025
397,33,522805,Leader,2020
398,33,514203,Member,2024
399,33,507901,Member,2018
400,33,507931,Member,2021
401,33,504179,Member,2021
402,33,507572,Member,2020
403,33,514609,Member,2024
404,33,505408,Member,2015
405,33,501399,Member,2018
406,33,500176,Member,2020
407,33,512924,Member,2019
408,33,517979,Member,2017
409,33,506776,Member,2023
410,33,516984,Member,2021
411,34,512067,Leader,2021
412,34,507516,Member,2025
413,34,501676,Member,2016
414,34,502309,Member,2020
415,34,522695,Member,2017
416,34,511012,Member,2020
417,34,504246,Member,2024
418,34,504844,Member,2021
419,35,513745,Leader,2023
420,35,513979,Member,2015
421,35,502343,Member,2018
422,35,500324,Member,2023
423,35,510430,Member,2019
424,35,505141,Member,2017
425,35,521736,Member,2019
426,35,512458,Member,2025
427,35,501066,Member,2022
428,35,519156,Member,2017
429,35,507349,Member,2017
430,35,524672,Member,2022
431,35,517326,Member,2024
432,35,507091,Member,2024
433,35,505981,Member,2016
434,36,510432,Member,2022
435,36,512234,Member,2018
436,36,514385,Member,2025
437,36,501413,Member,2016
438,36,513708,Member,2023
439,36,510466,Member,2025
440,36,516409,Leader,2016
441,36,524211,Member,2018
442,36,522418,Member,2016
443,37,521558,Leader,2024
444,37,503733,Member,2021
445,37,523848,Member,2019
446,37,505219,Member,2024
447,37,512260,Member,2017
448,38,502167,Member,2016
449,38,507248,Member,2015
450,38,524987,Leader,2019
451,38,523573,Member,2024
452,38,522390,Member,2023
453,38,512546,Member,2021
454,39,517679,Member,2017
455,39,500070,Member,2017
456,39,506632,Member,2020
457,39,507030,Member,2017
458,39,511190,Leader,2023
459,40,501607,Member,2017
460,40,524437,Member,2019
461,40,504686,Member,2019
462,40,523535,Member,2025
463,40,504038,Member,2021
464,40,511784,Member,2019
465,40,524015,Leader,2020
466,40,513182,Member,2021
467,40,516214,Member,2023
468,40,515144,Member,2017
469,40,508874,Member,2020
470,40,502863,Member,2022
471,41,504037,Member,2018
472,41,505534,Member,2022
473,41,514751,Member,2024
474,41,515120,Member,2024
475,41,501636,Member,2021
476,41,516046,Member,2016
477,41,518969,Member,2019
478,41,510115,Member,2016
479,41,507489,Member,2015
480,41,517615,Leader,2015
481,41,511609,Member,2017
482,41,520957,Member,2023
483,41,521252,Member,2023
484,41,510270,Member,2019
485,41,512406,Member,2022
486,42,514379,Member,2020
487,42,515278,Member,2015
488,42,514930,Member,2019
489,42,517553,Member,2025
490,42,512093,Member,2018
491,42,508138,Member,2015
492,42,502421,Member,2019
493,42,519463,Member,2022
494,42,514511,Member,2015
495,42,510463,Member,2025
496,42,517496,Member,2021
497,42,511765,Member,2025
498,42,510374,Leader,2015
499,42,508779,Member,2015
500,42,522792,Member,2019
501,42,508936,Member,2019
502,43,511190,Member,2025
503,43,505263,Member,2024
504,43,504950,Member,2021
505,43,523181,Member,2025
506,43,523658,Leader,2023
507,43,501064,Member,2019
508,43,504743,Member,2016
509,44,521191,Member,2022
510,44,517998,Member,2023
511,44,514661,Member,2025
512,44,503383,Leader,2022
513,44,508471,Member,2021
514,44,521335,Member,2016
515,44,507540,Member,2015
516,44,520813,Member,2023
517,44,509094,Member,2022
518,44,512607,Member,2020
519,44,519096,Member,2015
520,44,519635,Member,2023
521,45,502843,Member,2023
522,45,509000,Leader,2015
523,45,517205,Member,2017
524,45,518495,Member,2017
525,45,515726,Member,2023
526,45,524181,Member,2025
527,45,511861,Member,2021
528,45,504425,Member,2022
529,45,507925,Member,2025
530,45,514492,Member,2019
531,46,517954,Member,2020
532,46,518689,Member,2024
533,46,507593,Leader,2024
534,46,502196,Member,2024
535,46,519822,Member,2023
536,47,517919,Member,2016
537,47,507286,Leader,2020
538,47,505253,Member,2021
539,47,521300,Member,2022
540,47,510958,Member,2022
541,48,515485,Member,2016
542,48,508411,Member,2018
543,48,524102,Member,2020
544,48,523022,Member,2016
545,48,516304,Member,2022
546,48,523553,Member,2024
547,48,521151,Member,2015
548,48,515005,Member,2015
549,48,519970,Leader,2020
550,49,506134,Member,2016
551,49,524224,Member,2023
552,49,514164,Leader,2021
553,49,501123,Member,2018
554,49,504158,Member,2020
555,49,508397,Member,2017
556,49,507475,Member,2024
557,49,511732,Member,2023
558,49,521566,Member,2022
559,49,508888,Member,2024
560,49,505101,Member,2022
561,50,501612,Leader,2025
562,50,522659,Member,2016
563,50,501633,Member,2022
564,50,503143,Member,2021
565,50,521029,Member,2023
566,50,509335,Member,2017
567,50,517581,Member,2021
568,50,509044,Member,2016
569,50,519185,Member,2019
570,50,501789,Member,2022
571,50,523449,Member,2016
