CaseID,FIRNumber,CrimeHeadID,CrimeSubHeadID,StationID,OfficerID,VictimID,AccusedID,Date,Weapon,Vehicle,Latitude,Longitude,Priority,ModusOperandi,Status
67,FIR/2026/000067,9,30,5,100379,501268,522343,2024-06-02,Iron Rod,Truck,12.915183,77.555508,High,Poisoning,Closed
68,FIR/2026/000068,12,38,1,100095,518227,519609,2023-11-06,Crowbar,Van,12.948575,77.579914,Critical,Physical Assault,Closed
69,FIR/2023/000069,10,33,9,100708,519206,505282,2022-03-04,Iron Rod,Scooter,13.023113,77.554962,Medium,Firearm,Closed
70,FIR/2023/000070,7,23,14,101138,519579,502108,2024-01-29,Stick,Van,12.298923,76.68796,High,Forced Entry,Closed
71,FIR/2024/000071,1,4,10,100811,511261,513516,2023-11-22,Knife,None,12.93334,77.561534,Critical,Firearm,Closed
72,FIR/2022/000072,9,29,19,101481,521115,508886,2024-06-05,Stick,Van,12.953527,74.837699,Medium,Duplicate Key,Under Investigation
73,FIR/2025/000073,1,2,11,100937,507445,518624,2024-09-28,Hands,Motorcycle,12.325551,76.597474,Critical,Physical Assault,Pending Trial
74,FIR/2022/000074,3,8,14,101177,517048,504980,2022-03-22,Pistol,Auto,12.303939,76.644741,Critical,Firearm,Closed
75,FIR/2025/000075,5,14,17,101391,515010,501689,2025-07-20,Iron Rod,None,12.902848,74.840392,Critical,Vehicle Lock Break,Charge Sheet Filed
76,FIR/2022/000076,5,17,4,100289,516653,514489,2025-06-23,Hands,Scooter,12.977561,77.63616,Medium,Vehicle Lock Break,Closed
77,FIR/2023/000077,7,25,13,101060,521479,524637,2023-11-24,Knife,Motorcycle,12.323772,76.681705,Low,Online Scam,Closed
78,FIR/2025/000078,5,17,12,101015,510466,511821,2023-05-22,Pistol,Auto,12.296043,76.670401,Low,Physical Assault,Pending Trial
79,FIR/2026/000079,12,38,12,100968,524866,501343,2022-04-09,Unknown,Car,12.302411,76.677161,High,Vehicle Lock Break,Pending Trial
80,FIR/2025/000080,4,11,9,100721,514512,511693,2023-04-25,Pistol,Truck,13.008625,77.551892,High,Fake Identity,Pending Trial
81,FIR/2023/000081,9,31,6,100512,505989,513362,2025-06-18,Hands,Motorcycle,13.017314,77.590675,Medium,Poisoning,Closed
82,FIR/2024/000082,1,1,2,100158,509853,502942,2026-09-22,Hands,Car,12.964305,77.609627,Medium,Physical Assault,Closed
83,FIR/2026/000083,12,40,8,100622,507074,506233,2026-03-04,Crowbar,Van,13.008233,77.607749,High,Forced Entry,Under Investigation
84,FIR/2023/000084,11,37,14,101134,516906,524544,2026-02-01,Iron Rod,Van,12.29493,76.679529,High,Firearm,Closed
85,FIR/2023/000085,10,33,16,101324,505398,514923,2024-11-10,Iron Rod,Truck,12.970183,74.894924,High,Duplicate Key,Under Investigation
86,FIR/2024/000086,7,25,4,100274,516412,520892,2022-07-10,Iron Rod,None,12.958594,77.600879,Critical,Online Scam,Under Investigation
87,FIR/2022/000087,6,19,3,100226,501899,510234,2022-12-27,Pistol,None,12.961059,77.592942,High,Forced Entry,Pending Trial
88,FIR/2022/000088,3,10,7,100596,503530,515793,2026-06-26,Crowbar,Scooter,12.922208,77.62119,High,Online Scam,Pending Trial
89,FIR/2024/000089,6,21,15,101226,503123,501866,2025-04-12,Stick,Car,12.303338,76.642003,Critical,Duplicate Key,Charge Sheet Filed
90,FIR/2025/000090,6,20,5,100395,503501,511710,2025-12-19,Knife,None,12.942527,77.548207,Low,Knife Attack,Charge Sheet Filed
91,FIR/2026/000091,1,3,9,100715,509861,515191,2024-12-15,Unknown,Motorcycle,12.96643,77.592048,Low,Physical Assault,Under Investigation
92,FIR/2025/000092,4,11,6,100538,510357,514482,2023-01-30,Stick,Car,12.996324,77.611542,Critical,Social Engineering,Closed
93,FIR/2024/000093,9,30,8,100673,518519,519941,2023-04-20,Hands,None,13.001019,77.574636,High,Physical Assault,Under Investigation
94,FIR/2023/000094,12,40,18,101431,504274,511716,2025-06-22,Iron Rod,Truck,12.965289,74.854605,Critical,Poisoning,Charge Sheet Filed
95,FIR/2024/000095,9,30,11,100920,507061,507355,2022-03-05,Pistol,Van,12.336132,76.578797,Low,Online Scam,Charge Sheet Filed
96,FIR/2024/000096,8,27,10,100812,519808,509858,2026-10-03,Pistol,Car,12.952885,77.607101,Critical,Vehicle Lock Break,Charge Sheet Filed
97,FIR/2024/000097,9,29,9,100720,501644,513485,2025-03-14,Iron Rod,Motorcycle,12.990139,77.592685,High,Online Scam,Closed
98,FIR/2026/000098,11,37,18,101409,501845,506508,2025-01-06,Crowbar,Car,12.948018,74.862562,Critical,Forced Entry,Charge Sheet Filed
99,FIR/2025/000099,1,3,3,100199,507824,521353,2026-10-29,Knife,None,12.945675,77.599262,Low,Online Scam,Closed
100,FIR/2026/000100,9,29,14,101153,514812,523208,2023-07-25,Iron Rod,Auto,12.265685,76.662474,High,Social Engineering,Closed
101,FIR/2022/000101,11,37,3,100176,509121,521749,2023-01-08,Unknown,Van,12.94825,77.602943,Medium,Poisoning,Under Investigation
102,FIR/2022/000102,2,5,4,100304,520511,506540,2023-07-07,Hands,Auto,12.965564,77.61204,Critical,Fake Identity,Pending Trial
103,FIR/2025/000103,12,38,5,100392,522945,507391,2026-01-19,Hands,Auto,12.935365,77.566683,Low,Physical Assault,Closed
104,FIR/2025/000104,5,16,20,101584,521541,524353,2024-05-01,Stick,Auto,12.933521,74.84744,Low,Physical Assault,Charge Sheet Filed
105,FIR/2023/000105,1,2,5,100426,514405,514245,2022-08-07,Iron Rod,Scooter,12.967115,77.551971,Critical,Duplicate Key,Closed
106,FIR/2025/000106,12,40,5,100389,521094,502649,2023-10-04,Crowbar,Motorcycle,12.931769,77.598383,Medium,Duplicate Key,Charge Sheet Filed
107,FIR/2023/000107,9,31,8,100633,524881,518461,2026-04-28,Hands,Scooter,12.962892,77.589343,Critical,Duplicate Key,Charge Sheet Filed
108,FIR/2025/000108,3,9,8,100660,507200,514766,2026-11-29,Stick,Truck,13.011642,77.620569,High,Social Engineering,Under Investigation
109,FIR/2023/000109,3,9,9,100767,514306,519956,2024-01-04,Unknown,Van,13.021587,77.549737,Medium,Knife Attack,Charge Sheet Filed
110,FIR/2024/000110,7,24,14,101152,510629,510920,2024-06-06,Unknown,None,12.254734,76.660664,Critical,Poisoning,Pending Trial
111,FIR/2023/000111,8,27,4,100326,523368,520689,2022-06-11,Unknown,None,12.968344,77.648579,Critical,Online Scam,Charge Sheet Filed
112,FIR/2023/000112,2,5,18,101450,524843,519625,2026-07-10,Iron Rod,Scooter,12.965236,74.880837,High,Knife Attack,Closed
113,FIR/2023/000113,1,1,6,100511,522394,503858,2026-12-12,Crowbar,Van,12.986931,77.615115,Critical,Physical Assault,Under Investigation
114,FIR/2023/000114,2,5,20,101570,506227,518622,2026-12-19,Crowbar,Van,12.931378,74.87204,Critical,ATM Skimming,Under Investigation
115,FIR/2026/000115,3,9,13,101072,517346,509471,2026-02-22,Iron Rod,Van,12.303228,76.680871,Medium,Poisoning,Charge Sheet Filed
116,FIR/2023/000116,4,11,15,101218,509056,503334,2025-01-26,Pistol,Auto,12.303651,76.602013,Critical,Physical Assault,Pending Trial
117,FIR/2022/000117,3,9,8,100646,506097,524776,2022-08-28,Pistol,Motorcycle,13.011223,77.58926,High,Forced Entry,Pending Trial
118,FIR/2025/000118,1,2,11,100895,520206,506701,2023-04-18,Stick,Van,12.332859,76.581505,High,Duplicate Key,Under Investigation
119,FIR/2023/000119,10,33,2,100165,518751,505479,2024-07-06,Unknown,Car,12.923996,77.580963,Low,Online Scam,Closed
120,FIR/2024/000120,5,17,14,101139,512124,524493,2023-03-02,Hands,Truck,12.265153,76.644599,Critical,Knife Attack,Charge Sheet Filed
121,FIR/2023/000121,11,36,6,100449,506853,509937,2022-03-14,Hands,Auto,12.993982,77.606494,Low,Physical Assault,Closed
122,FIR/2025/000122,11,35,17,101363,502260,521908,2024-12-28,Hands,Van,12.929167,74.837127,High,Fake Identity,Closed
123,FIR/2024/000123,11,36,7,100559,512244,518935,2023-12-06,Crowbar,Auto,12.962629,77.621897,Low,Vehicle Lock Break,Pending Trial
124,FIR/2022/000124,9,30,5,100382,507081,506332,2022-09-26,Unknown,Truck,12.926261,77.543275,Medium,Vehicle Lock Break,Pending Trial
125,FIR/2025/000125,2,6,4,100295,502028,508387,2026-01-07,Pistol,Truck,12.962113,77.649122,Low,Vehicle Lock Break,Closed
126,FIR/2026/000126,4,11,8,100647,500626,518323,2024-10-26,Pistol,None,12.970816,77.586139,High,Forced Entry,Under Investigation
127,FIR/2025/000127,10,32,1,100035,516026,519215,2026-11-04,Knife,Van,12.985587,77.569257,Low,Poisoning,Charge Sheet Filed
128,FIR/2022/000128,11,35,13,101070,524325,516749,2023-07-16,Knife,Car,12.334827,76.661276,Medium,Physical Assault,Closed
129,FIR/2025/000129,11,35,20,101581,506947,503645,2026-06-17,Knife,Van,12.927513,74.838129,Medium,Poisoning,Charge Sheet Filed
130,FIR/2022/000130,3,9,17,101374,521134,502337,2026-07-30,Unknown,Car,12.91575,74.867265,High,Firearm,Under Investigation
131,FIR/2025/000131,7,24,2,100139,523331,510228,2024-02-05,Iron Rod,None,12.968046,77.616774,Medium,Vehicle Lock Break,Charge Sheet Filed
132,FIR/2023/000132,3,9,5,100380,508254,508267,2022-12-05,Hands,Motorcycle,12.965521,77.583469,High,Duplicate Key,Charge Sheet Filed
133,FIR/2024/000133,1,4,15,101199,508833,513020,2024-01-01,Pistol,None,12.281805,76.636062,Low,Forced Entry,Under Investigation
134,FIR/2022/000134,6,22,14,101119,507291,507691,2022-11-29,Unknown,Motorcycle,12.297069,76.676406,High,Forced Entry,Charge Sheet Filed
135,FIR/2024/000135,4,11,4,100315,517058,518303,2022-01-15,Crowbar,Car,13.008458,77.604378,High,ATM Skimming,Charge Sheet Filed
136,FIR/2022/000136,4,13,7,100558,508997,521111,2026-03-19,Iron Rod,None,12.933456,77.635079,Medium,Forced Entry,Under Investigation
137,FIR/2025/000137,5,14,8,100640,513147,520838,2026-05-28,Hands,Motorcycle,12.999265,77.576114,High,Online Scam,Pending Trial
138,FIR/2022/000138,2,7,6,100428,523752,518475,2025-10-18,Knife,Motorcycle,13.016288,77.578246,High,Fake Identity,Pending Trial
139,FIR/2024/000139,1,1,8,100642,509366,511694,2023-11-01,Unknown,Car,12.991826,77.569798,Medium,Online Scam,Charge Sheet Filed
140,FIR/2026/000140,1,2,13,101059,508599,513425,2023-11-06,Stick,Motorcycle,12.333465,76.694805,High,ATM Skimming,Closed
141,FIR/2022/000141,7,25,9,100721,503819,520573,2022-10-10,Stick,None,13.007104,77.592575,High,Forced Entry,Closed
142,FIR/2026/000142,1,2,15,101246,523316,514576,2024-10-29,Hands,Scooter,12.304906,76.609809,Medium,Duplicate Key,Pending Trial
143,FIR/2024/000143,4,11,16,101281,515473,519161,2023-02-19,Iron Rod,None,12.969143,74.890029,High,Social Engineering,Closed
144,FIR/2022/000144,9,30,20,101588,507227,524219,2024-08-16,Hands,Van,12.890991,74.833738,Medium,Forced Entry,Under Investigation
145,FIR/2024/000145,11,36,2,100116,512389,507400,2022-06-26,Stick,Truck,12.962412,77.619749,Low,ATM Skimming,Under Investigation
146,FIR/2025/000146,9,30,18,101423,508829,523161,2022-03-09,Crowbar,Van,12.944257,74.88626,Low,Online Scam,Closed
147,FIR/2023/000147,6,21,6,100450,504580,517569,2025-06-04,Stick,Car,12.970324,77.576582,Low,Knife Attack,Pending Trial
148,FIR/2026/000148,10,32,14,101126,509353,505589,2023-07-30,Pistol,None,12.296374,76.672141,Medium,Vehicle Lock Break,Under Investigation
149,FIR/2026/000149,7,24,14,101124,515625,504049,2026-08-31,Stick,None,12.304148,76.657674,Critical,Duplicate Key,Under Investigation
150,FIR/2024/000150,9,31,3,100177,508525,517236,2024-05-25,Iron Rod,None,12.996728,77.603914,Critical,Poisoning,Under Investigation
151,FIR/2023/000151,9,30,9,100753,510404,504699,2023-11-17,Stick,None,13.012864,77.568597,High,ATM Skimming,Closed
152,FIR/2026/000152,6,22,1,100062,503000,503173,2026-09-10,Pistol,Scooter,12.995409,77.554305,Low,ATM Skimming,Under Investigation
153,FIR/2026/000153,3,8,13,101069,522559,505668,2024-07-16,Hands,Van,12.290021,76.664462,Low,Fake Identity,Closed
154,FIR/2022/000154,5,16,2,100135,501580,516080,2022-10-22,Unknown,Van,12.939829,77.617234,Low,Firearm,Closed
155,FIR/2025/000155,9,30,5,100393,521215,519613,2025-09-17,Stick,Motorcycle,12.958644,77.566442,Medium,Duplicate Key,Charge Sheet Filed
156,FIR/2025/000156,1,3,12,100973,501392,520103,2022-09-16,Knife,Auto,12.29701,76.6686,Medium,Online Scam,Closed
157,FIR/2023/000157,8,27,9,100768,505575,500161,2024-12-01,Hands,Van,13.014585,77.576863,Critical,Social Engineering,Closed
158,FIR/2023/000158,3,10,7,100564,514781,506756,2025-07-06,Iron Rod,Car,12.940618,77.599874,Critical,Online Scam,Charge Sheet Filed
159,FIR/2022/000159,3,10,17,101348,520418,511720,2024-12-18,Knife,Van,12.922374,74.835839,Critical,Firearm,Closed
160,FIR/2022/000160,6,18,17,101389,509385,517087,2023-10-21,Crowbar,Scooter,12.935751,74.861513,Critical,Fake Identity,Closed
161,FIR/2022/000161,6,19,16,101264,517857,508060,2022-01-06,Pistol,None,12.963424,74.859599,Low,Physical Assault,Pending Trial
162,FIR/2022/000162,10,32,18,101440,522219,517657,2023-12-27,Iron Rod,Car,12.94671,74.880655,Medium,Firearm,Under Investigation
163,FIR/2026/000163,1,4,17,101364,522939,522931,2023-01-08,Iron Rod,Van,12.89152,74.827017,Medium,Physical Assault,Charge Sheet Filed
164,FIR/2022/000164,5,14,16,101333,523447,516361,2024-02-16,Unknown,Truck,12.977579,74.880094,Low,Forced Entry,Under Investigation
165,FIR/2025/000165,2,7,13,101069,521872,507135,2024-12-28,Pistol,Truck,12.333817,76.7029,Critical,ATM Skimming,Charge Sheet Filed
166,FIR/2022/000166,4,13,7,100542,504982,522198,2026-07-22,Knife,Scooter,12.940127,77.627065,Low,ATM Skimming,Pending Trial
167,FIR/2026/000167,5,16,20,101610,521580,507844,2026-03-30,Stick,Scooter,12.888386,74.872036,High,Fake Identity,Pending Trial
168,FIR/2026/000168,8,28,18,101432,507579,503963,2022-06-20,Crowbar,Motorcycle,12.928258,74.89055,Medium,Fake Identity,Closed
169,FIR/2025/000169,3,8,12,100982,500338,519946,2023-06-29,Hands,None,12.289116,76.687973,Critical,Duplicate Key,Closed
170,FIR/2024/000170,10,32,10,100861,514923,510520,2024-11-06,Stick,None,12.925675,77.605938,Medium,Firearm,Pending Trial
171,FIR/2025/000171,6,21,18,101414,514267,514283,2026-09-21,Hands,Car,12.921409,74.86515,High,Forced Entry,Closed
172,FIR/2022/000172,1,3,7,100585,504601,519248,2023-09-28,Unknown,Van,12.91438,77.635837,High,Online Scam,Pending Trial
173,FIR/2024/000173,3,9,8,100677,515581,523343,2022-03-09,Crowbar,None,12.967437,77.580674,Critical,Poisoning,Closed
174,FIR/2023/000174,6,21,3,100242,503924,500571,2024-04-16,Hands,Motorcycle,12.958139,77.573121,Critical,Duplicate Key,Pending Trial
175,FIR/2025/000175,11,35,19,101505,506903,508566,2025-12-30,Hands,Van,12.959275,74.848184,Medium,Vehicle Lock Break,Pending Trial
176,FIR/2022/000176,6,22,14,101141,516704,503599,2026-01-14,Crowbar,Scooter,12.27821,76.656859,Critical,ATM Skimming,Pending Trial
177,FIR/2025/000177,2,6,20,101613,508583,523984,2024-06-11,Crowbar,None,12.900893,74.869053,Medium,Physical Assault,Charge Sheet Filed
178,FIR/2023/000178,9,31,1,100047,516171,514989,2025-06-07,Stick,Truck,12.998642,77.541697,Critical,Fake Identity,Under Investigation
179,FIR/2026/000179,2,6,18,101446,501671,509790,2022-09-24,Iron Rod,Van,12.924704,74.84619,High,Firearm,Under Investigation
180,FIR/2024/000180,5,17,8,100697,510457,524286,2024-01-08,Crowbar,Scooter,12.986844,77.612662,High,Vehicle Lock Break,Under Investigation
181,FIR/2024/000181,10,33,14,101164,511339,523586,2022-12-07,Hands,Scooter,12.290509,76.673013,Low,Firearm,Pending Trial
182,FIR/2025/000182,12,39,19,101466,521865,500121,2025-06-19,Unknown,Van,12.914579,74.828231,Critical,Duplicate Key,Under Investigation
183,FIR/2024/000183,3,8,13,101109,507845,513801,2023-10-21,Unknown,Van,12.314848,76.693613,Critical,Vehicle Lock Break,Charge Sheet Filed
184,FIR/2025/000184,10,34,20,101565,508082,522463,2024-10-25,Knife,Scooter,12.920682,74.878734,Low,Duplicate Key,Closed
185,FIR/2023/000185,10,34,20,101606,506820,515026,2022-03-29,Knife,Car,12.934101,74.879116,Critical,Social Engineering,Charge Sheet Filed
186,FIR/2026/000186,7,24,5,100358,506445,506103,2025-09-01,Iron Rod,Auto,12.956364,77.556844,Low,Poisoning,Closed
187,FIR/2026/000187,1,3,7,100581,515122,523474,2022-12-21,Iron Rod,Van,12.906843,77.604683,Critical,Physical Assault,Charge Sheet Filed
188,FIR/2024/000188,1,4,7,100594,515726,508702,2023-06-29,Knife,Scooter,12.946781,77.636861,High,Physical Assault,Closed
189,FIR/2023/000189,5,17,13,101066,511718,515335,2025-05-13,Unknown,None,12.296071,76.672669,Medium,Duplicate Key,Closed
190,FIR/2024/000190,1,3,5,100362,508475,505414,2022-06-02,Pistol,Car,12.951828,77.591913,High,Fake Identity,Pending Trial
191,FIR/2022/000191,9,29,13,101106,505087,508236,2026-05-02,Hands,None,12.28253,76.700368,Medium,Online Scam,Closed
192,FIR/2023/000192,12,39,2,100109,524945,524098,2023-05-19,Hands,Van,12.937192,77.607689,Medium,Fake Identity,Charge Sheet Filed
193,FIR/2022/000193,10,32,4,100312,514289,524567,2025-08-30,Hands,Scooter,12.960359,77.635263,Medium,Fake Identity,Pending Trial
194,FIR/2026/000194,9,29,2,100160,521985,504831,2023-01-28,Stick,Truck,12.949003,77.623757,High,Poisoning,Closed
195,FIR/2023/000195,8,26,2,100155,522913,516530,2022-09-06,Iron Rod,Truck,12.965224,77.600501,Low,Knife Attack,Closed
196,FIR/2022/000196,1,4,4,100303,504948,524275,2026-07-22,Hands,Car,13.010119,77.632976,High,Physical Assault,Pending Trial
