VehicleID,RegistrationNumber,OwnerPersonID,VehicleType,Brand,Color,ManufactureYear,IsStolen
39,KA19YQ3457,500044,Van,Mahindra,Red,2009,False
40,KA02IZ6880,500045,Car,Hero,Black,2022,False
41,KA04BD5231,500045,Van,Royal Enfield,Red,2015,True
42,KA04YJ8524,500053,Auto Rickshaw,TVS,Silver,2012,False
43,KA04ML4205,500054,Motorcycle,Hero,Green,2021,False
44,KA03XJ1636,500055,Truck,Kia,Green,2022,True
45,KA01SY1245,500057,Van,Honda,Blue,2024,False
46,KA19AW6456,500057,Van,Kia,White,2021,False
47,KA05GB9282,500058,Truck,Mahindra,Blue,2008,True
48,KA09BR8332,500058,Scooter,Hero,Green,2024,False
49,KA19RF2931,500059,Van,Tata,Grey,2022,False
50,KA02TI4483,500061,Motorcycle,Royal Enfield,Green,2012,False
51,KA03FO8844,500062,Car,Mahindra,Green,2024,False
52,KA03RX6098,500064,Car,Bajaj,Black,2010,False
53,KA09FV5819,500064,Car,Kia,Yellow,2020,False
54,KA05XD9344,500066,Van,Toyota,Blue,2015,False
55,KA05XP6386,500067,Car,Royal Enfield,Green,2018,False
56,KA01VN3384,500067,Car,Hyundai,Yellow,2012,False
57,KA04XO3314,500070,Truck,Hyundai,Grey,2017,False
58,KA19IZ1531,500070,Truck,Hyundai,Red,2017,True
59,KA09JB7126,500071,Car,Mahindra,Silver,2015,True
60,KA03IH4629,500071,SUV,Mahindra,Blue,2013,False
61,KA03AN9592,500072,SUV,Hyundai,Black,2011,False
62,KA11FO4934,500074,SUV,Royal Enfield,Red,2010,False
63,KA02ED3105,500074,Motorcycle,Hero,Blue,2018,False
64,KA09EK9962,500075,Auto Rickshaw,Honda,White,2014,True
65,KA19IM9631,500075,Truck,Maruti Suzuki,Grey,2025,False
66,KA09WT6308,500076,Truck,Hyundai,Grey,2014,False
67,KA09KT1039,500076,Motorcycle,Bajaj,Yellow,2023,False
68,KA02AQ3929,500077,SUV,Maruti Suzuki,Blue,2023,True
69,KA19XQ7369,500077,Truck,Royal Enfield,Red,2013,True
70,KA09BS1359,500078,Motorcycle,Royal Enfield,Silver,2016,False
71,KA01DA8668,500078,Scooter,Hero,Yellow,2025,False
72,KA03PF9938,500079,Bus,Kia,Green,2023,False
73,KA11UC6039,500079,SUV,Mahindra,Blue,2019,True
74,KA05PF3548,500082,SUV,Hero,Green,2017,False
75,KA04DH7574,500086,Car,Maruti Suzuki,Grey,2012,False
76,KA11NS5903,500088,Motorcycle,Bajaj,Green,2022,False
77,KA19UG2333,500088,Motorcycle,Hyundai,Blue,2008,False
78,KA04IO2326,500089,SUV,Maruti Suzuki,White,2017,False
79,KA05OF2750,500090,Truck,Tata,White,2008,True
80,KA01XA1941,500090,Scooter,Toyota,Grey,2023,True
81,KA09JJ2780,500091,Car,Tata,Red,2024,False
82,KA02JM3693,500091,Auto Rickshaw,Mahindra,Silver,2013,True
83,KA03HS4415,500092,Motorcycle,Maruti Suzuki,Yellow,2010,False
84,KA03NB9947,500092,Motorcycle,Royal Enfield,White,2009,True
85,KA11ER5595,500093,Car,TVS,Grey,2015,False
86,KA02KG8677,500094,Scooter,Bajaj,Red,2017,False
87,KA05JT1454,500094,Car,Honda,Green,2016,True
88,KA19HQ7884,500095,Truck,Hero,Blue,2023,False
89,KA02BR8899,500095,Car,Maruti Suzuki,Grey,2015,False
90,KA02WO6082,500096,Van,Royal Enfield,White,2025,False
91,KA02RU1861,500098,Bus,Tata,Grey,2011,False
92,KA11IN5918,500098,Auto Rickshaw,Toyota,Black,2023,False
93,KA05MT2795,500099,SUV,Bajaj,Black,2023,False
94,KA03DG6746,500099,Car,Royal Enfield,Yellow,2019,False
95,KA03RR5371,500100,Scooter,Tata,Green,2022,False
96,KA02DL5162,500101,Truck,Honda,Grey,2020,True
97,KA01TK1545,500103,Motorcycle,Toyota,Red,2019,False
98,KA09JK2486,500103,Car,Hero,White,2018,False
99,KA09HL2602,500105,Bus,Mahindra,Grey,2011,False
100,KA05MF4295,500106,SUV,Royal Enfield,Blue,2020,False
101,KA09FX2837,500107,Van,Hyundai,Silver,2012,False
102,KA02BI6799,500108,Bus,Toyota,Silver,2009,False
103,KA11LE6030,500109,Motorcycle,Hyundai,Grey,2011,True
104,KA03YJ5838,500109,Van,Bajaj,Black,2020,True
105,KA02CA1124,500111,SUV,Hyundai,Yellow,2017,False
106,KA03FY5862,500111,SUV,Maruti Suzuki,Red,2023,False
107,KA09WT8119,500112,Bus,Bajaj,Blue,2011,False
108,KA02ET3474,500112,Bus,TVS,White,2017,False
109,KA01NO1278,500113,Scooter,Bajaj,Red,2011,False
110,KA02ZN5009,500113,Car,Mahindra,Grey,2011,False
111,KA09DO3986,500116,Car,Honda,Red,2022,False
112,KA09LF2417,500117,Bus,Honda,Green,2012,False
113,KA01WH2549,500118,SUV,Hero,Yellow,2021,True
114,KA19JJ4306,500118,Auto Rickshaw,Bajaj,Silver,2010,False
115,KA05DU1841,500119,Bus,Kia,White,2011,False
116,KA11PT2044,500119,Auto Rickshaw,Hyundai,Silver,2008,False
117,KA03GQ2863,500120,Scooter,Bajaj,White,2018,False
118,KA01JV1499,500120,Bus,Kia,Silver,2009,False
119,KA01PF9878,500122,Truck,Maruti Suzuki,Green,2024,False
120,KA01LX9921,500123,SUV,Toyota,Grey,2018,True
121,KA05YP5117,500124,Scooter,Royal Enfield,Red,2015,False
122,KA04TF2226,500125,Truck,Bajaj,Green,2021,False
123,KA09HX8207,500125,Truck,Kia,Blue,2013,False
124,KA05FJ5483,500126,Truck,Royal Enfield,Blue,2022,False
125,KA19IT7634,500126,Scooter,Toyota,White,2013,False
126,KA09ZJ9975,500127,Truck,Kia,Blue,2018,False
127,KA05ZS8081,500128,Bus,Royal Enfield,Yellow,2013,False
128,KA02QI3595,500128,Scooter,Maruti Suzuki,Grey,2011,False
129,KA19OC7095,500130,Scooter,Hero,Yellow,2018,False
130,KA09SP5602,500130,SUV,Tata,Black,2021,False
131,KA11DD5210,500133,Scooter,Royal Enfield,Green,2022,False
132,KA11DP1303,500136,Van,Kia,Red,2020,False
133,KA09ZI4212,500137,Van,Hyundai,Red,2025,False
134,KA03GH7216,500137,Bus,Kia,White,2009,False
135,KA11CN3984,500139,Auto Rickshaw,Bajaj,Silver,2025,False
136,KA05YZ8018,500140,Bus,Toyota,Blue,2019,False
137,KA03IR3043,500140,SUV,Mahindra,White,2010,True
138,KA02EU6668,500141,Scooter,Mahindra,Blue,2021,True
139,KA19QK3092,500142,Bus,Bajaj,Grey,2022,False
140,KA09AV6231,500142,Bus,Bajaj,Yellow,2018,False
141,KA02KF3493,500143,Van,Royal Enfield,Yellow,2016,False
142,KA01LC8434,500144,Scooter,Hyundai,Blue,2011,True
143,KA05JC1564,500146,Scooter,Kia,Grey,2010,False
144,KA01KZ2968,500150,Motorcycle,Honda,Green,2025,False
145,KA01HZ6146,500150,Scooter,Mahindra,Yellow,2023,False
146,KA02PX1183,500152,Motorcycle,TVS,Red,2018,False
147,KA01TO5361,500152,Bus,Bajaj,Red,2023,False
148,KA03CX8578,500156,Bus,Toyota,Grey,2024,False
149,KA02BH4387,500157,Truck,Kia,Grey,2016,True
150,KA09CS1225,500158,Auto Rickshaw,Mahindra,Grey,2009,False
151,KA09TE5105,500161,SUV,Maruti Suzuki,Green,2016,False
152,KA19FY2315,500161,Truck,Royal Enfield,Black,2024,False
153,KA03UC8064,500164,Motorcycle,Kia,Silver,2019,False
154,KA09RK1080,500164,Auto Rickshaw,Maruti Suzuki,White,2009,False
155,KA11XK3910,500165,Truck,Maruti Suzuki,Green,2017,True
156,KA04OD2770,500165,Scooter,Hyundai,Yellow,2012,False
157,KA03XJ1265,500166,SUV,Kia,Grey,2025,False
158,KA11EW1607,500166,Motorcycle,Kia,Blue,2023,True
159,KA09ID3687,500168,Motorcycle,Toyota,Grey,2008,False
160,KA19RJ2614,500171,Van,TVS,Yellow,2013,True
161,KA05DN5742,500171,Auto Rickshaw,Hyundai,Grey,2008,True
162,KA11IH1435,500173,Van,Bajaj,Black,2015,False
163,KA02WZ4187,500175,SUV,Royal Enfield,Red,2009,True
164,KA03NV4010,500176,Van,Mahindra,Silver,2022,False
165,KA01XZ6937,500178,Van,Hyundai,Green,2015,False
166,KA01DH8340,500181,Truck,Bajaj,Red,2012,False
167,KA19ZI7863,500182,Scooter,Bajaj,Yellow,2022,False
168,KA01XB1816,500182,SUV,Royal Enfield,Blue,2013,False
169,KA04QU3600,500183,Bus,Honda,Yellow,2013,False
170,KA01IJ1101,500184,Scooter,Honda,White,2009,False
171,KA02IL3555,500184,Car,Hyundai,White,2020,True
172,KA05HY4888,500185,Scooter,Hyundai,Silver,2020,False
173,KA11RY4316,500191,Truck,Kia,Yellow,2009,False
174,KA09JG8429,500193,Motorcycle,Hyundai,Green,2024,False
175,KA19LX3642,500193,Motorcycle,Hero,Yellow,2024,True
176,KA05DV2532,500194,Car,Kia,Grey,2014,False
177,KA11FR4052,500194,Scooter,Tata,Grey,2016,True
178,KA04UL1188,500195,Bus,Toyota,White,2019,False
179,KA03AD9224,500195,Car,Kia,Green,2017,False
180,KA01DD7092,500197,Scooter,Kia,Silver,2013,False
181,KA05PM3238,500197,Bus,Royal Enfield,Black,2011,False
182,KA19QJ7695,500198,Scooter,Toyota,Silver,2024,False
183,KA19FU4993,500204,Bus,Kia,Yellow,2018,True
184,KA05KY9097,500206,SUV,Honda,White,2008,True
185,KA09LY9985,500206,Truck,TVS,Red,2018,False
186,KA09DX6580,500208,Auto Rickshaw,Tata,Blue,2017,True
187,KA19EW2022,500212,Scooter,TVS,Black,2016,False
188,KA11BV8049,500212,Scooter,Bajaj,Grey,2023,False
189,KA05LD1587,500213,Car,Hyundai,White,2010,False
190,KA09GP8243,500213,Motorcycle,Maruti Suzuki,Black,2019,True
191,KA11NI1979,500214,Bus,Toyota,Red,2015,False
192,KA19GH3847,500215,Car,Mahindra,Grey,2019,False
193,KA09HB5235,500215,Car,Hero,Black,2009,False
194,KA01XL5020,500216,Car,TVS,Black,2022,False
195,KA11WY1228,500217,Scooter,Mahindra,Blue,2014,False
196,KA09XB1498,500218,Motorcycle,Honda,Grey,2019,False
197,KA19LB2299,500218,Car,TVS,Red,2008,False
198,KA11OP9611,500219,Van,Hyundai,White,2023,False
199,KA11GC5883,500220,Motorcycle,Kia,Silver,2008,False
200,KA02PD1171,500221,Motorcycle,Royal Enfield,Green,2018,False
201,KA11JR2091,500221,Motorcycle,Honda,Green,2024,False
202,KA01CF6018,500222,Car,Hero,Silver,2022,False
203,KA01TV3374,500222,Motorcycle,Bajaj,Green,2012,False
204,KA04GK4078,500224,Bus,Bajaj,Yellow,2019,False
205,KA04II3994,500224,Bus,Royal Enfield,Silver,2013,False
206,KA11RK5625,500225,Auto Rickshaw,Bajaj,Black,2010,False
207,KA04PD9441,500226,Van,Kia,Green,2019,False
208,KA04PA7903,500226,Bus,Mahindra,Blue,2009,False
209,KA05TP9530,500227,SUV,Kia,Silver,2021,True
210,KA05PQ8101,500229,Auto Rickshaw,Bajaj,Blue,2019,False
211,KA03VZ5306,500229,SUV,Maruti Suzuki,Black,2013,False
212,KA11KU3364,500230,Car,Royal Enfield,White,2014,False
213,KA04IS7949,500231,SUV,Hyundai,Blue,2013,True
214,KA11KN8810,500233,Motorcycle,Royal Enfield,Silver,2022,False
215,KA09PQ2300,500233,SUV,TVS,Red,2021,False
216,KA09SC3066,500234,Scooter,Kia,Grey,2019,False
217,KA01XX2851,500235,SUV,TVS,Grey,2013,False
218,KA02WD7567,500236,Truck,Toyota,Yellow,2023,False
219,KA09YV1482,500238,Scooter,Royal Enfield,Grey,2008,False
220,KA11FP9772,500238,Van,Maruti Suzuki,Silver,2015,False
221,KA09RD4530,500239,Truck,Bajaj,Green,2019,False
222,KA05YV7259,500239,SUV,Mahindra,White,2010,False
223,KA05XC9677,500240,Auto Rickshaw,TVS,Blue,2015,False
224,KA02ZY9793,500240,Car,Kia,Silver,2025,True
225,KA03JK9909,500244,Motorcycle,Royal Enfield,Yellow,2013,False
226,KA11OT8723,500245,Scooter,Toyota,Blue,2024,True
227,KA19ZD3995,500245,Scooter,Royal Enfield,Silver,2010,True
228,KA11HG4085,500247,Motorcycle,Mahindra,White,2014,False
229,KA05HW5247,500248,Van,Honda,Green,2019,False
230,KA04IC9214,500248,Motorcycle,Maruti Suzuki,Black,2015,False
231,KA04HW2449,500249,Scooter,Tata,Black,2012,False
232,KA09AE1780,500249,Van,Bajaj,Yellow,2010,True
233,KA09HY2562,500250,Van,Hero,Black,2016,False
234,KA02QK2985,500250,Truck,Hyundai,Green,2008,False
235,KA01HL3901,500251,Truck,Hero,Green,2008,False
236,KA09TH6723,500251,Motorcycle,Bajaj,Yellow,2008,False
237,KA09VS7457,500252,SUV,Maruti Suzuki,Grey,2008,True
238,KA05LH6619,500253,Van,Honda,Silver,2018,True
239,KA04RR8472,500253,Car,Toyota,Black,2023,False
240,KA04XE6883,500255,Car,Kia,Blue,2008,False
241,KA04OZ6774,500257,Van,Toyota,Blue,2024,True
242,KA09PG5480,500258,Motorcycle,Hero,Black,2020,False
243,KA11DK8656,500259,Van,Mahindra,White,2019,False
244,KA01VL2885,500259,Van,Tata,Blue,2025,True
245,KA05YI3309,500261,Van,TVS,Green,2022,False
246,KA03BB5894,500262,Scooter,Royal Enfield,Blue,2018,False
247,KA04LN2557,500262,Car,Maruti Suzuki,Red,2020,False
248,KA03BH9516,500264,SUV,Mahindra,Silver,2015,True
249,KA11QF2762,500265,Bus,Toyota,Silver,2018,False
250,KA05QD5948,500265,SUV,Mahindra,Green,2010,True
251,KA04KQ8498,500269,Car,Kia,Green,2024,True
252,KA05RK4570,500269,Scooter,Hyundai,Green,2015,False
253,KA11SQ9021,500270,Truck,Bajaj,Green,2024,False
254,KA09NB8002,500272,Truck,Tata,White,2009,True
255,KA01SW9959,500272,Motorcycle,Toyota,Yellow,2021,False
256,KA05JK9330,500274,SUV,Royal Enfield,Blue,2020,False
257,KA05HZ7490,500274,Motorcycle,Honda,Blue,2017,False
258,KA09YC3976,500276,Van,Hero,Green,2015,False
259,KA09NH3280,500277,Car,TVS,Yellow,2018,False
260,KA04BJ9297,500277,Car,Toyota,Black,2022,False
261,KA03HU2781,500278,Car,Kia,Silver,2009,False
262,KA05HN4114,500278,Van,Mahindra,Red,2009,False
263,KA02QK3399,500279,Scooter,Maruti Suzuki,Silver,2008,False
264,KA05TT4466,500279,Scooter,Hyundai,Blue,2023,False
265,KA05UA4835,500281,Bus,Tata,Silver,2018,False
266,KA02SF1750,500281,Car,Bajaj,Silver,2016,False
267,KA03YE7507,500282,Bus,Hyundai,Blue,2016,False
268,KA02YZ5975,500282,Motorcycle,Royal Enfield,Black,2024,False
269,KA02NB1986,500283,Truck,Tata,Silver,2014,False
270,KA05VP7093,500283,Truck,Kia,Black,2009,False
271,KA05IP5165,500284,SUV,Tata,Green,2020,False
272,KA11ZI2742,500285,Auto Rickshaw,Maruti Suzuki,White,2021,False
273,KA04ZT3318,500285,Motorcycle,Royal Enfield,Black,2016,False
274,KA03XB6441,500286,Motorcycle,TVS,Grey,2024,False
275,KA04CY1633,500286,Auto Rickshaw,Bajaj,Red,2016,False
276,KA09SE8203,500288,Motorcycle,Royal Enfield,Black,2009,False
277,KA05KW2086,500288,Scooter,Mahindra,Silver,2024,False
278,KA11MD9534,500290,Car,Royal Enfield,Grey,2012,False
279,KA04SC3567,500292,Motorcycle,Bajaj,Yellow,2010,False
280,KA04HR4279,500293,Auto Rickshaw,Honda,Silver,2017,False
281,KA01TV1104,500294,Truck,Hero,Green,2008,False
282,KA02YY2531,500295,Truck,Honda,Red,2020,False
283,KA05KP5260,500295,Motorcycle,Maruti Suzuki,White,2013,True
284,KA09KL4403,500296,Motorcycle,Kia,Blue,2018,True
285,KA09CQ2214,500297,Motorcycle,Hero,Black,2015,True
286,KA03WL2764,500297,Scooter,Kia,Black,2020,False
287,KA19YX7040,500298,Bus,Maruti Suzuki,Green,2015,False
288,KA11GA3288,500300,SUV,Mahindra,White,2017,False
289,KA11XN7547,500302,Motorcycle,Tata,Yellow,2024,False
290,KA09RM5789,500303,Van,Kia,Green,2022,True
291,KA11VK6986,500304,Van,Hero,Yellow,2012,False
292,KA19YC1397,500305,Bus,Royal Enfield,Yellow,2022,True
293,KA19ME9663,500307,Bus,TVS,Silver,2015,True
294,KA02QL4519,500307,Scooter,Kia,Silver,2025,False
295,KA05ZY7297,500309,Motorcycle,TVS,Green,2014,False
296,KA03NG1390,500310,Motorcycle,Mahindra,Blue,2024,False
297,KA02GK1822,500310,Motorcycle,Mahindra,Black,2017,False
298,KA04XZ5333,500311,Scooter,Kia,Yellow,2014,False
299,KA11FK3607,500311,Bus,Bajaj,Grey,2021,False
300,KA03WV6446,500314,Van,Royal Enfield,Red,2010,False
301,KA03JW6459,500317,Van,Royal Enfield,Yellow,2022,True
302,KA01LV6740,500317,SUV,Bajaj,Black,2021,True
303,KA03NN7625,500321,Truck,Toyota,Silver,2021,False
304,KA19QY7279,500321,Van,Mahindra,Grey,2013,False
305,KA01WD7897,500323,Van,Hero,Blue,2022,False
306,KA03OL4273,500323,Van,Toyota,White,2025,False
307,KA01GB3734,500324,Auto Rickshaw,Toyota,White,2023,False
308,KA11VA8131,500324,Motorcycle,Kia,Blue,2008,False
309,KA04TA3234,500326,Auto Rickshaw,Royal Enfield,Red,2020,False
310,KA04GA8679,500326,Truck,Tata,Grey,2022,False
311,KA03AS1843,500328,Van,TVS,Grey,2012,False
312,KA19KI3153,500332,Car,Honda,Silver,2015,False
313,KA01UE4005,500333,Bus,Toyota,Black,2017,False
314,KA02HJ2441,500334,Scooter,Tata,Silver,2024,False
315,KA01TP3192,500336,Truck,Hyundai,Silver,2018,False
316,KA19BK9981,500339,Auto Rickshaw,Maruti Suzuki,White,2015,False
317,KA03PD2799,500339,Scooter,Hyundai,Silver,2023,False
318,KA09DW1979,500340,Scooter,Maruti Suzuki,Green,2013,False
319,KA11YY9957,500340,Bus,TVS,Grey,2010,True
320,KA19BE4482,500343,Auto Rickshaw,Maruti Suzuki,Yellow,2014,False
321,KA09JA3089,500344,Car,Honda,White,2020,False
322,KA03CF5508,500344,Bus,Royal Enfield,Green,2008,True
323,KA05ME2688,500347,Bus,Royal Enfield,Silver,2016,True
324,KA11SS2148,500347,Scooter,Royal Enfield,White,2017,False
325,KA05VD4160,500348,Bus,Hero,Green,2009,False
326,KA05FF6051,500348,Van,Royal Enfield,Black,2011,False
327,KA11YB3644,500349,Auto Rickshaw,Honda,Blue,2010,False
328,KA04KM8032,500350,Truck,Mahindra,Red,2012,False
329,KA09UX9412,500350,Auto Rickshaw,TVS,White,2012,True
330,KA04LD3510,500354,Bus,Maruti Suzuki,Green,2023,False
331,KA01FS9144,500354,Bus,Hyundai,Silver,2024,False
332,KA03YB2249,500356,SUV,Royal Enfield,Silver,2014,False
333,KA09YT1101,500356,SUV,Toyota,Blue,2008,True
334,KA02SB9369,500357,SUV,TVS,Red,2009,False
335,KA02LW2769,500357,Scooter,TVS,Grey,2013,False
336,KA11EC1875,500362,Motorcycle,Kia,Grey,2013,False
337,KA03FP1665,500362,Scooter,TVS,Grey,2008,False
338,KA01BD9209,500363,SUV,Hyundai,Silver,2019,False
339,KA19HW3836,500368,Bus,Kia,Yellow,2011,False
340,KA01IB4876,500368,SUV,Bajaj,Grey,2016,False
341,KA01XH3436,500369,Auto Rickshaw,Toyota,Grey,2008,True
342,KA11YA4202,500371,Auto Rickshaw,Bajaj,Yellow,2024,False
343,KA03ZS8029,500371,Scooter,Hero,Grey,2019,False
344,KA11SQ4806,500373,Auto Rickshaw,Tata,Yellow,2021,False
345,KA09OA2661,500374,Motorcycle,Toyota,White,2010,False
346,KA03OD4283,500374,Motorcycle,Kia,Black,2025,False
347,KA01PM1684,500375,Auto Rickshaw,Toyota,Yellow,2009,True
348,KA11PP1453,500375,Bus,Kia,Green,2013,False
349,KA05LF4169,500377,Car,TVS,Yellow,2017,False
350,KA04CS4436,500378,Auto Rickshaw,Honda,Red,2024,False
351,KA19ZT5716,500379,Car,TVS,Grey,2015,False
352,KA05CH7054,500380,Bus,Bajaj,Silver,2020,False
353,KA02OP8855,500381,Truck,Kia,Silver,2020,False
354,KA19YQ6935,500381,Van,Royal Enfield,Blue,2008,False
355,KA02JQ1039,500383,Auto Rickshaw,Hero,Blue,2021,True
356,KA03YL6159,500384,Motorcycle,Hyundai,White,2016,True
357,KA19ZY7833,500384,Bus,Kia,Silver,2024,True
358,KA05JF6018,500385,Auto Rickshaw,Tata,Yellow,2023,False
359,KA02NM9135,500385,SUV,Royal Enfield,Black,2023,False
360,KA09TI3571,500386,Bus,Toyota,Silver,2017,False
361,KA04WZ1378,500387,Bus,Mahindra,Yellow,2023,False
362,KA05NG8356,500387,Van,Honda,Grey,2011,False
363,KA05AR5745,500390,Scooter,Honda,Red,2021,False
364,KA04VD4479,500390,SUV,Hyundai,Blue,2016,False
365,KA09UL5322,500391,Scooter,Hyundai,Black,2009,True
366,KA11FG8963,500391,Bus,Honda,Yellow,2010,False
367,KA19MI4321,500394,Bus,Hyundai,Blue,2013,False
368,KA02FG3351,500394,Auto Rickshaw,Tata,Blue,2020,False
369,KA05RI9168,500395,Van,Maruti Suzuki,Yellow,2019,True
370,KA04FL5598,500396,Van,Maruti Suzuki,Black,2015,False
371,KA09EW1696,500396,Van,Hyundai,White,2009,True
372,KA11YN7305,500400,Truck,Bajaj,Silver,2017,False
373,KA03QC6358,500400,Car,Hyundai,Blue,2020,False
374,KA09LI9897,500404,SUV,Mahindra,Grey,2008,True
375,KA03WU3909,500404,Bus,Mahindra,Silver,2025,False
376,KA03MT1513,500405,Truck,Bajaj,White,2018,False
377,KA19PP1263,500405,SUV,Mahindra,Green,2018,True
378,KA03LQ5310,500406,Car,Mahindra,Grey,2013,False
379,KA01WH3746,500407,Truck,Maruti Suzuki,Grey,2019,True
380,KA09OO8580,500408,Truck,Mahindra,Silver,2016,False
381,KA03GV4433,500408,SUV,Maruti Suzuki,Black,2010,True
382,KA01YL8599,500410,SUV,Kia,Blue,2020,True
383,KA09IM4584,500410,SUV,Kia,Grey,2015,False
384,KA04JC2414,500411,SUV,Maruti Suzuki,Silver,2008,False
385,KA03LN4543,500413,Scooter,Maruti Suzuki,Green,2021,False
386,KA09RJ8149,500413,SUV,Mahindra,White,2016,True
387,KA01DE5979,500417,Scooter,Toyota,White,2012,False
388,KA19BO9142,500417,Van,Bajaj,White,2023,False
389,KA02CZ3135,500420,SUV,Tata,Black,2010,False
390,KA02CO1509,500420,Bus,Bajaj,Black,2024,False
391,KA09UJ5714,500422,Auto Rickshaw,Hyundai,White,2009,False
392,KA09SG9334,500423,Bus,Maruti Suzuki,Blue,2018,True
393,KA01OR3762,500423,Van,Tata,Grey,2019,False
394,KA19CG7757,500424,Truck,Hyundai,Green,2009,False
395,KA11MR8014,500425,Truck,Hyundai,Yellow,2016,True
396,KA05SB9250,500426,SUV,Mahindra,Grey,2011,False
397,KA04FG2656,500426,Auto Rickshaw,Honda,Grey,2013,False
398,KA19YK9124,500427,Auto Rickshaw,Mahindra,Yellow,2013,False
399,KA19PP2624,500427,Van,Kia,Silver,2018,False
400,KA11ZN4577,500429,Car,Bajaj,Grey,2024,False
401,KA02RA2209,500430,Bus,Maruti Suzuki,Blue,2016,False
402,KA11OS1256,500430,Motorcycle,Kia,Silver,2009,True
403,KA09TU1298,500431,Car,Hyundai,Black,2021,False
404,KA01FT4023,500433,Motorcycle,Honda,Blue,2012,False
405,KA05CL2112,500434,Truck,Hero,Blue,2016,True
406,KA04IS7433,500434,Motorcycle,Tata,Blue,2010,True
407,KA11XU8614,500435,SUV,Bajaj,White,2024,False
408,KA11WR4210,500435,Motorcycle,Bajaj,Red,2014,False
409,KA03SX6273,500436,Auto Rickshaw,Toyota,Black,2014,False
410,KA05AH4229,500437,Auto Rickshaw,Hero,Silver,2009,False
411,KA11RR7479,500438,SUV,Hero,Red,2022,False
412,KA04RO2205,500438,Bus,Bajaj,White,2008,False
413,KA03PO8770,500439,Motorcycle,Mahindra,White,2025,False
414,KA02DY1306,500441,Truck,Hero,Green,2023,True
415,KA01EB9227,500443,Van,Kia,White,2018,False
416,KA03XD4055,500445,Truck,Mahindra,Silver,2025,False
417,KA02XJ9628,500446,Motorcycle,Hero,Green,2015,False
418,KA03HQ5630,500446,Auto Rickshaw,Royal Enfield,Black,2016,False
419,KA01OB9876,500447,SUV,Hero,Silver,2020,False
420,KA02UJ1676,500447,Auto Rickshaw,Mahindra,Yellow,2023,False
421,KA04ZK2112,500449,Truck,Mahindra,Red,2011,True
422,KA01LY3670,500449,Truck,Mahindra,Grey,2008,True
423,KA09TY8810,500450,SUV,Hero,Black,2011,False
424,KA03UT4484,500450,SUV,Hero,Silver,2021,True
425,KA19JP1640,500452,Car,Mahindra,White,2022,False
426,KA01NO1617,500452,Scooter,Toyota,Red,2021,True
427,KA04UN3950,500453,Truck,Toyota,Yellow,2012,False
428,KA02UK6125,500453,Truck,Toyota,Yellow,2024,False
429,KA01UV8914,500455,Van,Hyundai,Grey,2016,False
