CourtCaseID,CaseID,CourtName,JudgeName,HearingCount,Judgement
58,58,Kalaburagi District Court,Justice 194,14,Pending
59,59,Hubballi District Court,Justice 467,11,Pending
60,60,Mysuru District Court,Justice 476,12,Acquitted
61,61,Bengaluru Sessions Court,Justice 367,18,Convicted
62,62,Mangaluru District Court,Justice 111,18,Pending
63,63,Hubballi District Court,Justice 403,14,Pending
64,64,Hubballi District Court,Justice 85,1,Convicted
65,65,Mysuru District Court,Justice 13,12,Pending
66,66,Belagavi Sessions Court,Justice 429,19,Convicted
67,67,Bengaluru Sessions Court,Justice 38,11,Pending
68,68,Kalaburagi District Court,Justice 451,14,Pending
69,69,Belagavi Sessions Court,Justice 181,10,Acquitted
70,70,Belagavi Sessions Court,Justice 157,17,Pending
71,71,Belagavi Sessions Court,Justice 211,6,Acquitted
72,72,Belagavi Sessions Court,Justice 243,15,Convicted
73,73,Bengaluru Sessions Court,Justice 199,11,Pending
74,74,Belagavi Sessions Court,Justice 172,20,Convicted
75,75,Kalaburagi District Court,Justice 445,9,Convicted
76,76,Kalaburagi District Court,Justice 329,16,Convicted
77,77,Bengaluru Sessions Court,Justice 359,19,Pending
78,78,Belagavi Sessions Court,Justice 307,17,Convicted
79,79,Belagavi Sessions Court,Justice 421,16,Pending
80,80,Hubballi District Court,Justice 17,19,Acquitted
81,81,Bengaluru Sessions Court,Justice 112,7,Convicted
82,82,Bengaluru Sessions Court,Justice 259,7,Acquitted
83,83,Mangaluru District Court,Justice 61,17,Convicted
84,84,Belagavi Sessions Court,Justice 248,19,Acquitted
85,85,Kalaburagi District Court,Justice 124,1,Acquitted
86,86,Bengaluru Sessions Court,Justice 421,6,Acquitted
87,87,Hubballi District Court,Justice 277,20,Pending
88,88,Bengaluru Sessions Court,Justice 350,1,Acquitted
89,89,Belagavi Sessions Court,Justice 429,5,Convicted
90,90,Bengaluru Sessions Court,Justice 207,18,Pending
91,91,Mangaluru District Court,Justice 466,17,Acquitted
92,92,Bengaluru Sessions Court,Justice 496,20,Convicted
93,93,Kalaburagi District Court,Justice 43,9,Convicted
94,94,Bengaluru Sessions Court,Justice 286,8,Acquitted
95,95,Mangaluru District Court,Justice 299,12,Acquitted
96,96,Mysuru District Court,Justice 228,16,Acquitted
97,97,Hubballi District Court,Justice 89,19,Pending
98,98,Kalaburagi District Court,Justice 94,18,Pending
99,99,Mangaluru District Court,Justice 324,14,Convicted
100,100,Bengaluru Sessions Court,Justice 62,11,Convicted
101,101,Bengaluru Sessions Court,Justice 318,12,Convicted
102,102,Belagavi Sessions Court,Justice 101,4,Acquitted
103,103,Mangaluru District Court,Justice 65,17,Convicted
104,104,Hubballi District Court,Justice 372,11,Pending
105,105,Hubballi District Court,Justice 142,14,Convicted
106,106,Mysuru District Court,Justice 19,12,Acquitted
107,107,Bengaluru Sessions Court,Justice 291,19,Convicted
108,108,Kalaburagi District Court,Justice 375,18,Acquitted
109,109,Bengaluru Sessions Court,Justice 66,20,Pending
110,110,Mangaluru District Court,Justice 324,5,Convicted
111,111,Belagavi Sessions Court,Justice 62,3,Acquitted
112,112,Belagavi Sessions Court,Justice 21,8,Pending
113,113,Hubballi District Court,Justice 88,7,Pending
114,114,Mangaluru District Court,Justice 294,8,Acquitted
115,115,Mangaluru District Court,Justice 229,1,Acquitted
116,116,Bengaluru Sessions Court,Justice 280,18,Convicted
117,117,Mysuru District Court,Justice 418,5,Acquitted
118,118,Kalaburagi District Court,Justice 280,5,Acquitted
119,119,Belagavi Sessions Court,Justice 124,3,Acquitted
120,120,Mysuru District Court,Justice 242,10,Acquitted
121,121,Hubballi District Court,Justice 413,16,Acquitted
122,122,Mysuru District Court,Justice 156,18,Acquitted
123,123,Hubballi District Court,Justice 252,9,Acquitted
124,124,Mysuru District Court,Justice 370,13,Acquitted
125,125,Hubballi District Court,Justice 109,14,Pending
126,126,Kalaburagi District Court,Justice 175,5,Pending
127,127,Belagavi Sessions Court,Justice 147,11,Pending
128,128,Hubballi District Court,Justice 407,3,Pending
129,129,Bengaluru Sessions Court,Justice 391,14,Pending
130,130,Bengaluru Sessions Court,Justice 333,3,Pending
131,131,Mangaluru District Court,Justice 249,17,Convicted
132,132,Hubballi District Court,Justice 117,18,Acquitted
133,133,Mysuru District Court,Justice 490,6,Convicted
134,134,Belagavi Sessions Court,Justice 4,17,Convicted
135,135,Hubballi District Court,Justice 442,13,Pending
136,136,Kalaburagi District Court,Justice 54,6,Convicted
137,137,Belagavi Sessions Court,Justice 255,2,Pending
138,138,Mangaluru District Court,Justice 49,2,Acquitted
139,139,Hubballi District Court,Justice 493,14,Pending
140,140,Hubballi District Court,Justice 300,18,Convicted
141,141,Bengaluru Sessions Court,Justice 370,11,Acquitted
142,142,Belagavi Sessions Court,Justice 268,20,Pending
143,143,Kalaburagi District Court,Justice 253,12,Pending
144,144,Belagavi Sessions Court,Justice 468,16,Acquitted
145,145,Belagavi Sessions Court,Justice 458,2,Pending
146,146,Mysuru District Court,Justice 51,9,Pending
147,147,Belagavi Sessions Court,Justice 161,4,Pending
148,148,Bengaluru Sessions Court,Justice 71,15,Acquitted
149,149,Mysuru District Court,Justice 318,3,Pending
150,150,Kalaburagi District Court,Justice 10,16,Pending
151,151,Mangaluru District Court,Justice 346,13,Acquitted
152,152,Belagavi Sessions Court,Justice 362,3,Pending
153,153,Kalaburagi District Court,Justice 206,9,Convicted
154,154,Mysuru District Court,Justice 322,15,Convicted
155,155,Kalaburagi District Court,Justice 22,15,Convicted
156,156,Mangaluru District Court,Justice 170,3,Convicted
157,157,Belagavi Sessions Court,Justice 149,19,Convicted
158,158,Mangaluru District Court,Justice 318,1,Pending
159,159,Kalaburagi District Court,Justice 281,10,Acquitted
160,160,Mysuru District Court,Justice 386,16,Acquitted
161,161,Mangaluru District Court,Justice 415,18,Convicted
162,162,Hubballi District Court,Justice 203,2,Pending
163,163,Mysuru District Court,Justice 423,10,Convicted
164,164,Mysuru District Court,Justice 52,18,Acquitted
165,165,Mysuru District Court,Justice 489,11,Acquitted
166,166,Mangaluru District Court,Justice 398,7,Convicted
167,167,Mangaluru District Court,Justice 23,4,Pending
168,168,Kalaburagi District Court,Justice 100,8,Convicted
169,169,Mangaluru District Court,Justice 119,11,Pending
170,170,Hubballi District Court,Justice 96,5,Convicted
171,171,Bengaluru Sessions Court,Justice 306,13,Acquitted
172,172,Belagavi Sessions Court,Justice 151,10,Convicted
173,173,Bengaluru Sessions Court,Justice 127,16,Pending
174,174,Belagavi Sessions Court,Justice 88,11,Acquitted
175,175,Mangaluru District Court,Justice 133,10,Pending
176,176,Mangaluru District Court,Justice 235,7,Acquitted
177,177,Hubballi District Court,Justice 305,5,Pending
178,178,Belagavi Sessions Court,Justice 112,18,Pending
179,179,Mangaluru District Court,Justice 411,11,Pending
180,180,Mysuru District Court,Justice 308,8,Pending
181,181,Belagavi Sessions Court,Justice 95,13,Acquitted
182,182,Mysuru District Court,Justice 89,18,Pending
183,183,Belagavi Sessions Court,Justice 400,6,Pending
184,184,Kalaburagi District Court,Justice 75,15,Pending
185,185,Belagavi Sessions Court,Justice 461,16,Acquitted
186,186,Bengaluru Sessions Court,Justice 458,7,Convicted
187,187,Belagavi Sessions Court,Justice 244,1,Convicted
188,188,Kalaburagi District Court,Justice 432,6,Pending
189,189,Hubballi District Court,Justice 216,8,Convicted
190,190,Kalaburagi District Court,Justice 41,7,Acquitted
191,191,Hubballi District Court,Justice 229,14,Acquitted
192,192,Kalaburagi District Court,Justice 496,12,Pending
193,193,Mangaluru District Court,Justice 381,13,Acquitted
194,194,Bengaluru Sessions Court,Justice 360,13,Pending
195,195,Mangaluru District Court,Justice 347,12,Pending
196,196,Bengaluru Sessions Court,Justice 98,10,Acquitted
197,197,Hubballi District Court,Justice 362,16,Convicted
198,198,Bengaluru Sessions Court,Justice 4,1,Pending
199,199,Hubballi District Court,Justice 313,13,Convicted
200,200,Mangaluru District Court,Justice 403,1,Convicted
201,201,Bengaluru Sessions Court,Justice 239,8,Acquitted
202,202,Mysuru District Court,Justice 79,6,Acquitted
203,203,Mangaluru District Court,Justice 345,15,Pending
204,204,Belagavi Sessions Court,Justice 228,7,Convicted
205,205,Belagavi Sessions Court,Justice 385,11,Convicted
206,206,Bengaluru Sessions Court,Justice 254,3,Acquitted
207,207,Bengaluru Sessions Court,Justice 331,11,Acquitted
208,208,Belagavi Sessions Court,Justice 383,2,Pending
209,209,Mangaluru District Court,Justice 460,17,Convicted
210,210,Bengaluru Sessions Court,Justice 119,9,Convicted
211,211,Kalaburagi District Court,Justice 48,4,Pending
212,212,Kalaburagi District Court,Justice 321,15,Acquitted
213,213,Hubballi District Court,Justice 478,6,Acquitted
214,214,Mangaluru District Court,Justice 261,13,Acquitted
215,215,Kalaburagi District Court,Justice 114,8,Convicted
216,216,Hubballi District Court,Justice 313,8,Convicted
217,217,Hubballi District Court,Justice 248,2,Convicted
218,218,Hubballi District Court,Justice 238,20,Pending
219,219,Bengaluru Sessions Court,Justice 236,1,Acquitted
220,220,Kalaburagi District Court,Justice 248,7,Acquitted
221,221,Kalaburagi District Court,Justice 399,15,Pending
222,222,Mysuru District Court,Justice 91,3,Pending
223,223,Belagavi Sessions Court,Justice 315,12,Convicted
224,224,Mangaluru District Court,Justice 164,9,Convicted
225,225,Hubballi District Court,Justice 304,7,Convicted
226,226,Kalaburagi District Court,Justice 422,10,Pending
227,227,Mysuru District Court,Justice 147,15,Acquitted
228,228,Mangaluru District Court,Justice 445,15,Convicted
229,229,Mangaluru District Court,Justice 338,10,Pending
230,230,Belagavi Sessions Court,Justice 208,8,Acquitted
231,231,Mysuru District Court,Justice 87,8,Pending
232,232,Bengaluru Sessions Court,Justice 135,1,Pending
233,233,Belagavi Sessions Court,Justice 395,14,Acquitted
234,234,Belagavi Sessions Court,Justice 193,16,Acquitted
235,235,Mysuru District Court,Justice 329,6,Convicted
236,236,Mangaluru District Court,Justice 315,20,Acquitted
237,237,Bengaluru Sessions Court,Justice 157,5,Convicted
238,238,Kalaburagi District Court,Justice 152,20,Convicted
239,239,Mysuru District Court,Justice 494,8,Convicted
240,240,Bengaluru Sessions Court,Justice 279,5,Convicted
241,241,Mysuru District Court,Justice 208,14,Convicted
242,242,Hubballi District Court,Justice 157,6,Acquitted
243,243,Hubballi District Court,Justice 207,15,Convicted
244,244,Mangaluru District Court,Justice 286,13,Convicted
245,245,Bengaluru Sessions Court,Justice 142,1,Convicted
246,246,Belagavi Sessions Court,Justice 263,15,Convicted
247,247,Bengaluru Sessions Court,Justice 14,16,Acquitted
248,248,Kalaburagi District Court,Justice 445,18,Acquitted
249,249,Mangaluru District Court,Justice 42,3,Convicted
250,250,Mangaluru District Court,Justice 401,6,Acquitted
251,251,Belagavi Sessions Court,Justice 212,15,Convicted
252,252,Hubballi District Court,Justice 291,14,Convicted
253,253,Bengaluru Sessions Court,Justice 242,17,Acquitted
254,254,Belagavi Sessions Court,Justice 129,3,Pending
255,255,Mysuru District Court,Justice 335,18,Pending
256,256,Hubballi District Court,Justice 443,8,Convicted
257,257,Belagavi Sessions Court,Justice 114,12,Pending
258,258,Mysuru District Court,Justice 38,19,Convicted
259,259,Bengaluru Sessions Court,Justice 489,2,Pending
260,260,Bengaluru Sessions Court,Justice 203,3,Acquitted
261,261,Hubballi District Court,Justice 41,17,Acquitted
262,262,Mangaluru District Court,Justice 333,1,Pending
263,263,Hubballi District Court,Justice 41,20,Pending
264,264,Hubballi District Court,Justice 62,3,Acquitted
265,265,Hubballi District Court,Justice 391,6,Pending
266,266,Bengaluru Sessions Court,Justice 99,6,Acquitted
267,267,Bengaluru Sessions Court,Justice 417,10,Convicted
268,268,Belagavi Sessions Court,Justice 313,19,Pending
269,269,Kalaburagi District Court,Justice 105,15,Acquitted
270,270,Belagavi Sessions Court,Justice 452,18,Acquitted
271,271,Belagavi Sessions Court,Justice 362,5,Pending
272,272,Mysuru District Court,Justice 54,5,Convicted
273,273,Mangaluru District Court,Justice 241,16,Pending
274,274,Mysuru District Court,Justice 500,17,Acquitted
275,275,Hubballi District Court,Justice 491,10,Convicted
276,276,Mangaluru District Court,Justice 12,8,Pending
277,277,Kalaburagi District Court,Justice 337,3,Pending
278,278,Belagavi Sessions Court,Justice 222,11,Convicted
279,279,Bengaluru Sessions Court,Justice 251,13,Acquitted
280,280,Hubballi District Court,Justice 11,17,Pending
281,281,Belagavi Sessions Court,Justice 179,6,Pending
282,282,Kalaburagi District Court,Justice 237,20,Acquitted
283,283,Mysuru District Court,Justice 248,13,Convicted
284,284,Hubballi District Court,Justice 240,15,Acquitted
285,285,Bengaluru Sessions Court,Justice 304,5,Pending
286,286,Belagavi Sessions Court,Justice 189,2,Pending
287,287,Hubballi District Court,Justice 244,19,Pending
288,288,Mysuru District Court,Justice 480,1,Pending
289,289,Bengaluru Sessions Court,Justice 458,5,Pending
290,290,Belagavi Sessions Court,Justice 170,7,Convicted
291,291,Bengaluru Sessions Court,Justice 308,9,Convicted
292,292,Belagavi Sessions Court,Justice 190,10,Convicted
293,293,Mangaluru District Court,Justice 404,13,Convicted
294,294,Belagavi Sessions Court,Justice 491,3,Acquitted
295,295,Hubballi District Court,Justice 328,3,Acquitted
296,296,Mangaluru District Court,Justice 239,2,Acquitted
297,297,Belagavi Sessions Court,Justice 104,13,Pending
298,298,Mysuru District Court,Justice 365,18,Acquitted
299,299,Bengaluru Sessions Court,Justice 301,4,Pending
300,300,Bengaluru Sessions Court,Justice 155,7,Acquitted
301,301,Belagavi Sessions Court,Justice 23,15,Acquitted
302,302,Bengaluru Sessions Court,Justice 252,9,Pending
303,303,Hubballi District Court,Justice 234,6,Acquitted
304,304,Belagavi Sessions Court,Justice 481,15,Pending
305,305,Mangaluru District Court,Justice 296,3,Acquitted
306,306,Mangaluru District Court,Justice 454,7,Acquitted
307,307,Hubballi District Court,Justice 106,3,Convicted
308,308,Belagavi Sessions Court,Justice 395,14,Pending
309,309,Hubballi District Court,Justice 471,9,Acquitted
310,310,Mangaluru District Court,Justice 99,11,Convicted
311,311,Bengaluru Sessions Court,Justice 122,7,Acquitted
312,312,Mysuru District Court,Justice 333,20,Acquitted
313,313,Mysuru District Court,Justice 372,2,Convicted
314,314,Hubballi District Court,Justice 382,11,Convicted
315,315,Kalaburagi District Court,Justice 25,17,Acquitted
316,316,Mysuru District Court,Justice 30,6,Convicted
317,317,Bengaluru Sessions Court,Justice 302,13,Convicted
318,318,Mangaluru District Court,Justice 251,3,Convicted
319,319,Kalaburagi District Court,Justice 234,19,Pending
320,320,Mangaluru District Court,Justice 51,4,Convicted
321,321,Mysuru District Court,Justice 29,16,Convicted
322,322,Mangaluru District Court,Justice 286,9,Convicted
323,323,Mangaluru District Court,Justice 292,13,Convicted
324,324,Mysuru District Court,Justice 500,12,Acquitted
325,325,Kalaburagi District Court,Justice 231,4,Acquitted
326,326,Hubballi District Court,Justice 408,7,Acquitted
327,327,Mangaluru District Court,Justice 396,13,Pending
328,328,Mysuru District Court,Justice 104,9,Acquitted
329,329,Mysuru District Court,Justice 370,12,Acquitted
330,330,Mangaluru District Court,Justice 218,5,Convicted
331,331,Mangaluru District Court,Justice 448,4,Pending
332,332,Belagavi Sessions Court,Justice 316,6,Acquitted
333,333,Mangaluru District Court,Justice 408,13,Acquitted
334,334,Bengaluru Sessions Court,Justice 225,16,Acquitted
335,335,Kalaburagi District Court,Justice 360,16,Pending
336,336,Bengaluru Sessions Court,Justice 331,17,Acquitted
337,337,Mysuru District Court,Justice 315,8,Pending
338,338,Bengaluru Sessions Court,Justice 113,8,Convicted
339,339,Kalaburagi District Court,Justice 304,12,Pending
340,340,Kalaburagi District Court,Justice 453,3,Convicted
341,341,Kalaburagi District Court,Justice 264,9,Acquitted
342,342,Belagavi Sessions Court,Justice 68,5,Convicted
343,343,Bengaluru Sessions Court,Justice 186,18,Pending
344,344,Hubballi District Court,Justice 38,3,Acquitted
345,345,Belagavi Sessions Court,Justice 392,8,Convicted
346,346,Bengaluru Sessions Court,Justice 53,6,Convicted
347,347,Mysuru District Court,Justice 393,12,Acquitted
348,348,Mangaluru District Court,Justice 72,19,Acquitted
349,349,Kalaburagi District Court,Justice 386,14,Acquitted
350,350,Belagavi Sessions Court,Justice 367,18,Convicted
351,351,Belagavi Sessions Court,Justice 207,4,Pending
352,352,Mysuru District Court,Justice 234,11,Convicted
353,353,Belagavi Sessions Court,Justice 233,7,Convicted
354,354,Hubballi District Court,Justice 94,19,Acquitted
355,355,Mangaluru District Court,Justice 132,8,Pending
356,356,Mysuru District Court,Justice 203,10,Acquitted
357,357,Mangaluru District Court,Justice 355,16,Convicted
358,358,Mangaluru District Court,Justice 24,19,Pending
359,359,Mangaluru District Court,Justice 444,8,Pending
360,360,Bengaluru Sessions Court,Justice 322,14,Acquitted
361,361,Belagavi Sessions Court,Justice 252,1,Pending
362,362,Bengaluru Sessions Court,Justice 485,5,Pending
363,363,Kalaburagi District Court,Justice 200,10,Acquitted
364,364,Hubballi District Court,Justice 86,8,Pending
365,365,Belagavi Sessions Court,Justice 21,12,Pending
366,366,Belagavi Sessions Court,Justice 469,5,Pending
367,367,Hubballi District Court,Justice 95,18,Convicted
368,368,Hubballi District Court,Justice 483,20,Convicted
369,369,Mangaluru District Court,Justice 182,2,Convicted
370,370,Mysuru District Court,Justice 136,6,Convicted
371,371,Mangaluru District Court,Justice 352,7,Pending
372,372,Kalaburagi District Court,Justice 400,12,Pending
373,373,Bengaluru Sessions Court,Justice 252,6,Convicted
374,374,Belagavi Sessions Court,Justice 260,6,Convicted
375,375,Mysuru District Court,Justice 265,11,Pending
376,376,Mangaluru District Court,Justice 263,16,Convicted
377,377,Mangaluru District Court,Justice 267,10,Convicted
378,378,Bengaluru Sessions Court,Justice 147,15,Convicted
379,379,Belagavi Sessions Court,Justice 120,6,Convicted
380,380,Hubballi District Court,Justice 78,7,Acquitted
381,381,Kalaburagi District Court,Justice 154,11,Pending
382,382,Bengaluru Sessions Court,Justice 39,2,Convicted
383,383,Belagavi Sessions Court,Justice 376,5,Acquitted
384,384,Belagavi Sessions Court,Justice 160,19,Acquitted
385,385,Belagavi Sessions Court,Justice 373,17,Acquitted
386,386,Hubballi District Court,Justice 446,2,Pending
387,387,Mangaluru District Court,Justice 283,16,Acquitted
388,388,Mysuru District Court,Justice 41,3,Convicted
389,389,Mangaluru District Court,Justice 277,14,Pending
390,390,Mysuru District Court,Justice 225,15,Acquitted
391,391,Mangaluru District Court,Justice 479,11,Convicted
392,392,Belagavi Sessions Court,Justice 114,3,Acquitted
393,393,Kalaburagi District Court,Justice 144,8,Convicted
394,394,Mangaluru District Court,Justice 404,13,Convicted
395,395,Bengaluru Sessions Court,Justice 126,14,Acquitted
396,396,Belagavi Sessions Court,Justice 206,15,Pending
397,397,Belagavi Sessions Court,Justice 80,6,Pending
398,398,Bengaluru Sessions Court,Justice 272,4,Convicted
399,399,Belagavi Sessions Court,Justice 371,12,Convicted
400,400,Hubballi District Court,Justice 421,3,Convicted
401,401,Belagavi Sessions Court,Justice 224,2,Convicted
402,402,Belagavi Sessions Court,Justice 157,17,Pending
403,403,Kalaburagi District Court,Justice 345,4,Convicted
404,404,Belagavi Sessions Court,Justice 428,10,Acquitted
405,405,Mangaluru District Court,Justice 61,2,Pending
406,406,Mysuru District Court,Justice 79,9,Convicted
407,407,Mysuru District Court,Justice 104,8,Acquitted
408,408,Hubballi District Court,Justice 340,8,Pending
409,409,Hubballi District Court,Justice 250,12,Pending
410,410,Kalaburagi District Court,Justice 372,13,Convicted
411,411,Hubballi District Court,Justice 75,10,Acquitted
412,412,Kalaburagi District Court,Justice 145,1,Convicted
413,413,Bengaluru Sessions Court,Justice 12,20,Pending
414,414,Hubballi District Court,Justice 253,2,Convicted
415,415,Bengaluru Sessions Court,Justice 177,14,Convicted
416,416,Mysuru District Court,Justice 136,13,Convicted
417,417,Hubballi District Court,Justice 478,9,Pending
418,418,Belagavi Sessions Court,Justice 404,7,Acquitted
419,419,Mangaluru District Court,Justice 251,5,Acquitted
420,420,Mysuru District Court,Justice 93,4,Acquitted
421,421,Belagavi Sessions Court,Justice 370,1,Convicted
422,422,Hubballi District Court,Justice 286,15,Convicted
423,423,Mangaluru District Court,Justice 238,15,Acquitted
424,424,Mangaluru District Court,Justice 203,17,Convicted
425,425,Hubballi District Court,Justice 410,1,Pending
426,426,Hubballi District Court,Justice 442,1,Convicted
427,427,Mangaluru District Court,Justice 459,16,Convicted
428,428,Belagavi Sessions Court,Justice 13,5,Convicted
429,429,Mangaluru District Court,Justice 62,12,Convicted
430,430,Kalaburagi District Court,Justice 243,2,Convicted
431,431,Mangaluru District Court,Justice 361,2,Pending
432,432,Hubballi District Court,Justice 308,1,Convicted
433,433,Kalaburagi District Court,Justice 301,14,Acquitted
434,434,Kalaburagi District Court,Justice 486,5,Acquitted
435,435,Mangaluru District Court,Justice 456,7,Acquitted
436,436,Mysuru District Court,Justice 232,8,Acquitted
437,437,Belagavi Sessions Court,Justice 137,10,Pending
438,438,Mangaluru District Court,Justice 90,10,Acquitted
439,439,Belagavi Sessions Court,Justice 67,13,Pending
440,440,Mangaluru District Court,Justice 197,11,Pending
441,441,Mysuru District Court,Justice 83,12,Pending
442,442,Mysuru District Court,Justice 34,18,Convicted
443,443,Bengaluru Sessions Court,Justice 179,2,Acquitted
444,444,Bengaluru Sessions Court,Justice 304,6,Convicted
445,445,Kalaburagi District Court,Justice 49,14,Convicted
446,446,Bengaluru Sessions Court,Justice 397,15,Acquitted
447,447,Belagavi Sessions Court,Justice 275,7,Acquitted
448,448,Belagavi Sessions Court,Justice 276,19,Convicted
449,449,Kalaburagi District Court,Justice 10,17,Pending
450,450,Mysuru District Court,Justice 458,5,Pending
451,451,Mysuru District Court,Justice 469,10,Convicted
452,452,Mangaluru District Court,Justice 178,18,Acquitted
453,453,Mysuru District Court,Justice 205,10,Convicted
454,454,Bengaluru Sessions Court,Justice 62,4,Acquitted
455,455,Hubballi District Court,Justice 450,20,Acquitted
456,456,Bengaluru Sessions Court,Justice 207,20,Pending
457,457,Kalaburagi District Court,Justice 261,9,Convicted
458,458,Mangaluru District Court,Justice 199,2,Convicted
459,459,Mysuru District Court,Justice 3,1,Convicted
460,460,Kalaburagi District Court,Justice 207,12,Convicted
461,461,Mangaluru District Court,Justice 150,11,Convicted
462,462,Mysuru District Court,Justice 102,15,Acquitted
463,463,Mysuru District Court,Justice 70,1,Convicted
464,464,Belagavi Sessions Court,Justice 454,7,Acquitted
465,465,Mangaluru District Court,Justice 121,4,Pending
466,466,Mysuru District Court,Justice 374,1,Acquitted
467,467,Mysuru District Court,Justice 94,15,Acquitted
468,468,Bengaluru Sessions Court,Justice 281,10,Acquitted
469,469,Mysuru District Court,Justice 184,18,Pending
470,470,Hubballi District Court,Justice 454,12,Acquitted
471,471,Bengaluru Sessions Court,Justice 3,3,Acquitted
472,472,Mysuru District Court,Justice 322,14,Pending
473,473,Bengaluru Sessions Court,Justice 294,18,Convicted
474,474,Kalaburagi District Court,Justice 225,1,Acquitted
475,475,Mysuru District Court,Justice 82,17,Acquitted
476,476,Mangaluru District Court,Justice 112,2,Acquitted
477,477,Belagavi Sessions Court,Justice 462,13,Acquitted
478,478,Kalaburagi District Court,Justice 242,18,Acquitted
479,479,Kalaburagi District Court,Justice 190,4,Acquitted
480,480,Mangaluru District Court,Justice 56,20,Acquitted
481,481,Kalaburagi District Court,Justice 166,11,Pending
482,482,Belagavi Sessions Court,Justice 108,5,Acquitted
483,483,Kalaburagi District Court,Justice 281,10,Acquitted
484,484,Bengaluru Sessions Court,Justice 86,4,Pending
485,485,Bengaluru Sessions Court,Justice 420,14,Acquitted
486,486,Mysuru District Court,Justice 307,12,Acquitted
487,487,Mysuru District Court,Justice 260,9,Pending
488,488,Mysuru District Court,Justice 388,3,Pending
489,489,Belagavi Sessions Court,Justice 18,9,Pending
490,490,Mysuru District Court,Justice 433,1,Pending
491,491,Mysuru District Court,Justice 381,15,Convicted
492,492,Mangaluru District Court,Justice 70,8,Acquitted
493,493,Hubballi District Court,Justice 87,8,Pending
494,494,Mysuru District Court,Justice 263,20,Pending
495,495,Mangaluru District Court,Justice 225,12,Acquitted
496,496,Mysuru District Court,Justice 26,6,Acquitted
497,497,Bengaluru Sessions Court,Justice 44,16,Pending
498,498,Mysuru District Court,Justice 350,1,Convicted
499,499,Belagavi Sessions Court,Justice 159,4,Acquitted
500,500,Mangaluru District Court,Justice 442,5,Convicted
501,501,Kalaburagi District Court,Justice 331,8,Convicted
502,502,Kalaburagi District Court,Justice 368,20,Acquitted
