RecordID,CaseID,PersonID,VictimType
146,72,507944,Secondary
147,72,505484,Primary
148,73,514677,Secondary
149,73,512590,Secondary
150,74,516729,Secondary
151,75,524220,Primary
152,76,512603,Primary
153,77,517802,Secondary
154,78,513752,Secondary
155,78,518036,Secondary
156,78,507013,Secondary
157,79,511057,Primary
158,79,518930,Secondary
159,79,513199,Secondary
160,80,513193,Secondary
161,80,500566,Primary
162,80,512722,Secondary
163,81,524555,Primary
164,81,519527,Secondary
165,81,513259,Primary
166,82,503106,Primary
167,82,512416,Primary
168,83,507884,Primary
169,83,521091,Secondary
170,83,505881,Primary
171,84,514965,Secondary
172,84,506356,Primary
173,85,510887,Primary
174,86,508325,Primary
175,87,507343,Primary
176,87,523972,Primary
177,87,512124,Secondary
178,88,511548,Secondary
179,88,504383,Secondary
180,88,524068,Secondary
181,89,515437,Primary
182,90,514928,Secondary
183,90,514792,Primary
184,90,512307,Primary
185,91,520799,Primary
186,91,512508,Secondary
187,92,516001,Secondary
188,92,509127,Secondary
189,92,523220,Primary
190,93,501726,Primary
191,93,523252,Secondary
192,93,521751,Primary
193,94,517003,Primary
194,95,503897,Primary
195,96,509268,Primary
196,96,515127,Secondary
197,96,511569,Secondary
198,97,514517,Primary
199,98,505589,Primary
200,99,522385,Primary
201,99,514158,Primary
202,99,508021,Secondary
203,100,501931,Primary
204,100,513367,Primary
205,101,520301,Primary
206,102,516493,Secondary
207,102,522117,Primary
208,103,511684,Primary
209,104,503639,Secondary
210,104,512671,Secondary
211,105,507941,Secondary
212,105,509288,Secondary
213,105,523766,Secondary
214,106,514352,Primary
215,107,507286,Primary
216,107,505060,Secondary
217,107,504544,Primary
218,108,523814,Secondary
219,109,506038,Primary
220,110,507849,Primary
221,110,504784,Secondary
222,110,521518,Secondary
223,111,513880,Secondary
224,111,507433,Secondary
225,111,514991,Primary
226,112,516659,Primary
227,112,509010,Primary
228,112,520146,Secondary
229,113,510594,Secondary
230,114,509243,Primary
231,114,508911,Primary
232,114,515405,Secondary
233,115,523142,Primary
234,116,515841,Secondary
235,116,515146,Secondary
236,116,507388,Secondary
237,117,514973,Primary
238,117,523927,Primary
239,117,507320,Secondary
240,118,519443,Secondary
241,118,520704,Secondary
242,119,518244,Primary
243,119,521691,Primary
244,119,510062,Primary
245,120,515023,Primary
246,120,504245,Primary
247,120,501229,Primary
248,121,517228,Secondary
249,121,524459,Primary
250,122,508295,Secondary
251,122,521014,Primary
252,122,507588,Secondary
253,123,508616,Primary
254,123,511796,Primary
255,124,523467,Secondary
256,124,502902,Primary
257,124,524815,Secondary
258,125,518154,Primary
259,125,521305,Secondary
260,126,521700,Primary
261,126,511049,Secondary
262,127,524662,Secondary
263,127,514948,Secondary
264,128,515074,Primary
265,129,507290,Secondary
266,130,509432,Primary
267,130,511872,Secondary
268,130,513099,Secondary
269,131,515418,Secondary
270,131,512180,Secondary
271,131,522926,Secondary
272,132,514061,Secondary
273,132,519258,Primary
274,132,510764,Secondary
275,133,517402,Secondary
276,133,505995,Primary
277,134,518224,Primary
278,134,519576,Secondary
279,135,503104,Secondary
280,135,508507,Secondary
281,136,506826,Secondary
282,137,514251,Secondary
283,137,504482,Secondary
284,138,518566,Primary
285,138,513445,Secondary
286,139,503216,Primary
287,139,520858,Secondary
288,140,506001,Primary
289,141,516070,Primary
290,141,522600,Primary
291,141,512839,Primary
292,142,513723,Primary
293,143,517039,Secondary
294,143,519834,Primary
295,143,518766,Primary
296,144,503607,Secondary
297,145,508331,Primary
298,145,514475,Secondary
299,146,515609,Primary
300,147,521135,Secondary
301,147,522914,Secondary
302,147,504615,Primary
303,148,500093,Secondary
304,148,514553,Primary
305,149,511622,Primary
306,149,506445,Secondary
307,150,508323,Primary
308,150,505085,Primary
309,150,520626,Primary
310,151,522492,Secondary
311,151,522097,Secondary
312,152,509063,Secondary
313,153,511605,Secondary
314,154,501067,Secondary
315,155,513131,Primary
316,156,518665,Secondary
317,157,500579,Primary
318,158,511871,Primary
319,158,517442,Secondary
320,158,500703,Primary
321,159,518111,Secondary
322,159,521086,Primary
323,160,522509,Secondary
324,160,508501,Secondary
325,160,507067,Primary
326,161,517828,Secondary
327,161,516602,Primary
328,162,503017,Primary
329,163,522671,Secondary
330,163,522176,Secondary
331,164,520062,Primary
332,165,518266,Secondary
333,165,506527,Primary
334,165,510528,Secondary
335,166,510794,Primary
336,166,513023,Primary
337,167,504593,Primary
338,167,517410,Primary
339,167,518155,Primary
340,168,522204,Secondary
341,169,519302,Secondary
342,169,515175,Primary
343,169,521529,Secondary
344,170,506091,Primary
345,170,508001,Secondary
346,170,524651,Secondary
347,171,512741,Primary
348,172,521405,Primary
349,172,507667,Secondary
350,172,510533,Secondary
351,173,514848,Secondary
352,173,519852,Secondary
353,174,503255,Primary
354,174,502925,Primary
355,174,522855,Primary
356,175,513464,Secondary
357,176,520412,Primary
358,177,522279,Primary
359,177,501792,Secondary
360,178,512759,Primary
361,178,521779,Secondary
362,179,517331,Primary
363,179,505558,Secondary
364,180,519774,Secondary
365,181,508783,Secondary
366,181,515831,Primary
367,182,511715,Primary
368,183,500872,Primary
369,183,518011,Primary
370,183,500648,Secondary
371,184,505686,Secondary
372,185,512672,Primary
373,185,519709,Secondary
374,186,500052,Primary
375,186,511209,Secondary
376,187,506447,Primary
377,188,523129,Primary
378,188,514995,Primary
379,188,506997,Primary
380,189,507788,Primary
381,189,524914,Primary
382,190,511780,Secondary
383,191,503574,Secondary
384,192,501452,Primary
385,192,500753,Primary
386,193,516151,Primary
387,193,517843,Primary
388,194,517432,Secondary
389,194,518182,Primary
390,195,506735,Primary
391,195,516757,Primary
392,196,504906,Secondary
393,196,523353,Secondary
394,196,510935,Primary
395,197,511792,Primary
396,197,503213,Secondary
397,197,517123,Primary
398,198,514742,Secondary
399,198,507932,Primary
400,199,509297,Secondary
401,200,521789,Secondary
402,200,524630,Primary
403,201,518282,Primary
404,201,512825,Secondary
405,202,517003,Primary
406,202,504956,Secondary
407,202,507311,Primary
408,203,519110,Secondary
409,203,501517,Secondary
410,204,505665,Secondary
411,204,517701,Secondary
412,205,511037,Primary
413,205,521299,Secondary
414,206,521606,Primary
415,207,517675,Primary
416,207,511261,Primary
417,208,508386,Primary
418,209,500488,Primary
419,209,520084,Primary
420,209,511282,Primary
421,210,521016,Primary
422,210,512570,Primary
423,211,518474,Primary
424,212,506920,Secondary
425,212,506387,Secondary
426,213,515918,Primary
427,214,522967,Primary
428,214,511690,Primary
429,214,519234,Secondary
430,215,513043,Secondary
431,215,516687,Primary
432,216,519302,Secondary
433,216,506445,Primary
434,216,508794,Secondary
435,217,519829,Primary
436,217,523892,Primary
437,218,504961,Primary
438,219,513731,Primary
439,219,522520,Secondary
440,219,509065,Secondary
441,220,524736,Primary
442,220,523296,Secondary
443,221,502666,Primary
444,221,517105,Secondary
445,222,509134,Secondary
446,222,520486,Primary
447,223,520869,Primary
448,223,518890,Secondary
449,224,519600,Secondary
450,224,500591,Secondary
451,224,513127,Secondary
452,225,504380,Primary
453,225,503788,Primary
454,225,520824,Secondary
455,226,501681,Secondary
456,226,502240,Primary
457,227,512155,Primary
458,228,506952,Primary
459,229,514185,Secondary
460,229,502948,Secondary
461,230,508915,Primary
462,231,520297,Secondary
463,231,513233,Secondary
464,231,503182,Secondary
465,232,518210,Primary
466,233,509948,Secondary
467,234,519216,Secondary
468,234,514911,Secondary
469,234,510035,Secondary
470,235,506420,Primary
471,235,504988,Secondary
472,235,519629,Primary
473,236,502041,Primary
474,237,500100,Secondary
475,237,515895,Secondary
476,237,505224,Primary
477,238,518700,Primary
478,238,520786,Primary
479,238,501576,Primary
480,239,508055,Primary
481,239,521851,Secondary
482,239,520791,Primary
483,240,509484,Primary
484,240,505566,Secondary
485,240,522158,Primary
486,241,505200,Primary
487,241,524654,Primary
488,242,507635,Primary
489,243,520685,Primary
490,243,510258,Primary
491,244,504207,Primary
492,244,507447,Primary
493,245,507469,Primary
494,245,519699,Primary
495,245,503862,Secondary
496,246,518154,Secondary
497,246,511282,Secondary
498,247,517246,Secondary
499,247,502901,Primary
500,247,511035,Secondary
501,248,508512,Primary
502,248,521803,Primary
503,249,501464,Secondary
504,249,510214,Secondary
505,249,507551,Secondary
506,250,504443,Primary
507,251,517874,Secondary
508,251,504969,Primary
509,252,514567,Primary
510,252,502191,Secondary
511,253,510334,Secondary
512,253,510725,Secondary
513,253,506125,Primary
514,254,500729,Primary
515,255,510460,Secondary
516,255,505063,Secondary
517,256,511419,Primary
518,256,502901,Primary
519,256,514896,Primary
520,257,513717,Primary
521,257,512853,Primary
522,258,514046,Primary
523,258,512576,Primary
524,258,507625,Secondary
525,259,507418,Secondary
526,259,516283,Primary
527,259,516615,Secondary
528,260,501070,Secondary
529,260,516811,Primary
530,261,520303,Primary
531,261,507085,Primary
532,262,516639,Secondary
533,262,503470,Primary
534,263,515534,Secondary
535,264,521907,Primary
536,265,522226,Secondary
537,265,517503,Secondary
538,265,509294,Secondary
539,266,502520,Primary
540,266,520579,Secondary
541,267,505011,Secondary
542,268,503944,Secondary
543,269,521636,Secondary
544,269,511809,Primary
545,270,521577,Primary
546,271,501577,Secondary
547,271,500904,Secondary
548,271,514443,Primary
549,272,506756,Primary
550,273,512975,Secondary
551,273,523436,Secondary
552,274,506438,Primary
553,274,515884,Primary
554,275,509635,Secondary
555,275,500181,Primary
556,275,517437,Primary
557,276,520818,Primary
558,277,501468,Primary
559,277,521886,Secondary
560,278,514374,Primary
561,278,501337,Primary
562,279,522835,Primary
563,280,510089,Secondary
564,280,500387,Secondary
565,281,516065,Secondary
566,282,523180,Primary
567,283,523922,Secondary
568,283,522552,Secondary
569,284,501256,Secondary
570,284,511828,Secondary
571,284,502926,Secondary
572,285,523517,Secondary
573,285,522699,Primary
574,286,509793,Secondary
575,286,505102,Primary
576,286,507054,Secondary
577,287,502018,Primary
578,288,517597,Secondary
579,288,506727,Secondary
580,289,501328,Primary
581,289,506025,Primary
582,290,500761,Secondary
583,290,513244,Secondary
584,290,512045,Primary
585,291,513947,Primary
586,291,504326,Primary
587,291,520151,Secondary
588,292,507614,Secondary
589,292,524972,Primary
590,292,512907,Primary
591,293,510221,Secondary
592,293,516147,Primary
593,293,506804,Primary
594,294,507786,Primary
595,294,514177,Secondary
596,294,505319,Secondary
597,295,509715,Primary
598,295,511084,Secondary
599,295,512518,Primary
600,296,518760,Secondary
601,296,524671,Secondary
602,297,517675,Secondary
603,297,505237,Secondary
604,298,515572,Secondary
605,299,512145,Primary
606,299,502280,Secondary
607,300,514667,Secondary
608,301,516299,Primary
609,302,503540,Primary
610,302,509335,Primary
611,302,512600,Secondary
612,303,517362,Primary
613,303,511987,Secondary
614,304,503459,Secondary
615,305,502773,Secondary
616,305,501786,Secondary
617,305,516005,Primary
618,306,516859,Secondary
619,306,510836,Primary
620,306,507743,Primary
621,307,510556,Secondary
622,307,522997,Secondary
623,308,519995,Secondary
624,309,512600,Primary
625,309,524455,Secondary
626,309,520295,Secondary
627,310,523633,Secondary
628,311,522884,Primary
629,312,505498,Primary
630,312,510181,Secondary
631,313,506787,Primary
632,314,516951,Primary
633,315,519034,Primary
634,316,522407,Secondary
635,316,504904,Primary
636,317,510405,Primary
637,318,516181,Secondary
638,319,510178,Primary
639,320,509054,Primary
640,320,519178,Secondary
641,321,524565,Primary
642,321,514904,Secondary
643,322,513981,Primary
644,322,522682,Secondary
645,322,509136,Secondary
646,323,508707,Secondary
647,323,510069,Secondary
648,323,505604,Secondary
649,324,515802,Primary
650,324,510273,Secondary
651,324,523918,Primary
652,325,522593,Secondary
653,325,512572,Primary
654,326,511021,Secondary
655,326,513401,Primary
656,327,507212,Secondary
657,327,501336,Primary
658,327,503555,Primary
659,328,505294,Secondary
660,328,513368,Primary
661,328,516822,Secondary
662,329,509075,Secondary
663,330,521015,Primary
664,330,509973,Secondary
665,331,502959,Secondary
666,331,505621,Secondary
667,331,509876,Primary
668,332,515545,Secondary
669,332,506694,Secondary
670,333,524197,Secondary
671,334,504738,Secondary
672,335,503890,Primary
673,335,507269,Secondary
674,336,524978,Primary
675,337,506613,Secondary
676,337,519352,Secondary
677,337,514858,Secondary
678,338,502683,Secondary
679,339,506240,Primary
680,340,504921,Secondary
681,340,508414,Secondary
682,340,513642,Primary
683,341,520470,Primary
684,341,514513,Secondary
685,342,511108,Secondary
686,342,517908,Secondary
687,343,515758,Primary
688,344,502915,Primary
689,344,503888,Secondary
690,345,503458,Secondary
691,345,504665,Primary
692,346,519803,Primary
693,346,519279,Secondary
694,346,503029,Primary
695,347,516330,Primary
696,348,516275,Secondary
697,348,514961,Secondary
698,349,512682,Primary
699,349,505404,Primary
700,349,503174,Secondary
701,350,523801,Primary
702,351,522372,Primary
703,351,508624,Secondary
704,351,521127,Secondary
705,352,513898,Primary
706,352,509002,Primary
707,352,505027,Primary
708,353,506442,Secondary
709,353,524699,Primary
710,353,504191,Secondary
711,354,510793,Secondary
712,354,516963,Primary
713,354,505401,Primary
714,355,518327,Primary
715,356,503297,Primary
716,356,524932,Secondary
717,357,504130,Primary
718,358,516743,Secondary
719,358,509247,Secondary
720,359,501926,Primary
721,359,511276,Secondary
722,359,510932,Secondary
723,360,504164,Secondary
724,360,517210,Secondary
725,361,511366,Primary
726,361,513023,Primary
727,362,523405,Secondary
728,362,511536,Secondary
729,363,503768,Primary
730,363,521423,Secondary
731,363,506821,Secondary
732,364,512539,Secondary
733,364,512340,Primary
734,365,502744,Primary
735,366,523083,Primary
736,367,522196,Primary
737,368,521601,Primary
738,369,504884,Secondary
739,370,502530,Secondary
740,370,521390,Secondary
741,370,504535,Secondary
742,371,517617,Primary
743,372,509662,Primary
744,373,524541,Secondary
745,373,507002,Secondary
746,373,523513,Primary
747,374,500028,Secondary
748,374,502461,Primary
749,374,502430,Primary
750,375,518513,Secondary
751,375,522104,Primary
752,376,521190,Primary
753,376,503809,Secondary
754,376,511357,Secondary
755,377,521226,Secondary
756,377,512301,Primary
757,378,508753,Primary
758,379,516581,Secondary
759,379,508368,Primary
760,380,510755,Primary
761,380,520485,Secondary
762,381,510056,Secondary
763,382,510705,Primary
764,383,508146,Secondary
765,383,503307,Secondary
766,384,513908,Primary
767,384,517358,Primary
768,384,502040,Secondary
769,385,510985,Secondary
770,385,516255,Primary
771,386,506153,Primary
772,387,523560,Secondary
773,387,514294,Primary
774,387,518998,Primary
775,388,517304,Secondary
776,389,521226,Primary
777,389,518497,Secondary
778,390,517984,Secondary
779,390,522486,Secondary
780,391,515162,Secondary
781,391,504974,Primary
782,392,521918,Primary
783,393,522280,Secondary
784,394,522566,Secondary
785,394,504324,Primary
786,394,500564,Secondary
787,395,520594,Secondary
788,395,516250,Secondary
789,395,513560,Primary
790,396,518567,Secondary
791,396,524126,Primary
792,397,503807,Primary
793,397,508629,Secondary
794,398,508811,Secondary
795,398,514255,Primary
796,398,513489,Primary
797,399,502409,Primary
798,400,513105,Secondary
799,400,506603,Primary
800,400,521679,Secondary
801,401,501013,Primary
802,401,504352,Secondary
803,401,524831,Primary
804,402,510954,Primary
805,402,510978,Secondary
806,402,517806,Primary
807,403,516755,Primary
808,403,512057,Secondary
809,404,523580,Primary
810,404,505426,Primary
811,405,513939,Secondary
812,405,521337,Primary
813,405,524246,Primary
814,406,522485,Primary
815,406,520937,Primary
816,407,504219,Primary
817,407,518549,Secondary
818,407,501006,Secondary
819,408,504450,Primary
820,408,524829,Secondary
821,409,512274,Primary
822,409,511246,Secondary
823,410,505947,Secondary
824,410,510661,Secondary
825,410,514417,Primary
826,411,500507,Primary
827,412,521311,Primary
828,412,502633,Secondary
829,413,500809,Primary
830,413,522513,Primary
831,413,516067,Primary
832,414,515699,Secondary
833,414,509638,Primary
834,415,521462,Primary
835,415,503942,Secondary
836,416,524612,Primary
837,416,522278,Primary
838,417,512249,Secondary
839,417,504666,Secondary
840,417,504341,Primary
841,418,515630,Primary
842,418,507246,Secondary
843,419,503310,Secondary
844,419,503791,Primary
845,419,504981,Secondary
846,420,510874,Secondary
847,420,514701,Primary
848,421,518821,Secondary
849,421,502831,Secondary
850,421,514302,Secondary
851,422,523281,Secondary
852,422,514506,Secondary
853,422,517653,Primary
854,423,519460,Primary
855,423,522359,Secondary
856,424,504055,Secondary
857,424,510155,Primary
858,425,511145,Secondary
859,425,507844,Secondary
860,426,505441,Secondary
861,426,505999,Secondary
862,426,519110,Primary
863,427,520389,Secondary
864,427,503365,Secondary
865,427,510436,Secondary
866,428,508161,Primary
867,428,517371,Primary
868,428,508434,Primary
869,429,501294,Primary
870,429,508496,Primary
871,429,503411,Secondary
872,430,518805,Secondary
873,430,513141,Secondary
874,431,515114,Primary
875,431,519284,Secondary
876,431,508914,Primary
877,432,524478,Secondary
878,432,509585,Secondary
879,433,504813,Secondary
880,434,502590,Primary
881,434,503464,Secondary
882,435,504067,Secondary
883,435,516859,Primary
884,435,518265,Secondary
885,436,508757,Secondary
886,437,505301,Primary
887,437,516147,Primary
888,437,504103,Secondary
889,438,508663,Secondary
890,438,515171,Secondary
891,439,509249,Primary
892,439,509764,Secondary
893,439,522032,Primary
894,440,515676,Secondary
895,440,505987,Primary
896,441,504325,Secondary
897,442,502073,Secondary
898,443,518767,Primary
899,443,519650,Primary
900,444,512414,Primary
901,444,517347,Secondary
902,445,520918,Primary
903,445,522939,Primary
904,445,504970,Secondary
905,446,505055,Primary
906,446,523528,Primary
907,446,500661,Secondary
908,447,500464,Primary
909,447,510094,Secondary
910,448,504697,Primary
911,449,509187,Secondary
912,449,522948,Primary
913,450,517829,Secondary
914,451,508584,Primary
915,451,501290,Secondary
916,451,523671,Secondary
917,452,515075,Primary
918,452,508842,Secondary
919,452,523275,Secondary
920,453,519527,Secondary
921,454,519119,Secondary
922,455,524891,Primary
923,455,523135,Secondary
924,456,517903,Secondary
925,456,521549,Primary
926,456,519045,Secondary
927,457,505529,Secondary
928,457,515258,Secondary
929,458,504810,Primary
930,458,521824,Primary
931,458,515474,Secondary
932,459,509618,Primary
933,460,516020,Primary
934,461,500030,Secondary
935,461,502332,Primary
936,461,507973,Primary
937,462,520817,Secondary
938,462,509268,Primary
939,463,507835,Secondary
940,463,523733,Primary
941,464,521180,Primary
942,464,506426,Secondary
943,464,512785,Secondary
944,465,519997,Secondary
945,465,506089,Primary
946,465,514785,Secondary
947,466,514421,Primary
948,466,524310,Secondary
949,467,523612,Primary
950,468,502107,Primary
951,468,517455,Secondary
952,469,506774,Primary
953,470,517480,Secondary
954,470,524032,Primary
955,470,500066,Secondary
956,471,524075,Primary
957,471,520479,Secondary
958,472,503382,Secondary
959,473,516821,Primary
960,474,501086,Primary
961,474,519669,Secondary
962,475,507766,Secondary
963,475,524006,Secondary
964,476,513525,Secondary
965,477,516055,Primary
966,477,523760,Secondary
967,478,506393,Secondary
968,478,517862,Secondary
969,479,524562,Primary
970,480,508530,Primary
971,480,513171,Secondary
972,481,517997,Secondary
973,482,508143,Secondary
974,483,512044,Primary
975,484,504311,Secondary
976,485,516480,Secondary
977,485,509340,Primary
978,486,511741,Primary
979,486,518418,Secondary
980,486,511816,Secondary
981,487,514636,Secondary
982,487,515689,Secondary
983,487,514056,Primary
984,488,501985,Secondary
985,489,502555,Secondary
986,489,523183,Primary
987,490,510078,Secondary
988,490,512396,Primary
989,491,517421,Secondary
990,491,501723,Primary
991,491,500626,Primary
992,492,502546,Primary
993,492,508382,Primary
994,492,509567,Primary
995,493,511695,Secondary
996,493,521474,Primary
997,493,513660,Primary
998,494,512709,Secondary
999,494,523923,Secondary
1000,495,523918,Secondary
1001,495,508141,Primary
1002,495,512273,Primary
1003,496,524214,Secondary
1004,497,523845,Primary
1005,497,516672,Primary
1006,498,500464,Primary
1007,498,517306,Secondary
1008,499,523855,Primary
1009,500,508370,Primary
1010,501,505907,Secondary
1011,501,513864,Secondary
1012,502,523643,Primary
1013,502,512334,Primary
1014,502,516003,Primary
1015,503,518315,Primary
1016,503,500435,Secondary
1017,504,501276,Primary
1018,504,507225,Secondary
1019,504,510363,Primary
1020,505,509693,Primary
1021,505,509455,Secondary
1022,505,504820,Secondary
1023,506,517395,Primary
1024,506,514602,Secondary
1025,506,516558,Secondary
1026,507,509064,Primary
1027,508,505457,Primary
1028,508,507624,Secondary
1029,509,507353,Primary
1030,510,521267,Secondary
1031,510,509618,Secondary
1032,511,522450,Secondary
1033,511,502631,Secondary
1034,511,507968,Primary
1035,512,512125,Primary
1036,513,518919,Primary
1037,513,515123,Secondary
1038,514,500176,Secondary
1039,515,513592,Secondary
1040,516,509973,Secondary
1041,516,522312,Primary
1042,516,512335,Secondary
1043,517,520155,Secondary
1044,517,520476,Secondary
1045,518,508204,Secondary
1046,518,511713,Secondary
1047,519,509857,Primary
1048,519,507081,Secondary
1049,520,520349,Primary
1050,520,500377,Primary
1051,520,520327,Secondary
1052,521,517489,Secondary
1053,522,514901,Secondary
1054,522,511182,Secondary
1055,522,509304,Primary
1056,523,521055,Secondary
1057,524,503635,Secondary
1058,525,524897,Secondary
1059,525,522950,Primary
1060,526,512377,Primary
1061,527,517485,Secondary
1062,527,500916,Primary
1063,528,517103,Secondary
1064,528,517048,Primary
1065,528,511222,Primary
1066,529,502925,Secondary
1067,530,520435,Primary
1068,530,507284,Primary
1069,530,518645,Secondary
1070,531,520509,Secondary
1071,532,502211,Secondary
1072,533,521255,Primary
1073,533,520634,Primary
1074,534,512568,Secondary
1075,535,519214,Secondary
1076,535,509284,Primary
1077,536,509156,Secondary
1078,536,522861,Secondary
1079,536,522055,Secondary
1080,537,502099,Primary
1081,537,501080,Secondary
1082,537,521256,Primary
1083,538,524412,Secondary
1084,538,503634,Secondary
1085,538,502535,Primary
1086,539,508076,Primary
1087,539,502147,Secondary
1088,540,523868,Primary
1089,540,501346,Secondary
1090,541,502094,Secondary
1091,541,511402,Primary
1092,542,515310,Secondary
1093,542,510325,Secondary
1094,542,519095,Primary
1095,543,516269,Primary
1096,544,524822,Primary
1097,545,516427,Primary
1098,545,507971,Secondary
1099,545,512121,Secondary
1100,546,500549,Secondary
1101,547,519959,Primary
1102,547,506098,Secondary
1103,548,502401,Secondary
1104,549,504582,Primary
1105,549,508364,Primary
1106,550,506187,Secondary
1107,550,508596,Secondary
1108,551,508026,Primary
1109,551,507639,Primary
1110,551,515113,Primary
1111,552,507297,Primary
1112,552,511528,Primary
1113,552,515494,Secondary
1114,553,512531,Primary
1115,553,519729,Secondary
1116,553,504320,Primary
1117,554,521811,Primary
1118,554,502541,Primary
1119,555,520254,Primary
1120,555,524747,Primary
1121,556,507695,Secondary
1122,556,512319,Secondary
1123,556,513277,Secondary
1124,557,523229,Primary
1125,558,519737,Primary
1126,558,511960,Primary
1127,559,514251,Primary
1128,559,501001,Primary
1129,559,504452,Primary
1130,560,504830,Secondary
1131,561,504277,Primary
1132,561,504952,Secondary
1133,561,502593,Secondary
1134,562,508812,Primary
1135,562,512982,Secondary
1136,563,503314,Secondary
1137,564,515668,Primary
1138,564,524599,Secondary
1139,564,507632,Secondary
1140,565,506113,Primary
1141,566,514446,Primary
1142,567,521366,Secondary
1143,568,519196,Primary
1144,569,515675,Secondary
1145,569,517641,Primary
1146,570,507207,Primary
1147,571,522326,Secondary
1148,571,518346,Secondary
1149,572,505506,Secondary
1150,572,515273,Secondary
1151,572,502388,Secondary
1152,573,508309,Primary
1153,573,516911,Secondary
1154,573,509604,Primary
1155,574,503499,Secondary
1156,575,502202,Secondary
1157,576,505538,Primary
1158,576,500611,Secondary
1159,577,506174,Secondary
1160,577,522294,Secondary
1161,578,514422,Secondary
1162,579,511677,Primary
1163,580,517285,Primary
1164,580,509541,Primary
1165,580,502501,Secondary
1166,581,505339,Secondary
1167,582,508650,Secondary
1168,582,506516,Primary
1169,582,507296,Secondary
1170,583,520494,Secondary
1171,583,507488,Secondary
1172,584,501703,Primary
1173,585,503570,Primary
1174,585,517112,Primary
1175,586,501148,Secondary
1176,586,519732,Primary
1177,587,521893,Secondary
1178,587,503220,Secondary
1179,587,518142,Primary
1180,588,503770,Primary
1181,588,503828,Primary
1182,588,516199,Primary
1183,589,505697,Secondary
1184,589,511964,Secondary
1185,589,522921,Secondary
1186,590,500655,Primary
1187,590,503801,Primary
1188,590,511848,Secondary
1189,591,502541,Primary
1190,591,500390,Secondary
1191,592,520446,Secondary
1192,593,519429,Primary
1193,593,514331,Secondary
1194,594,520122,Secondary
1195,594,504024,Secondary
