EvidenceID,CaseID,EvidenceType,CollectedDate,Status,ForensicLab,Verified
64,20,Clothing,2025-11-23,Rejected,Mangaluru FSL,True
65,20,Drug Sample,2025-11-23,Sent to FSL,Bengaluru FSL,False
66,21,Drug Sample,2025-06-17,Collected,Bengaluru FSL,True
67,21,Blood Sample,2025-06-17,Collected,Bengaluru FSL,False
68,21,DNA Sample,2025-06-17,Collected,Mysuru FSL,True
69,21,USB Drive,2025-06-17,Verified,Mangaluru FSL,False
70,22,Mobile Phone,2024-12-08,Sent to FSL,Mangaluru FSL,True
71,22,USB Drive,2024-12-08,Rejected,Mysuru FSL,True
72,22,Fingerprint,2024-12-08,Collected,Mysuru FSL,True
73,22,Clothing,2024-12-08,Pending Analysis,Bengaluru FSL,True
74,23,Blood Sample,2025-11-21,Rejected,Bengaluru FSL,False
75,23,Document,2025-11-21,Pending Analysis,Mangaluru FSL,False
76,23,Mobile Phone,2025-11-21,Pending Analysis,Mangaluru FSL,False
77,23,Drug Sample,2025-11-21,Pending Analysis,Mysuru FSL,True
78,23,USB Drive,2025-11-21,Verified,Bengaluru FSL,False
79,24,Clothing,2022-06-09,Rejected,Mangaluru FSL,True
80,24,DNA Sample,2022-06-09,Sent to FSL,Mysuru FSL,False
81,24,Mobile Phone,2022-06-09,Collected,Mysuru FSL,True
82,25,USB Drive,2025-10-31,Verified,Mysuru FSL,True
83,26,Hard Disk,2025-03-20,Sent to FSL,Mysuru FSL,False
84,26,Fingerprint,2025-03-20,Verified,Bengaluru FSL,True
85,26,Mobile Phone,2025-03-20,Verified,Mangaluru FSL,False
86,26,Blood Sample,2025-03-20,Collected,Mangaluru FSL,False
87,27,Drug Sample,2024-07-22,Pending Analysis,Bengaluru FSL,False
88,27,CCTV Footage,2024-07-22,Rejected,Mysuru FSL,True
89,27,Vehicle,2024-07-22,Pending Analysis,Bengaluru FSL,True
90,28,SIM Card,2023-05-13,Collected,Bengaluru FSL,True
91,28,USB Drive,2023-05-13,Rejected,Mysuru FSL,False
92,28,Knife,2023-05-13,Sent to FSL,Mangaluru FSL,False
93,29,Blood Sample,2024-01-03,Pending Analysis,Mysuru FSL,False
94,29,Document,2024-01-03,Pending Analysis,Mangaluru FSL,False
95,29,CCTV Footage,2024-01-03,Verified,Mangaluru FSL,False
96,29,Clothing,2024-01-03,Rejected,Mangaluru FSL,True
97,30,Knife,2022-02-24,Pending Analysis,Mangaluru FSL,False
98,30,Document,2022-02-24,Pending Analysis,Mangaluru FSL,False
99,30,CCTV Footage,2022-02-24,Rejected,Bengaluru FSL,False
100,30,Clothing,2022-02-24,Collected,Mangaluru FSL,True
101,31,Hard Disk,2024-09-28,Sent to FSL,Bengaluru FSL,True
102,31,Blood Sample,2024-09-28,Verified,Bengaluru FSL,False
103,31,USB Drive,2024-09-28,Collected,Bengaluru FSL,False
104,31,SIM Card,2024-09-28,Collected,Mangaluru FSL,True
105,32,Mobile Phone,2024-04-17,Verified,Bengaluru FSL,True
106,32,USB Drive,2024-04-17,Pending Analysis,Bengaluru FSL,True
107,33,Document,2023-11-21,Rejected,Bengaluru FSL,False
108,33,Fingerprint,2023-11-21,Sent to FSL,Mysuru FSL,True
109,34,Hard Disk,2022-08-09,Verified,Bengaluru FSL,False
110,34,Drug Sample,2022-08-09,Rejected,Mangaluru FSL,False
111,34,Knife,2022-08-09,Sent to FSL,Bengaluru FSL,True
112,34,Firearm,2022-08-09,Sent to FSL,Bengaluru FSL,True
113,35,Hard Disk,2023-12-13,Pending Analysis,Bengaluru FSL,False
114,35,Drug Sample,2023-12-13,Collected,Mangaluru FSL,True
115,35,DNA Sample,2023-12-13,Pending Analysis,Bengaluru FSL,True
116,36,DNA Sample,2024-05-23,Collected,Mysuru FSL,True
117,36,Firearm,2024-05-23,Verified,Mysuru FSL,False
118,37,CCTV Footage,2024-02-08,Verified,Mangaluru FSL,True
119,37,Document,2024-02-08,Verified,Bengaluru FSL,True
120,37,Clothing,2024-02-08,Verified,Mangaluru FSL,False
121,38,Hard Disk,2023-01-17,Pending Analysis,Bengaluru FSL,False
122,38,Document,2023-01-17,Pending Analysis,Mangaluru FSL,True
123,39,Hard Disk,2026-01-25,Verified,Bengaluru FSL,False
124,39,Clothing,2026-01-25,Sent to FSL,Bengaluru FSL,False
125,40,Laptop,2025-03-13,Pending Analysis,Mysuru FSL,False
126,41,DNA Sample,2023-01-03,Rejected,Mysuru FSL,True
127,41,Mobile Phone,2023-01-03,Verified,Bengaluru FSL,False
128,41,Knife,2023-01-03,Rejected,Mysuru FSL,True
129,41,USB Drive,2023-01-03,Rejected,Bengaluru FSL,True
130,41,CCTV Footage,2023-01-03,Rejected,Bengaluru FSL,False
131,42,Drug Sample,2026-10-04,Verified,Mysuru FSL,True
132,42,Mobile Phone,2026-10-04,Pending Analysis,Mangaluru FSL,True
133,42,Laptop,2026-10-04,Sent to FSL,Mangaluru FSL,True
134,43,Knife,2023-05-19,Verified,Bengaluru FSL,True
135,43,Vehicle,2023-05-19,Collected,Bengaluru FSL,True
136,43,Clothing,2023-05-19,Rejected,Bengaluru FSL,False
137,43,Hard Disk,2023-05-19,Collected,Bengaluru FSL,True
138,44,Blood Sample,2023-12-02,Pending Analysis,Mangaluru FSL,False
139,44,Mobile Phone,2023-12-02,Rejected,Mangaluru FSL,False
140,44,Vehicle,2023-12-02,Pending Analysis,Bengaluru FSL,False
141,44,Clothing,2023-12-02,Pending Analysis,Bengaluru FSL,False
142,44,Firearm,2023-12-02,Verified,Mysuru FSL,True
143,45,Hard Disk,2024-04-25,Sent to FSL,Bengaluru FSL,True
144,45,Drug Sample,2024-04-25,Verified,Mysuru FSL,True
145,45,Firearm,2024-04-25,Sent to FSL,Bengaluru FSL,True
146,45,Mobile Phone,2024-04-25,Verified,Mangaluru FSL,True
147,46,Laptop,2023-11-28,Pending Analysis,Mangaluru FSL,True
148,46,Knife,2023-11-28,Sent to FSL,Mysuru FSL,True
149,46,Clothing,2023-11-28,Verified,Mangaluru FSL,True
150,47,Clothing,2023-09-26,Verified,Mangaluru FSL,False
151,47,CCTV Footage,2023-09-26,Verified,Bengaluru FSL,True
152,48,DNA Sample,2022-06-24,Rejected,Bengaluru FSL,False
153,48,USB Drive,2022-06-24,Sent to FSL,Mangaluru FSL,False
154,48,Document,2022-06-24,Rejected,Mangaluru FSL,False
155,49,Clothing,2022-12-27,Collected,Bengaluru FSL,True
156,49,Hard Disk,2022-12-27,Rejected,Mysuru FSL,True
157,50,Mobile Phone,2023-03-25,Pending Analysis,Bengaluru FSL,False
158,50,Drug Sample,2023-03-25,Collected,Bengaluru FSL,False
159,51,Knife,2023-11-09,Sent to FSL,Mangaluru FSL,False
160,51,Firearm,2023-11-09,Pending Analysis,Mangaluru FSL,False
161,51,SIM Card,2023-11-09,Rejected,Mangaluru FSL,False
162,51,DNA Sample,2023-11-09,Collected,Mysuru FSL,False
163,51,Mobile Phone,2023-11-09,Verified,Mangaluru FSL,False
164,52,Mobile Phone,2026-12-05,Verified,Bengaluru FSL,False
165,53,Blood Sample,2026-12-09,Pending Analysis,Mangaluru FSL,False
166,53,CCTV Footage,2026-12-09,Rejected,Mangaluru FSL,False
167,53,DNA Sample,2026-12-09,Collected,Mysuru FSL,True
168,53,Vehicle,2026-12-09,Rejected,Mangaluru FSL,False
169,53,USB Drive,2026-12-09,Collected,Mysuru FSL,False
170,54,Clothing,2026-05-18,Rejected,Mangaluru FSL,True
171,54,CCTV Footage,2026-05-18,Rejected,Bengaluru FSL,False
172,54,Hard Disk,2026-05-18,Sent to FSL,Mangaluru FSL,False
173,55,SIM Card,2024-10-05,Pending Analysis,Mysuru FSL,False
174,55,Document,2024-10-05,Verified,Mangaluru FSL,True
175,55,Blood Sample,2024-10-05,Verified,Mysuru FSL,False
176,55,Knife,2024-10-05,Pending Analysis,Bengaluru FSL,False
177,56,DNA Sample,2024-02-08,Collected,Mangaluru FSL,False
178,56,Fingerprint,2024-02-08,Sent to FSL,Mysuru FSL,True
179,56,Drug Sample,2024-02-08,Verified,Mangaluru FSL,False
180,57,Mobile Phone,2025-05-21,Verified,Mysuru FSL,False
181,57,Laptop,2025-05-21,Pending Analysis,Mysuru FSL,True
182,58,Laptop,2022-04-10,Rejected,Bengaluru FSL,True
183,58,Document,2022-04-10,Pending Analysis,Mysuru FSL,True
184,58,Fingerprint,2022-04-10,Sent to FSL,Mysuru FSL,True
185,59,Clothing,2025-08-08,Verified,Mangaluru FSL,True
186,60,DNA Sample,2023-01-18,Verified,Bengaluru FSL,False
187,60,CCTV Footage,2023-01-18,Sent to FSL,Mysuru FSL,False
188,60,Drug Sample,2023-01-18,Rejected,Mysuru FSL,False
189,60,Vehicle,2023-01-18,Collected,Bengaluru FSL,False
190,60,USB Drive,2023-01-18,Collected,Bengaluru FSL,False
191,61,SIM Card,2024-02-20,Sent to FSL,Mangaluru FSL,True
192,61,Knife,2024-02-20,Rejected,Mangaluru FSL,True
193,61,Firearm,2024-02-20,Sent to FSL,Mangaluru FSL,False
194,61,Laptop,2024-02-20,Collected,Mangaluru FSL,False
195,61,Drug Sample,2024-02-20,Rejected,Mysuru FSL,True
196,62,Clothing,2023-05-30,Rejected,Mysuru FSL,True
197,62,CCTV Footage,2023-05-30,Rejected,Bengaluru FSL,True
198,62,Drug Sample,2023-05-30,Verified,Bengaluru FSL,False
199,62,Laptop,2023-05-30,Verified,Mangaluru FSL,True
200,63,CCTV Footage,2023-01-25,Rejected,Mysuru FSL,False
201,63,USB Drive,2023-01-25,Verified,Mangaluru FSL,False
202,63,Clothing,2023-01-25,Sent to FSL,Mysuru FSL,False
203,63,Document,2023-01-25,Collected,Mysuru FSL,False
204,63,Mobile Phone,2023-01-25,Verified,Bengaluru FSL,False
205,64,Firearm,2023-12-06,Sent to FSL,Bengaluru FSL,True
206,65,Mobile Phone,2025-10-23,Sent to FSL,Mysuru FSL,True
207,66,Drug Sample,2025-02-24,Rejected,Mysuru FSL,False
208,66,Clothing,2025-02-24,Collected,Mangaluru FSL,False
209,66,Fingerprint,2025-02-24,Verified,Mysuru FSL,False
210,66,SIM Card,2025-02-24,Collected,Mysuru FSL,False
211,67,Fingerprint,2024-06-02,Collected,Bengaluru FSL,False
212,67,Knife,2024-06-02,Pending Analysis,Bengaluru FSL,True
213,67,Hard Disk,2024-06-02,Pending Analysis,Mysuru FSL,True
214,67,Vehicle,2024-06-02,Rejected,Bengaluru FSL,False
215,67,USB Drive,2024-06-02,Verified,Mangaluru FSL,True
216,68,Knife,2023-11-06,Collected,Bengaluru FSL,True
217,69,Firearm,2022-03-04,Collected,Mangaluru FSL,True
218,70,DNA Sample,2024-01-29,Verified,Mangaluru FSL,True
219,71,Clothing,2023-11-22,Collected,Mysuru FSL,True
220,71,Document,2023-11-22,Sent to FSL,Mysuru FSL,True
221,71,Blood Sample,2023-11-22,Pending Analysis,Bengaluru FSL,True
222,71,SIM Card,2023-11-22,Pending Analysis,Mysuru FSL,True
223,72,Fingerprint,2024-06-05,Verified,Mysuru FSL,False
224,72,Mobile Phone,2024-06-05,Pending Analysis,Bengaluru FSL,False
225,73,Firearm,2024-09-28,Verified,Mangaluru FSL,True
226,73,Blood Sample,2024-09-28,Rejected,Mangaluru FSL,True
227,74,CCTV Footage,2022-03-22,Sent to FSL,Mangaluru FSL,True
228,75,Knife,2025-07-20,Rejected,Mangaluru FSL,False
229,75,USB Drive,2025-07-20,Sent to FSL,Bengaluru FSL,True
230,75,Mobile Phone,2025-07-20,Pending Analysis,Mangaluru FSL,True
231,75,Fingerprint,2025-07-20,Pending Analysis,Bengaluru FSL,True
232,76,Mobile Phone,2025-06-23,Rejected,Bengaluru FSL,True
233,77,Mobile Phone,2023-11-24,Pending Analysis,Bengaluru FSL,False
234,78,SIM Card,2023-05-22,Collected,Mysuru FSL,False
235,78,Laptop,2023-05-22,Rejected,Bengaluru FSL,False
236,78,Clothing,2023-05-22,Verified,Bengaluru FSL,False
237,78,Drug Sample,2023-05-22,Collected,Bengaluru FSL,True
238,79,Mobile Phone,2022-04-09,Pending Analysis,Bengaluru FSL,True
239,79,Firearm,2022-04-09,Pending Analysis,Bengaluru FSL,False
240,80,Blood Sample,2023-04-25,Verified,Mangaluru FSL,False
241,80,Hard Disk,2023-04-25,Verified,Bengaluru FSL,False
242,80,CCTV Footage,2023-04-25,Sent to FSL,Mysuru FSL,False
243,80,Drug Sample,2023-04-25,Verified,Bengaluru FSL,False
244,80,Firearm,2023-04-25,Verified,Bengaluru FSL,False
245,81,DNA Sample,2025-06-18,Rejected,Mangaluru FSL,True
246,81,Mobile Phone,2025-06-18,Rejected,Mysuru FSL,False
247,82,Fingerprint,2026-09-22,Pending Analysis,Mysuru FSL,True
248,82,DNA Sample,2026-09-22,Sent to FSL,Bengaluru FSL,True
249,82,Laptop,2026-09-22,Collected,Mangaluru FSL,True
250,82,Firearm,2026-09-22,Pending Analysis,Mysuru FSL,False
251,82,Hard Disk,2026-09-22,Collected,Mangaluru FSL,False
252,83,Hard Disk,2026-03-04,Sent to FSL,Mysuru FSL,True
253,83,Vehicle,2026-03-04,Pending Analysis,Mangaluru FSL,False
254,83,Drug Sample,2026-03-04,Collected,Bengaluru FSL,True
255,84,Fingerprint,2026-02-01,Sent to FSL,Bengaluru FSL,False
256,84,CCTV Footage,2026-02-01,Verified,Bengaluru FSL,False
257,84,Hard Disk,2026-02-01,Collected,Mysuru FSL,True
258,84,Mobile Phone,2026-02-01,Collected,Mangaluru FSL,True
259,84,Clothing,2026-02-01,Collected,Mysuru FSL,True
260,85,DNA Sample,2024-11-10,Rejected,Bengaluru FSL,False
261,85,Knife,2024-11-10,Rejected,Mangaluru FSL,True
262,85,Firearm,2024-11-10,Collected,Bengaluru FSL,False
263,86,Firearm,2022-07-10,Collected,Mysuru FSL,True
264,86,Vehicle,2022-07-10,Rejected,Mangaluru FSL,False
265,86,USB Drive,2022-07-10,Collected,Bengaluru FSL,False
266,86,CCTV Footage,2022-07-10,Pending Analysis,Bengaluru FSL,False
267,87,Clothing,2022-12-27,Collected,Mangaluru FSL,True
268,87,Hard Disk,2022-12-27,Sent to FSL,Bengaluru FSL,True
269,87,Vehicle,2022-12-27,Sent to FSL,Mysuru FSL,False
270,87,CCTV Footage,2022-12-27,Pending Analysis,Mangaluru FSL,False
271,87,Knife,2022-12-27,Sent to FSL,Mangaluru FSL,True
272,88,USB Drive,2026-06-26,Verified,Mangaluru FSL,False
273,88,Blood Sample,2026-06-26,Sent to FSL,Bengaluru FSL,False
274,88,Clothing,2026-06-26,Sent to FSL,Bengaluru FSL,True
275,89,Knife,2025-04-12,Verified,Mangaluru FSL,False
276,89,Hard Disk,2025-04-12,Verified,Mysuru FSL,False
277,89,Laptop,2025-04-12,Collected,Mysuru FSL,True
278,90,Fingerprint,2025-12-19,Sent to FSL,Mangaluru FSL,True
279,90,Firearm,2025-12-19,Collected,Bengaluru FSL,True
280,90,Laptop,2025-12-19,Sent to FSL,Mangaluru FSL,True
281,90,Clothing,2025-12-19,Sent to FSL,Mangaluru FSL,False
282,90,Vehicle,2025-12-19,Pending Analysis,Mangaluru FSL,True
283,91,Knife,2024-12-15,Verified,Bengaluru FSL,False
284,91,Mobile Phone,2024-12-15,Pending Analysis,Bengaluru FSL,False
285,92,Knife,2023-01-30,Verified,Mangaluru FSL,True
286,92,Fingerprint,2023-01-30,Sent to FSL,Mysuru FSL,True
287,93,Drug Sample,2023-04-20,Rejected,Mangaluru FSL,False
288,93,CCTV Footage,2023-04-20,Verified,Bengaluru FSL,False
289,93,USB Drive,2023-04-20,Pending Analysis,Mysuru FSL,True
290,93,Blood Sample,2023-04-20,Rejected,Mangaluru FSL,False
291,94,Clothing,2025-06-22,Sent to FSL,Bengaluru FSL,True
292,95,DNA Sample,2022-03-05,Verified,Bengaluru FSL,False
293,95,SIM Card,2022-03-05,Rejected,Mysuru FSL,False
294,95,USB Drive,2022-03-05,Sent to FSL,Bengaluru FSL,False
295,96,Knife,2026-10-03,Rejected,Mysuru FSL,True
296,96,Clothing,2026-10-03,Rejected,Mysuru FSL,False
297,97,Firearm,2025-03-14,Collected,Bengaluru FSL,True
298,97,Blood Sample,2025-03-14,Collected,Mangaluru FSL,True
299,97,USB Drive,2025-03-14,Collected,Mangaluru FSL,False
300,98,Mobile Phone,2025-01-06,Sent to FSL,Mysuru FSL,False
301,98,Drug Sample,2025-01-06,Collected,Mysuru FSL,True
302,98,DNA Sample,2025-01-06,Rejected,Mysuru FSL,False
303,98,Vehicle,2025-01-06,Pending Analysis,Mangaluru FSL,False
304,98,Document,2025-01-06,Collected,Mangaluru FSL,False
305,99,Blood Sample,2026-10-29,Verified,Bengaluru FSL,True
306,99,Fingerprint,2026-10-29,Sent to FSL,Mangaluru FSL,True
307,99,Mobile Phone,2026-10-29,Sent to FSL,Mangaluru FSL,True
308,99,DNA Sample,2026-10-29,Collected,Bengaluru FSL,True
309,100,DNA Sample,2023-07-25,Collected,Mysuru FSL,False
310,100,Mobile Phone,2023-07-25,Sent to FSL,Mangaluru FSL,True
311,101,Firearm,2023-01-08,Sent to FSL,Mysuru FSL,False
312,101,Drug Sample,2023-01-08,Sent to FSL,Bengaluru FSL,False
313,101,Clothing,2023-01-08,Pending Analysis,Mangaluru FSL,True
314,102,SIM Card,2023-07-07,Pending Analysis,Mangaluru FSL,False
315,102,Blood Sample,2023-07-07,Pending Analysis,Mangaluru FSL,True
316,102,DNA Sample,2023-07-07,Pending Analysis,Bengaluru FSL,True
317,103,Firearm,2026-01-19,Sent to FSL,Mangaluru FSL,False
318,103,Clothing,2026-01-19,Verified,Bengaluru FSL,False
319,103,USB Drive,2026-01-19,Sent to FSL,Mangaluru FSL,True
320,104,Fingerprint,2024-05-01,Collected,Mysuru FSL,False
321,104,Blood Sample,2024-05-01,Rejected,Mysuru FSL,True
322,104,Mobile Phone,2024-05-01,Rejected,Mysuru FSL,True
323,104,Firearm,2024-05-01,Pending Analysis,Bengaluru FSL,True
324,104,SIM Card,2024-05-01,Sent to FSL,Mangaluru FSL,False
325,105,Mobile Phone,2022-08-07,Verified,Mysuru FSL,True
326,105,SIM Card,2022-08-07,Verified,Mangaluru FSL,False
327,105,Document,2022-08-07,Sent to FSL,Mysuru FSL,False
328,106,Laptop,2023-10-04,Verified,Bengaluru FSL,False
329,106,Document,2023-10-04,Rejected,Mysuru FSL,True
330,106,Drug Sample,2023-10-04,Sent to FSL,Bengaluru FSL,True
331,106,Vehicle,2023-10-04,Rejected,Mangaluru FSL,False
332,106,Knife,2023-10-04,Sent to FSL,Mangaluru FSL,True
333,107,Drug Sample,2026-04-28,Pending Analysis,Mysuru FSL,False
334,107,Laptop,2026-04-28,Rejected,Mangaluru FSL,True
335,107,DNA Sample,2026-04-28,Rejected,Mangaluru FSL,True
336,107,SIM Card,2026-04-28,Pending Analysis,Mangaluru FSL,True
337,108,SIM Card,2026-11-29,Collected,Bengaluru FSL,False
338,109,Laptop,2024-01-04,Sent to FSL,Bengaluru FSL,True
339,110,USB Drive,2024-06-06,Sent to FSL,Mangaluru FSL,False
340,110,DNA Sample,2024-06-06,Rejected,Mangaluru FSL,True
341,110,CCTV Footage,2024-06-06,Collected,Bengaluru FSL,True
342,110,Clothing,2024-06-06,Verified,Mangaluru FSL,False
343,110,Document,2024-06-06,Pending Analysis,Mangaluru FSL,False
344,111,Laptop,2022-06-11,Pending Analysis,Bengaluru FSL,False
345,111,Knife,2022-06-11,Verified,Bengaluru FSL,True
346,111,Document,2022-06-11,Collected,Mangaluru FSL,False
347,111,Blood Sample,2022-06-11,Pending Analysis,Mysuru FSL,True
348,111,SIM Card,2022-06-11,Pending Analysis,Mysuru FSL,False
349,112,Document,2026-07-10,Sent to FSL,Bengaluru FSL,True
350,112,Firearm,2026-07-10,Rejected,Bengaluru FSL,False
351,113,Knife,2026-12-12,Verified,Mysuru FSL,True
352,114,CCTV Footage,2026-12-19,Collected,Mangaluru FSL,True
353,114,Clothing,2026-12-19,Verified,Bengaluru FSL,False
354,114,Fingerprint,2026-12-19,Sent to FSL,Bengaluru FSL,False
355,114,Laptop,2026-12-19,Rejected,Bengaluru FSL,True
356,115,Vehicle,2026-02-22,Collected,Bengaluru FSL,False
357,115,SIM Card,2026-02-22,Collected,Mangaluru FSL,False
358,115,Firearm,2026-02-22,Rejected,Mysuru FSL,True
359,115,Drug Sample,2026-02-22,Rejected,Mysuru FSL,False
360,116,CCTV Footage,2025-01-26,Rejected,Mysuru FSL,True
361,116,Mobile Phone,2025-01-26,Rejected,Mangaluru FSL,False
362,116,Fingerprint,2025-01-26,Sent to FSL,Mysuru FSL,False
363,116,Blood Sample,2025-01-26,Pending Analysis,Bengaluru FSL,True
364,117,Firearm,2022-08-28,Rejected,Mangaluru FSL,True
365,117,CCTV Footage,2022-08-28,Sent to FSL,Mangaluru FSL,False
366,117,Hard Disk,2022-08-28,Verified,Mysuru FSL,False
367,118,Clothing,2023-04-18,Verified,Bengaluru FSL,False
368,119,Laptop,2024-07-06,Collected,Mangaluru FSL,True
369,120,CCTV Footage,2023-03-02,Verified,Mangaluru FSL,True
370,120,SIM Card,2023-03-02,Rejected,Bengaluru FSL,True
371,120,Drug Sample,2023-03-02,Collected,Mysuru FSL,True
372,120,USB Drive,2023-03-02,Rejected,Mangaluru FSL,False
373,121,Firearm,2022-03-14,Collected,Bengaluru FSL,False
374,122,Mobile Phone,2024-12-28,Collected,Mangaluru FSL,False
375,122,CCTV Footage,2024-12-28,Rejected,Bengaluru FSL,True
376,123,Mobile Phone,2023-12-06,Pending Analysis,Mysuru FSL,True
377,123,USB Drive,2023-12-06,Rejected,Mangaluru FSL,False
378,123,Fingerprint,2023-12-06,Pending Analysis,Mysuru FSL,False
379,123,Drug Sample,2023-12-06,Sent to FSL,Bengaluru FSL,True
380,124,Document,2022-09-26,Verified,Mysuru FSL,False
381,125,Drug Sample,2026-01-07,Verified,Mangaluru FSL,False
382,125,Document,2026-01-07,Collected,Mangaluru FSL,False
383,125,Knife,2026-01-07,Collected,Bengaluru FSL,True
384,126,Mobile Phone,2024-10-26,Collected,Mangaluru FSL,True
385,127,Clothing,2026-11-04,Verified,Mangaluru FSL,True
386,127,CCTV Footage,2026-11-04,Pending Analysis,Mangaluru FSL,True
387,127,Fingerprint,2026-11-04,Collected,Bengaluru FSL,True
388,128,Firearm,2023-07-16,Collected,Mangaluru FSL,False
389,128,CCTV Footage,2023-07-16,Pending Analysis,Mysuru FSL,False
390,128,DNA Sample,2023-07-16,Pending Analysis,Mysuru FSL,True
391,128,Hard Disk,2023-07-16,Collected,Bengaluru FSL,True
392,128,Document,2023-07-16,Collected,Mangaluru FSL,False
393,129,Knife,2026-06-17,Sent to FSL,Mysuru FSL,True
394,129,Fingerprint,2026-06-17,Sent to FSL,Bengaluru FSL,False
395,129,DNA Sample,2026-06-17,Collected,Mysuru FSL,True
396,130,Firearm,2026-07-30,Collected,Mangaluru FSL,False
397,130,Fingerprint,2026-07-30,Rejected,Mangaluru FSL,True
398,131,DNA Sample,2024-02-05,Verified,Mysuru FSL,True
399,131,Knife,2024-02-05,Pending Analysis,Mangaluru FSL,False
400,132,Document,2022-12-05,Sent to FSL,Bengaluru FSL,False
401,133,DNA Sample,2024-01-01,Sent to FSL,Bengaluru FSL,False
