CaseID,FIRNumber,CrimeType,CrimeCategory,District,PoliceStation,Latitude,Longitude,Date,Time,Severity,Status,VictimID,SuspectID,Weapon,RepeatOffender,GangID,EstimatedLoss
16,FIR-100015,Murder,Violent Crime,Mysuru,Pimpri-Chinchwad PS,12.226191368717114,76.7068643095897,2025-07-21,16:20:37,High,Chargesheet Filed,7373,168,Gun,True,161,322056
17,FIR-100016,Burglary,Property Crime,Bengaluru Urban,Patna PS,12.918369230278199,77.58301416024268,2025-07-04,17:12:46,High,Chargesheet Filed,6726,871,Gun,True,138,256532
18,FIR-100017,Robbery,Property Crime,Dakshina Kannada,Machilipatnam PS,12.84416527094722,74.86991985046694,2025-04-16,04:02:01,Medium,Chargesheet Filed,1852,3422,Blunt Object,False,139,190953
19,FIR-100018,Cyber Crime,Cyber Crime,Dakshina Kannada,Ambala PS,12.955068796895489,74.89187897225656,2025-01-06,14:09:11,Low,Under Investigation,1887,720,None,True,229,134955
20,FIR-100019,Theft,Property Crime,Bengaluru Urban,Tirunelveli PS,12.926638327768682,77.52074974343036,2026-02-25,19:31:14,Low,Closed,16640,2766,Knife,False,231,367013
21,FIR-100020,Kidnapping,Violent Crime,Mysuru,Raipur PS,12.315019995665212,76.60481867167654,2026-05-16,13:53:34,Medium,Open,23762,6595,Knife,True,32,431867
22,FIR-100021,Domestic Violence,Social Crime,Mysuru,Sasaram PS,12.266259234640795,76.64472648537863,2024-12-25,00:19:26,Medium,Closed,2383,6909,Knife,False,39,267738
23,FIR-100022,Burglary,Property Crime,Dakshina Kannada,Bhusawal PS,12.973720296495326,74.8961115492316,2024-08-24,19:07:11,Medium,Chargesheet Filed,8191,857,Knife,True,56,429724
24,FIR-100023,Domestic Violence,Social Crime,Bengaluru Urban,Sri Ganganagar PS,13.023598833544394,77.58214124551537,2025-06-02,10:33:39,Low,Chargesheet Filed,12396,7102,None,True,165,448916
25,FIR-100024,Burglary,Property Crime,Dakshina Kannada,Guntur PS,12.97886204935447,74.90994521301971,2026-01-22,22:06:30,High,Chargesheet Filed,5552,2268,Knife,True,113,212260
26,FIR-100025,Burglary,Property Crime,Mysuru,Kamarhati PS,12.348581512039953,76.6263903347593,2025-01-16,12:18:06,Low,Closed,3004,7854,Gun,True,19,32313
27,FIR-100026,Murder,Violent Crime,Mysuru,Vellore PS,12.234022858919117,76.62727109158362,2025-12-16,03:49:38,Medium,Open,6989,7021,Knife,False,175,190209
28,FIR-100027,Kidnapping,Violent Crime,Dakshina Kannada,Coimbatore PS,12.854328212307607,74.92899533253807,2026-02-01,14:34:30,Low,Chargesheet Filed,6477,3736,Blunt Object,False,227,288082
29,FIR-100028,Cyber Crime,Cyber Crime,Dakshina Kannada,Dhanbad PS,12.948730673642702,74.85108603030655,2025-12-10,13:24:52,Medium,Open,2055,4989,Blunt Object,True,26,245954
30,FIR-100029,Fraud,Financial Crime,Bengaluru Urban,Bathinda PS,13.0208951579924,77.65092831838528,2024-11-22,03:36:56,Medium,Closed,4977,5716,None,False,44,188351
31,FIR-100030,Murder,Violent Crime,Dakshina Kannada,Haldia PS,12.864174867806762,74.85890150418629,2025-04-21,00:22:24,Medium,Chargesheet Filed,14151,5057,Unknown,False,203,296121
32,FIR-100031,Theft,Property Crime,Bengaluru Urban,Amravati PS,13.028215994129477,77.55911444016922,2025-01-19,15:47:14,Medium,Chargesheet Filed,4097,4137,Unknown,False,130,286970
33,FIR-100032,Cyber Crime,Cyber Crime,Bengaluru Urban,Maheshtala PS,13.014495836100227,77.66559162514726,2025-08-04,10:45:48,Medium,Under Investigation,10520,118,Unknown,True,151,84982
34,FIR-100033,Burglary,Property Crime,Bengaluru Urban,Vijayawada PS,12.964497731035145,77.60645373293848,2025-02-24,04:37:40,High,Open,16573,4054,None,False,121,258483
35,FIR-100034,Murder,Violent Crime,Dakshina Kannada,Surendranagar Dudhrej PS,12.971742717944506,74.86222229760072,2025-10-29,03:03:28,Low,Under Investigation,7871,6136,Blunt Object,True,90,318599
36,FIR-100035,Murder,Violent Crime,Mysuru,Mysore PS,12.320538414951153,76.6309934585754,2026-03-23,00:17:59,Medium,Under Investigation,20223,4015,None,False,158,314889
37,FIR-100036,Cyber Crime,Cyber Crime,Dakshina Kannada,Dhule PS,12.924845895970565,74.92145954970702,2024-09-11,04:25:43,Low,Open,12362,2674,Blunt Object,False,36,379777
38,FIR-100037,Murder,Violent Crime,Dakshina Kannada,Aizawl PS,12.971249498983669,74.79665173664856,2025-01-23,20:35:13,Low,Chargesheet Filed,17219,822,None,False,208,433659
39,FIR-100038,Domestic Violence,Social Crime,Bengaluru Urban,Faridabad PS,13.036721959600758,77.53785591763248,2025-01-30,05:07:54,Low,Chargesheet Filed,17710,6251,Blunt Object,False,14,214292
40,FIR-100039,Cyber Crime,Cyber Crime,Dakshina Kannada,Rohtak PS,12.944881769251323,74.86901461409181,2024-10-18,03:48:24,Medium,Open,14959,4657,Gun,False,72,247501
41,FIR-100040,Fraud,Financial Crime,Bengaluru Urban,Aizawl PS,12.921085325599034,77.59508032172643,2025-04-13,03:30:52,Medium,Closed,18274,3814,Unknown,True,132,361735
42,FIR-100041,Burglary,Property Crime,Dakshina Kannada,Mahbubnagar PS,12.964082619723472,74.86799071746772,2026-03-27,03:53:53,Low,Open,8647,6725,Unknown,True,222,208595
43,FIR-100042,Robbery,Property Crime,Mysuru,Bongaigaon PS,12.281725486950993,76.62683773983895,2026-01-28,01:03:14,Medium,Open,18322,7392,Unknown,True,93,245159
44,FIR-100043,Domestic Violence,Social Crime,Bengaluru Urban,Firozabad PS,13.045742917691257,77.63972139602113,2025-05-04,17:11:43,High,Under Investigation,4765,7352,Blunt Object,True,118,129460
45,FIR-100044,Kidnapping,Violent Crime,Mysuru,Buxar PS,12.224172972161039,76.71430597455684,2024-09-14,08:21:02,Low,Closed,14387,334,Blunt Object,True,111,329202
46,FIR-100045,Murder,Violent Crime,Dakshina Kannada,Ratlam PS,12.88078840690254,74.9024968603381,2025-01-29,16:50:14,Medium,Open,5076,4811,Unknown,True,91,157834
47,FIR-100046,Theft,Property Crime,Bengaluru Urban,Kulti PS,13.003352814811162,77.52325339465239,2024-12-04,12:13:45,Low,Under Investigation,18928,4066,Unknown,True,117,179969
48,FIR-100047,Kidnapping,Violent Crime,Mysuru,South Dumdum PS,12.29077298382875,76.69392041472888,2024-10-21,01:51:56,Medium,Closed,3570,2388,Gun,False,220,97678
49,FIR-100048,Theft,Property Crime,Dakshina Kannada,Ulhasnagar PS,12.988125661312322,74.89437495941911,2024-10-27,14:56:18,Medium,Chargesheet Filed,3470,553,Knife,True,25,122372
50,FIR-100049,Drug Trafficking,Organized Crime,Mysuru,Pune PS,12.266661648531052,76.667438644368,2025-09-08,03:20:06,High,Under Investigation,14247,6224,Blunt Object,True,83,28558
51,FIR-100050,Cyber Crime,Cyber Crime,Dakshina Kannada,Vellore PS,12.893446170994366,74.87923168235628,2026-01-04,07:39:16,High,Under Investigation,2714,5670,Unknown,True,121,437646
52,FIR-100051,Drug Trafficking,Organized Crime,Mysuru,Dehradun PS,12.287582058275659,76.70371731847169,2025-05-24,04:39:46,High,Open,8684,6487,Gun,False,122,157035
53,FIR-100052,Assault,Violent Crime,Dakshina Kannada,Thanjavur PS,12.962845037016299,74.81383762630871,2025-06-20,06:08:43,Low,Under Investigation,12073,3784,Blunt Object,True,183,345814
54,FIR-100053,Drug Trafficking,Organized Crime,Mysuru,Gandhinagar PS,12.349626033396865,76.62783930618049,2026-07-09,01:23:27,Medium,Chargesheet Filed,3836,436,Knife,False,4,207468
55,FIR-100054,Fraud,Financial Crime,Bengaluru Urban,Durgapur PS,12.961609856835278,77.5809482588797,2026-03-26,07:10:16,Low,Open,8513,1900,Knife,False,205,85396
56,FIR-100055,Drug Trafficking,Organized Crime,Mysuru,Parbhani PS,12.30998063162414,76.66222043785868,2025-09-04,19:11:27,Medium,Under Investigation,7850,7295,Knife,False,204,78290
57,FIR-100056,Kidnapping,Violent Crime,Bengaluru Urban,Sasaram PS,12.953521371442786,77.59277228206776,2025-04-04,22:13:12,Medium,Open,9584,2652,Blunt Object,True,31,110494
58,FIR-100057,Kidnapping,Violent Crime,Mysuru,Orai PS,12.253172536254393,76.65348057213917,2024-12-04,22:42:08,Medium,Open,18644,60,Gun,False,15,450954
59,FIR-100058,Theft,Property Crime,Bengaluru Urban,Nagpur PS,12.934264641348053,77.66706905799755,2024-10-06,04:27:45,Low,Closed,22637,2830,Blunt Object,True,82,79780
60,FIR-100059,Murder,Violent Crime,Dakshina Kannada,Karawal Nagar PS,12.866526605209092,74.80573612696567,2026-05-24,01:39:27,Low,Chargesheet Filed,20329,7844,Gun,False,115,370487
61,FIR-100060,Drug Trafficking,Organized Crime,Dakshina Kannada,Hindupur PS,12.858870381309412,74.89776934806562,2026-03-14,20:32:02,Medium,Closed,14055,1099,Knife,False,207,460210
62,FIR-100061,Burglary,Property Crime,Dakshina Kannada,Haridwar PS,12.8786901443972,74.8383223793019,2026-01-28,18:03:27,Low,Closed,787,1107,None,True,194,195370
63,FIR-100062,Assault,Violent Crime,Dakshina Kannada,Sonipat PS,12.919167031223349,74.82471767777163,2024-09-03,16:37:34,Low,Closed,20667,3027,None,False,180,176647
64,FIR-100063,Fraud,Financial Crime,Bengaluru Urban,Purnia PS,12.959710465605886,77.64168795942551,2025-11-01,06:36:47,Medium,Open,5766,193,Unknown,False,4,245501
65,FIR-100064,Cyber Crime,Cyber Crime,Bengaluru Urban,Anand PS,12.932206468624818,77.59433060517918,2025-08-16,17:24:00,High,Open,21680,3499,Knife,False,178,255297
66,FIR-100065,Robbery,Property Crime,Bengaluru Urban,Jamshedpur PS,12.93952733382211,77.55422234723308,2025-06-07,15:50:27,Medium,Chargesheet Filed,12175,5194,Unknown,False,175,288753
67,FIR-100066,Domestic Violence,Social Crime,Bengaluru Urban,Katihar PS,13.036296861871602,77.65472227663103,2024-12-29,16:02:35,Low,Closed,22794,4972,Unknown,True,39,235406
68,FIR-100067,Fraud,Financial Crime,Mysuru,Ghaziabad PS,12.247689633769477,76.66475358040498,2024-09-27,15:36:27,Low,Closed,17882,5279,Unknown,False,249,203540
69,FIR-100068,Domestic Violence,Social Crime,Mysuru,Thrissur PS,12.332896317857976,76.65245047170099,2026-04-02,11:49:22,Low,Under Investigation,11283,6161,Unknown,True,50,187135
70,FIR-100069,Theft,Property Crime,Mysuru,Shimla PS,12.22697317223183,76.60754464911587,2024-10-01,19:53:33,Medium,Open,17625,233,Gun,False,182,470115
71,FIR-100070,Fraud,Financial Crime,Bengaluru Urban,Mirzapur PS,13.00920139045329,77.56051947776855,2026-03-13,09:45:09,Low,Open,18300,7270,Blunt Object,False,190,482493
72,FIR-100071,Murder,Violent Crime,Dakshina Kannada,Hubli–Dharwad PS,12.942968632981342,74.79338776355358,2025-05-26,10:31:14,Medium,Chargesheet Filed,9054,7388,None,True,80,484912
73,FIR-100072,Drug Trafficking,Organized Crime,Mysuru,Mahbubnagar PS,12.278439866061671,76.56488033275483,2025-12-24,20:22:11,Low,Open,6845,1953,Unknown,False,73,273853
74,FIR-100073,Burglary,Property Crime,Mysuru,Haridwar PS,12.305272111960404,76.64026689049015,2026-06-07,10:05:02,High,Chargesheet Filed,3405,5288,Blunt Object,True,11,434424
75,FIR-100074,Domestic Violence,Social Crime,Mysuru,Giridih PS,12.283211124266897,76.69960770432226,2025-03-04,04:30:30,Low,Chargesheet Filed,16400,6178,Gun,False,76,388448
76,FIR-100075,Drug Trafficking,Organized Crime,Bengaluru Urban,Ambarnath PS,12.980002644917665,77.6397960659902,2025-08-22,08:19:29,High,Open,1257,4063,Blunt Object,True,121,459427
77,FIR-100076,Murder,Violent Crime,Bengaluru Urban,Karawal Nagar PS,13.041758908148573,77.62316047118463,2026-05-14,11:30:08,High,Under Investigation,24545,3918,Blunt Object,False,50,308086
78,FIR-100077,Murder,Violent Crime,Dakshina Kannada,Etawah PS,12.893150266716317,74.77973937449647,2024-12-15,16:17:09,High,Chargesheet Filed,3241,3551,Knife,True,245,187331
79,FIR-100078,Domestic Violence,Social Crime,Mysuru,Mehsana PS,12.337571966616535,76.57793808973358,2025-12-09,01:25:00,Low,Chargesheet Filed,6204,1445,Blunt Object,True,182,360451
80,FIR-100079,Kidnapping,Violent Crime,Bengaluru Urban,Pallavaram PS,12.956864175575097,77.67371465412296,2025-08-21,22:24:06,Low,Chargesheet Filed,1796,3786,Knife,True,209,443377
81,FIR-100080,Cyber Crime,Cyber Crime,Dakshina Kannada,Bally PS,12.987041167523348,74.88051925818809,2026-04-17,15:42:27,Low,Chargesheet Filed,18796,1503,Knife,False,185,470517
82,FIR-100081,Burglary,Property Crime,Mysuru,Proddatur PS,12.222258021721634,76.56534802690808,2025-04-01,16:14:35,High,Open,8661,4229,Unknown,True,227,36121
83,FIR-100082,Domestic Violence,Social Crime,Dakshina Kannada,Katni PS,12.925554337657708,74.80831793716577,2024-11-21,17:03:05,Low,Under Investigation,13155,7451,None,False,189,485358
84,FIR-100083,Cyber Crime,Cyber Crime,Bengaluru Urban,Jorhat PS,13.037522488070561,77.51974369993141,2025-05-18,13:07:48,Low,Closed,12182,7296,Blunt Object,True,217,104708
85,FIR-100084,Domestic Violence,Social Crime,Dakshina Kannada,Thiruvananthapuram PS,12.920202797263498,74.77884691921213,2025-09-12,05:16:42,Medium,Chargesheet Filed,15113,6514,Unknown,True,150,485230
86,FIR-100085,Murder,Violent Crime,Dakshina Kannada,Satara PS,12.853479906353565,74.80810831668876,2025-12-03,18:36:03,High,Closed,10979,555,Knife,True,29,52640
87,FIR-100086,Kidnapping,Violent Crime,Mysuru,Kurnool PS,12.233534973374049,76.68165063676504,2025-11-23,05:07:44,High,Under Investigation,21281,522,Gun,True,209,214693
88,FIR-100087,Domestic Violence,Social Crime,Mysuru,Sirsa PS,12.322367648163194,76.6727699579853,2026-02-10,15:50:57,High,Open,16927,2454,Unknown,False,175,314173
89,FIR-100088,Assault,Violent Crime,Mysuru,Agartala PS,12.332942199135866,76.58616599309411,2025-11-29,23:42:40,High,Open,7677,1234,Gun,True,35,352637
90,FIR-100089,Fraud,Financial Crime,Mysuru,Durg PS,12.246367174837136,76.57760920290973,2025-06-20,12:38:02,Low,Chargesheet Filed,15778,3353,Unknown,False,155,346209
91,FIR-100090,Kidnapping,Violent Crime,Bengaluru Urban,Srikakulam PS,12.947171659483756,77.63187151871723,2025-11-25,00:59:57,Medium,Open,10809,3247,Gun,True,195,355421
92,FIR-100091,Assault,Violent Crime,Mysuru,Purnia PS,12.327738130694817,76.64559189526062,2024-10-04,03:21:42,Low,Chargesheet Filed,7041,4632,Blunt Object,False,184,265918
93,FIR-100092,Drug Trafficking,Organized Crime,Mysuru,Durgapur PS,12.270974608903531,76.5633212384021,2025-03-08,20:23:19,High,Chargesheet Filed,11066,7266,None,False,11,11733
94,FIR-100093,Assault,Violent Crime,Mysuru,Erode PS,12.3387324147313,76.61653511716258,2025-05-06,21:39:28,High,Under Investigation,23347,1800,Knife,True,105,478042
95,FIR-100094,Robbery,Property Crime,Bengaluru Urban,Solapur PS,12.97056820618715,77.61499162998855,2025-03-20,01:14:08,Medium,Chargesheet Filed,17330,4966,Unknown,False,121,346165
96,FIR-100095,Drug Trafficking,Organized Crime,Dakshina Kannada,Nangloi Jat PS,12.925365646975765,74.9100229810416,2024-10-23,03:46:54,High,Closed,8751,1270,Knife,True,69,311981
97,FIR-100096,Robbery,Property Crime,Mysuru,Bhatpara PS,12.283948389371755,76.58772220022374,2024-10-10,13:11:02,Medium,Closed,21379,6664,Blunt Object,True,30,280147
98,FIR-100097,Robbery,Property Crime,Bengaluru Urban,Patiala PS,12.943435388306693,77.66342137193679,2025-03-01,11:20:37,High,Open,13503,2197,Knife,True,64,397790
99,FIR-100098,Theft,Property Crime,Bengaluru Urban,Mumbai PS,12.937763092923932,77.67048097443562,2025-05-20,15:45:48,High,Closed,5555,3125,Blunt Object,True,233,114943
100,FIR-100099,Theft,Property Crime,Bengaluru Urban,Dhanbad PS,12.915223972440987,77.55647822391033,2025-11-12,01:57:28,High,Chargesheet Filed,11355,6249,Blunt Object,False,193,480986
101,FIR-100100,Robbery,Property Crime,Mysuru,Jamshedpur PS,12.37428986487431,76.60074204212938,2026-03-28,04:24:24,Medium,Under Investigation,24272,7758,None,True,221,475726
102,FIR-100101,Assault,Violent Crime,Mysuru,Ambattur PS,12.328790887916902,76.70354330850152,2025-02-16,03:58:31,Medium,Open,2076,7364,Gun,False,75,303592
103,FIR-100102,Domestic Violence,Social Crime,Bengaluru Urban,Secunderabad PS,12.992323578897475,77.58168808772322,2026-05-17,01:19:58,High,Under Investigation,21039,2336,Blunt Object,True,175,105128
104,FIR-100103,Drug Trafficking,Organized Crime,Mysuru,Amritsar PS,12.3137372552847,76.66522686552914,2024-11-14,08:25:48,High,Under Investigation,23653,5657,Unknown,True,145,278132
105,FIR-100104,Cyber Crime,Cyber Crime,Bengaluru Urban,Malda PS,12.943509964664976,77.6376282652024,2025-01-31,09:05:29,Low,Open,11147,4429,Blunt Object,True,131,99492
106,FIR-100105,Cyber Crime,Cyber Crime,Dakshina Kannada,Sikar PS,12.945559758127446,74.8157715876802,2026-04-07,18:55:13,High,Open,20702,7804,Gun,False,48,109596
107,FIR-100106,Fraud,Financial Crime,Dakshina Kannada,Jalgaon PS,12.931709968338952,74.82504274490404,2025-01-26,13:47:19,High,Under Investigation,15166,6769,Gun,False,235,307731
108,FIR-100107,Assault,Violent Crime,Mysuru,Mathura PS,12.226854683997933,76.67083072639848,2025-03-27,05:20:28,Medium,Chargesheet Filed,6488,2018,Blunt Object,True,250,254246
109,FIR-100108,Assault,Violent Crime,Mysuru,Mehsana PS,12.24828038654526,76.70446783305904,2026-05-15,13:14:46,Medium,Chargesheet Filed,10470,1792,Knife,False,61,305324
110,FIR-100109,Assault,Violent Crime,Mysuru,Bardhaman PS,12.29037198469838,76.57798801299666,2024-08-22,02:04:56,High,Open,14002,7895,Gun,False,112,366262
111,FIR-100110,Theft,Property Crime,Bengaluru Urban,Siliguri PS,12.950571411586166,77.51594651059366,2025-08-17,07:15:18,Low,Chargesheet Filed,12351,6699,Knife,False,219,12781
112,FIR-100111,Murder,Violent Crime,Mysuru,Ozhukarai PS,12.329630677578976,76.62347175048012,2024-07-23,21:40:50,High,Chargesheet Filed,4689,5019,None,False,137,99546
113,FIR-100112,Murder,Violent Crime,Mysuru,Kurnool PS,12.313006577257688,76.59674810728266,2025-08-12,09:00:09,Low,Open,22568,7765,Gun,False,147,17922
114,FIR-100113,Burglary,Property Crime,Bengaluru Urban,Nagaon PS,12.928903306240175,77.66513714157924,2025-01-29,22:41:24,Low,Closed,12404,6229,Knife,False,118,361152
115,FIR-100114,Kidnapping,Violent Crime,Bengaluru Urban,Tadepalligudem PS,13.02542393304043,77.55457675020588,2025-11-24,19:05:08,High,Chargesheet Filed,8113,3264,Blunt Object,True,250,405410
116,FIR-100115,Fraud,Financial Crime,Mysuru,Avadi PS,12.35212137347487,76.70160899785525,2025-04-22,22:11:17,Low,Under Investigation,2896,3128,Unknown,False,240,217557
117,FIR-100116,Burglary,Property Crime,Mysuru,Suryapet PS,12.314621771977016,76.64216926358726,2025-12-31,11:37:40,High,Chargesheet Filed,13857,7686,Blunt Object,False,192,66452
118,FIR-100117,Kidnapping,Violent Crime,Dakshina Kannada,Madanapalle PS,12.993433392166189,74.83074490326628,2024-08-18,01:49:26,High,Under Investigation,2016,5982,Blunt Object,True,165,103298
119,FIR-100118,Fraud,Financial Crime,Mysuru,Tenali PS,12.2936157761693,76.56905527321359,2024-11-30,02:12:45,High,Under Investigation,15425,7414,None,False,6,323375
120,FIR-100119,Drug Trafficking,Organized Crime,Dakshina Kannada,Kirari Suleman Nagar PS,12.96354469373474,74.8838273578571,2025-12-03,20:15:52,Medium,Chargesheet Filed,154,7973,None,True,172,252164
121,FIR-100120,Burglary,Property Crime,Dakshina Kannada,Gandhinagar PS,12.950512845284333,74.83214065095576,2025-05-15,02:39:48,Medium,Open,24255,6398,None,False,193,395523
122,FIR-100121,Robbery,Property Crime,Bengaluru Urban,Burhanpur PS,12.940893830966289,77.66392412562789,2026-01-15,00:12:06,Low,Open,16438,4915,Knife,False,211,23364
123,FIR-100122,Kidnapping,Violent Crime,Dakshina Kannada,Bharatpur PS,12.972055319054109,74.86520510085037,2025-12-28,13:24:50,High,Open,21716,938,Unknown,False,53,256226
124,FIR-100123,Fraud,Financial Crime,Mysuru,Amroha PS,12.28635835413534,76.63512884803214,2024-08-28,18:50:33,Medium,Closed,9351,4393,None,False,171,257434
125,FIR-100124,Cyber Crime,Cyber Crime,Mysuru,Gangtok PS,12.348080860191901,76.59656189359814,2025-07-27,16:24:57,Low,Chargesheet Filed,19366,7817,Gun,False,191,214531
126,FIR-100125,Domestic Violence,Social Crime,Mysuru,Delhi PS,12.30393913940357,76.67896224946375,2025-02-20,22:21:00,High,Open,11352,6996,Unknown,True,15,486051
127,FIR-100126,Cyber Crime,Cyber Crime,Bengaluru Urban,Guntakal PS,12.999835256396798,77.6671706462825,2025-03-04,14:30:23,High,Open,12757,1159,Unknown,False,157,273158
128,FIR-100127,Murder,Violent Crime,Mysuru,Bhagalpur PS,12.353987299739078,76.68429123113098,2024-12-05,18:24:52,Medium,Under Investigation,21189,5741,Gun,False,57,30851
129,FIR-100128,Domestic Violence,Social Crime,Dakshina Kannada,Gopalpur PS,12.94737816276651,74.86451801762827,2024-11-05,15:39:09,Medium,Chargesheet Filed,2283,1760,Knife,False,112,49732
130,FIR-100129,Assault,Violent Crime,Bengaluru Urban,Belgaum PS,12.97951921611771,77.5646344618931,2026-02-01,22:31:03,Medium,Open,5748,1722,None,True,17,63551
131,FIR-100130,Robbery,Property Crime,Bengaluru Urban,Bhatpara PS,12.897598433889106,77.59119079926153,2025-04-27,23:02:09,High,Open,20270,7777,Gun,False,237,127085
132,FIR-100131,Kidnapping,Violent Crime,Bengaluru Urban,Panvel PS,12.969939251331846,77.60634614610997,2026-06-10,16:30:59,Medium,Open,1435,5726,Gun,True,174,242267
133,FIR-100132,Kidnapping,Violent Crime,Mysuru,Bokaro PS,12.266345689980794,76.69856942110896,2024-10-12,18:07:01,Medium,Closed,4547,565,None,True,216,6718
134,FIR-100133,Domestic Violence,Social Crime,Bengaluru Urban,Ichalkaranji PS,13.023139490583242,77.58015651448869,2024-07-28,08:23:57,High,Under Investigation,19772,6363,Knife,True,117,307620
135,FIR-100134,Drug Trafficking,Organized Crime,Mysuru,Dehri PS,12.300098128848001,76.6197904924844,2024-09-18,15:59:30,High,Closed,8863,4994,Blunt Object,False,164,395684
136,FIR-100135,Domestic Violence,Social Crime,Mysuru,Bhiwani PS,12.321387498799087,76.6582522342776,2025-08-24,12:13:00,Medium,Open,11214,1648,Unknown,True,90,384748
137,FIR-100136,Kidnapping,Violent Crime,Bengaluru Urban,Jamalpur PS,12.907376694785127,77.65710497168507,2026-06-07,05:18:30,High,Chargesheet Filed,24638,7986,Blunt Object,False,46,8818
138,FIR-100137,Domestic Violence,Social Crime,Bengaluru Urban,Tiruvottiyur PS,13.011065198274057,77.62280150502426,2026-07-09,05:21:00,High,Under Investigation,11350,6373,None,True,40,157122
139,FIR-100138,Fraud,Financial Crime,Dakshina Kannada,Bhiwani PS,12.901570411403734,74.84650183263304,2024-08-09,19:56:30,Low,Chargesheet Filed,20532,630,Knife,False,209,47490
140,FIR-100139,Cyber Crime,Cyber Crime,Mysuru,Tirupati PS,12.225075397978623,76.5661171373129,2025-01-30,12:04:58,Low,Chargesheet Filed,24238,5124,Knife,True,73,300457
141,FIR-100140,Assault,Violent Crime,Bengaluru Urban,Madhyamgram PS,13.047856739594899,77.55882973011373,2025-07-23,16:17:56,Medium,Under Investigation,22787,4846,Knife,True,135,16419
142,FIR-100141,Murder,Violent Crime,Dakshina Kannada,Raiganj PS,12.991914979625712,74.80635262790626,2026-02-16,06:37:14,Low,Chargesheet Filed,24383,7801,Blunt Object,True,114,63386
143,FIR-100142,Theft,Property Crime,Dakshina Kannada,Raipur PS,12.87043820095611,74.92253094845162,2025-06-19,12:10:12,High,Open,6643,5689,Knife,False,184,12048
144,FIR-100143,Assault,Violent Crime,Dakshina Kannada,Morena PS,12.956370315156049,74.8556121671025,2026-06-05,07:35:40,Low,Open,6066,1890,None,False,13,91001
145,FIR-100144,Assault,Violent Crime,Dakshina Kannada,Farrukhabad PS,12.87337728709247,74.90811147069441,2024-11-14,09:39:30,Low,Chargesheet Filed,23473,4826,Blunt Object,False,104,20045
146,FIR-100145,Domestic Violence,Social Crime,Mysuru,Raipur PS,12.355560862362232,76.64550758472866,2025-01-21,03:15:09,Low,Chargesheet Filed,5006,254,Knife,False,57,276461
